Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 200 | max_depth: 5 | learning_rate: 0.03406811 | max_leaves: 6 | subsample: 0.9209894 | colsample_bytree: 0.84155 | gamma: 1.8436 | reg_alpha: 4.307677 | reg_lambda: 2.243752	0.47954	0	1	XGBClassifier	ChemBERTa
n_estimators: 550 | max_depth: 3 | learning_rate: 0.0160006 | max_leaves: 10 | subsample: 0.7214817 | colsample_bytree: 0.9174406 | gamma: 3.121927 | reg_alpha: 0.3076526 | reg_lambda: 1.060472	0.49833	1	1	XGBClassifier	ChemBERTa
n_estimators: 575 | max_depth: 10 | learning_rate: 0.008947241 | max_leaves: 11 | subsample: 0.6166259 | colsample_bytree: 0.6320027 | gamma: 2.513923 | reg_alpha: 0.9109453 | reg_lambda: 1.508505	0.49573	2	1	XGBClassifier	ChemBERTa
n_estimators: 500 | max_depth: 6 | learning_rate: 0.01729385 | max_leaves: 7 | subsample: 0.9787245 | colsample_bytree: 0.759973 | gamma: 2.772391 | reg_alpha: 0.2859825 | reg_lambda: 3.423795	0.49454	3	1	XGBClassifier	ChemBERTa
n_estimators: 275 | max_depth: 5 | learning_rate: 0.02445024 | max_leaves: 1 | subsample: 0.8652061 | colsample_bytree: 0.7940469 | gamma: 4.149925 | reg_alpha: 1.966411 | reg_lambda: 2.036759	0.0	4	1	XGBClassifier	ChemBERTa
n_estimators: 450 | max_depth: 5 | learning_rate: 0.03310426 | max_leaves: 11 | subsample: 0.6097333 | colsample_bytree: 0.8035849 | gamma: 1.277385 | reg_alpha: 1.025303 | reg_lambda: 0.6039442	0.5047	5	1	XGBClassifier	ChemBERTa
n_estimators: 500 | max_depth: 2 | learning_rate: 0.01232749 | max_leaves: 2 | subsample: 0.8123649 | colsample_bytree: 0.8677853 | gamma: 0.8066542 | reg_alpha: 0.9405058 | reg_lambda: 1.035992	0.43532	6	1	XGBClassifier	ChemBERTa
n_estimators: 775 | max_depth: 12 | learning_rate: 0.01356694 | max_leaves: 10 | subsample: 0.9748332 | colsample_bytree: 0.5902898 | gamma: 3.650141 | reg_alpha: 1.649052 | reg_lambda: 3.537928	0.50151	7	1	XGBClassifier	ChemBERTa
n_estimators: 825 | max_depth: 2 | learning_rate: 0.007434553 | max_leaves: 11 | subsample: 0.6072689 | colsample_bytree: 0.9762025 | gamma: 2.945669 | reg_alpha: 4.656497 | reg_lambda: 0.768369	0.47161	8	1	XGBClassifier	ChemBERTa
n_estimators: 700 | max_depth: 3 | learning_rate: 0.006818771 | max_leaves: 9 | subsample: 0.7718836 | colsample_bytree: 0.7853452 | gamma: 0.6071329 | reg_alpha: 0.276019 | reg_lambda: 2.690876	0.47143	9	1	XGBClassifier	ChemBERTa
n_estimators: 975 | max_depth: 8 | learning_rate: 0.07614663 | max_leaves: 4 | subsample: 0.5146788 | colsample_bytree: 0.6722405 | gamma: 4.987431 | reg_alpha: 3.22551 | reg_lambda: 0.008676494	0.4946	10	1	XGBClassifier	ChemBERTa
n_estimators: 375 | max_depth: 12 | learning_rate: 0.0453744 | max_leaves: 8 | subsample: 0.6851192 | colsample_bytree: 0.5360141 | gamma: 1.493178 | reg_alpha: 2.10009 | reg_lambda: 4.957462	0.51171	11	1	XGBClassifier	ChemBERTa
n_estimators: 350 | max_depth: 8 | learning_rate: 0.05743034 | max_leaves: 8 | subsample: 0.6766328 | colsample_bytree: 0.5314586 | gamma: 1.631711 | reg_alpha: 2.820258 | reg_lambda: 4.517268	0.51172	12	1	XGBClassifier	ChemBERTa
n_estimators: 325 | max_depth: 12 | learning_rate: 0.07681211 | max_leaves: 7 | subsample: 0.6981689 | colsample_bytree: 0.5036387 | gamma: 1.861867 | reg_alpha: 2.837809 | reg_lambda: 4.879213	0.50988	13	1	XGBClassifier	ChemBERTa
n_estimators: 100 | max_depth: 9 | learning_rate: 0.05072188 | max_leaves: 8 | subsample: 0.6748689 | colsample_bytree: 0.5144134 | gamma: 1.718234 | reg_alpha: 3.667036 | reg_lambda: 4.939362	0.49378	14	1	XGBClassifier	ChemBERTa
