TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
259.12233	276.36988	435.14715	686.9988	0.57076	0.37323	0.71312	0.4839	0.54318	0.51591	0.49	0.42142	0.56971	0.0911	0.47521	0.2521	0.05084	Total | Total	Weighted	1	XGBClassifier	MACCS
49.19578	70.41346	138.68972	238.77605	0.57933	0.26184	0.77226	0.4113	0.51705	0.44968	0.39108	0.31998	0.53953	0.03868	0.41268	0.2535	0.07226	Sex | Male	Weighted	1	XGBClassifier	MACCS
92.43307	88.07606	124.02943	191.62514	0.57251	0.42702	0.68511	0.51207	0.55606	0.54088	0.52611	0.46569	0.58399	0.11558	0.50295	0.25113	0.04415	Sex | Female	Weighted	1	XGBClassifier	MACCS
117.49348	117.88036	172.428	256.59761	0.56305	0.40526	0.68521	0.49918	0.54524	0.52696	0.5093	0.44734	0.57114	0.09381	0.49456	0.25176	0.03981	Sex | Unknown	Weighted	1	XGBClassifier	MACCS
111.33031	114.2414	167.016	235.26689	0.55203	0.39997	0.67314	0.49355	0.53655	0.51888	0.50179	0.44186	0.5681	0.0757	0.5054	0.25332	0.03585	Age | Unknown	Weighted	1	XGBClassifier	MACCS
76.97109	88.38362	104.48389	193.67	0.5839	0.42419	0.68664	0.46549	0.55542	0.53969	0.52441	0.44388	0.56973	0.11292	0.45949	0.25268	0.08808	Age | Adult	Weighted	1	XGBClassifier	MACCS
15.53216	17.40617	21.63775	25.71454	0.51372	0.41787	0.59634	0.47155	0.5071	0.49919	0.4914	0.44309	0.49566	0.0144	0.4481	0.26468	0.06399	Age | Children	Weighted	1	XGBClassifier	MACCS
34.33899	40.30209	124.41316	211.15869	0.59846	0.21631	0.83973	0.46005	0.52802	0.42619	0.344	0.29426	0.55457	0.07074	0.44335	0.24725	0.0498	Age | Elderly	Weighted	1	XGBClassifier	MACCS
20.94978	16.0366	17.59635	21.18868	0.55613	0.5435	0.5692	0.56642	0.55635	0.5562	0.55605	0.55472	0.61522	0.11271	0.58012	0.24686	0.09175	Age | Adolescent	Weighted	1	XGBClassifier	MACCS
36.8195	67.1578	75.02782	138.53005	0.55222	0.32919	0.6735	0.35411	0.50135	0.47086	0.44223	0.3412	0.51214	0.00274	0.36766	0.25747	0.12366	Weight | Average	Weighted	1	XGBClassifier	MACCS
23.42799	46.94564	73.31085	158.72363	0.60234	0.24218	0.77174	0.33291	0.50696	0.43232	0.36867	0.28039	0.52606	0.01537	0.34229	0.25479	0.1266	Weight | High	Weighted	1	XGBClassifier	MACCS
