Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 300 | max_depth: 7 | learning_rate: 0.0152056 | max_leaves: 11 | subsample: 0.8410805 | colsample_bytree: 0.8459604 | gamma: 2.977451 | reg_alpha: 3.349231 | reg_lambda: 4.629601	0.50713	0	1	XGBClassifier	MACCS
n_estimators: 500 | max_depth: 6 | learning_rate: 0.005032767 | max_leaves: 5 | subsample: 0.9684529 | colsample_bytree: 0.6479435 | gamma: 2.631825 | reg_alpha: 4.368669 | reg_lambda: 1.587322	0.49001	1	1	XGBClassifier	MACCS
n_estimators: 550 | max_depth: 8 | learning_rate: 0.03262817 | max_leaves: 12 | subsample: 0.6536108 | colsample_bytree: 0.5946727 | gamma: 3.516371 | reg_alpha: 3.126574 | reg_lambda: 4.462719	0.50258	2	1	XGBClassifier	MACCS
n_estimators: 450 | max_depth: 2 | learning_rate: 0.06001339 | max_leaves: 9 | subsample: 0.5124114 | colsample_bytree: 0.8428431 | gamma: 4.853156 | reg_alpha: 2.624528 | reg_lambda: 3.862059	0.50359	3	1	XGBClassifier	MACCS
n_estimators: 325 | max_depth: 2 | learning_rate: 0.07183101 | max_leaves: 4 | subsample: 0.802262 | colsample_bytree: 0.5050814 | gamma: 2.429643 | reg_alpha: 4.48746 | reg_lambda: 0.5060363	0.50054	4	1	XGBClassifier	MACCS
n_estimators: 650 | max_depth: 5 | learning_rate: 0.04776652 | max_leaves: 3 | subsample: 0.951939 | colsample_bytree: 0.7770336 | gamma: 2.896309 | reg_alpha: 3.237978 | reg_lambda: 1.628019	0.51754	5	1	XGBClassifier	MACCS
n_estimators: 450 | max_depth: 10 | learning_rate: 0.006078338 | max_leaves: 1 | subsample: 0.6963917 | colsample_bytree: 0.5782036 | gamma: 2.360961 | reg_alpha: 0.03913257 | reg_lambda: 1.765159	0.0	6	1	XGBClassifier	MACCS
n_estimators: 850 | max_depth: 9 | learning_rate: 0.02067325 | max_leaves: 4 | subsample: 0.5676734 | colsample_bytree: 0.7235286 | gamma: 4.930946 | reg_alpha: 4.963114 | reg_lambda: 0.6204302	0.50542	7	1	XGBClassifier	MACCS
n_estimators: 325 | max_depth: 8 | learning_rate: 0.02731026 | max_leaves: 10 | subsample: 0.7992102 | colsample_bytree: 0.6981281 | gamma: 2.606381 | reg_alpha: 2.641481 | reg_lambda: 3.914801	0.51002	8	1	XGBClassifier	MACCS
n_estimators: 775 | max_depth: 3 | learning_rate: 0.05317185 | max_leaves: 1 | subsample: 0.7594315 | colsample_bytree: 0.7856028 | gamma: 2.03942 | reg_alpha: 1.63085 | reg_lambda: 3.51506	0.0	9	1	XGBClassifier	MACCS
n_estimators: 725 | max_depth: 12 | learning_rate: 0.01086439 | max_leaves: 7 | subsample: 0.9744522 | colsample_bytree: 0.9968348 | gamma: 0.5659578 | reg_alpha: 1.326456 | reg_lambda: 2.570537	0.50457	10	1	XGBClassifier	MACCS
n_estimators: 150 | max_depth: 5 | learning_rate: 0.03540631 | max_leaves: 8 | subsample: 0.8829241 | colsample_bytree: 0.7214137 | gamma: 1.093545 | reg_alpha: 1.865646 | reg_lambda: 2.852667	0.50561	11	1	XGBClassifier	MACCS
n_estimators: 625 | max_depth: 5 | learning_rate: 0.0339962 | max_leaves: 3 | subsample: 0.9078196 | colsample_bytree: 0.9074346 | gamma: 3.770878 | reg_alpha: 3.595326 | reg_lambda: 1.593102	0.51456	12	1	XGBClassifier	MACCS
n_estimators: 975 | max_depth: 4 | learning_rate: 0.09120461 | max_leaves: 2 | subsample: 0.8979279 | colsample_bytree: 0.97825 | gamma: 3.910479 | reg_alpha: 3.678705 | reg_lambda: 1.251584	0.51241	13	1	XGBClassifier	MACCS
n_estimators: 675 | max_depth: 5 | learning_rate: 0.04624846 | max_leaves: 3 | subsample: 0.9190867 | colsample_bytree: 0.8904262 | gamma: 3.925795 | reg_alpha: 3.874799 | reg_lambda: 2.042026	0.51523	14	1	XGBClassifier	MACCS
n_estimators: 700 | max_depth: 4 | learning_rate: 0.0477915 | max_leaves: 0 | subsample: 0.973438 | colsample_bytree: 0.796931 | gamma: 4.296581 | reg_alpha: 4.024499 | reg_lambda: 2.222487	0.50864	15	1	XGBClassifier	MACCS
n_estimators: 850 | max_depth: 6 | learning_rate: 0.0997416 | max_leaves: 6 | subsample: 0.9216734 | colsample_bytree: 0.8970495 | gamma: 1.597837 | reg_alpha: 2.148628 | reg_lambda: 0.1024998	0.5099	16	1	XGBClassifier	MACCS
n_estimators: 625 | max_depth: 4 | learning_rate: 0.04345885 | max_leaves: 3 | subsample: 0.8513052 | colsample_bytree: 0.9148818 | gamma: 3.170007 | reg_alpha: 3.074938 | reg_lambda: 3.11325	0.5157	17	1	XGBClassifier	MACCS
n_estimators: 600 | max_depth: 4 | learning_rate: 0.0204093 | max_leaves: 6 | subsample: 0.845471 | colsample_bytree: 0.7827155 | gamma: 3.180195 | reg_alpha: 0.9913426 | reg_lambda: 3.104609	0.50401	18	1	XGBClassifier	MACCS
n_estimators: 975 | max_depth: 3 | learning_rate: 0.01039673 | max_leaves: 0 | subsample: 0.7086717 | colsample_bytree: 0.9405467 | gamma: 1.626113 | reg_alpha: 2.833014 | reg_lambda: 1.111491	0.50812	19	1	XGBClassifier	MACCS
n_estimators: 850 | max_depth: 6 | learning_rate: 0.07624826 | max_leaves: 2 | subsample: 0.860187 | colsample_bytree: 0.8487043 | gamma: 3.265146 | reg_alpha: 2.20784 | reg_lambda: 3.103046	0.50927	20	1	XGBClassifier	MACCS
n_estimators: 650 | max_depth: 5 | learning_rate: 0.04464521 | max_leaves: 4 | subsample: 0.9360762 | colsample_bytree: 0.8993659 | gamma: 4.400512 | reg_alpha: 3.943988 | reg_lambda: 2.203642	0.51632	21	1	XGBClassifier	MACCS
n_estimators: 575 | max_depth: 3 | learning_rate: 0.04120622 | max_leaves: 4 | subsample: 0.9996853 | colsample_bytree: 0.9445203 | gamma: 4.33019 | reg_alpha: 3.070952 | reg_lambda: 2.454571	0.50958	22	1	XGBClassifier	MACCS
n_estimators: 775 | max_depth: 7 | learning_rate: 0.02710945 | max_leaves: 5 | subsample: 0.9425167 | colsample_bytree: 0.8329338 | gamma: 4.423391 | reg_alpha: 4.285957 | reg_lambda: 2.091932	0.5126	23	1	XGBClassifier	MACCS
n_estimators: 650 | max_depth: 5 | learning_rate: 0.06451267 | max_leaves: 3 | subsample: 0.8177676 | colsample_bytree: 0.9451368 | gamma: 2.865319 | reg_alpha: 4.831367 | reg_lambda: 2.790031	0.51819	24	1	XGBClassifier	MACCS
n_estimators: 500 | max_depth: 7 | learning_rate: 0.06700129 | max_leaves: 2 | subsample: 0.7854611 | colsample_bytree: 0.9575284 | gamma: 0.2838905 | reg_alpha: 4.953053 | reg_lambda: 1.137553	0.50727	25	1	XGBClassifier	MACCS
n_estimators: 400 | max_depth: 5 | learning_rate: 0.05751687 | max_leaves: 5 | subsample: 0.9382828 | colsample_bytree: 0.8616774 | gamma: 2.120624 | reg_alpha: 4.767099 | reg_lambda: 2.477785	0.51448	26	1	XGBClassifier	MACCS
n_estimators: 775 | max_depth: 6 | learning_rate: 0.07854647 | max_leaves: 7 | subsample: 0.8784453 | colsample_bytree: 0.7537594 | gamma: 1.658303 | reg_alpha: 4.13433 | reg_lambda: 1.866478	0.50421	27	1	XGBClassifier	MACCS
n_estimators: 650 | max_depth: 8 | learning_rate: 0.02732435 | max_leaves: 1 | subsample: 0.8214405 | colsample_bytree: 0.8062422 | gamma: 3.50574 | reg_alpha: 4.60912 | reg_lambda: 2.764966	0.0	28	1	XGBClassifier	MACCS
