Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 175 | max_depth: 6 | learning_rate: 0.01024113 | max_leaves: 7 | subsample: 0.8663074 | colsample_bytree: 0.649707 | gamma: 0.5925569 | reg_alpha: 0.915976 | reg_lambda: 1.892385	0.3817	0	1	XGBClassifier	Morgan
n_estimators: 175 | max_depth: 3 | learning_rate: 0.005293345 | max_leaves: 1 | subsample: 0.6492426 | colsample_bytree: 0.9067217 | gamma: 2.986086 | reg_alpha: 2.769581 | reg_lambda: 3.215666	0.0	1	1	XGBClassifier	Morgan
n_estimators: 100 | max_depth: 11 | learning_rate: 0.04481337 | max_leaves: 3 | subsample: 0.5921092 | colsample_bytree: 0.9452101 | gamma: 1.35971 | reg_alpha: 2.481251 | reg_lambda: 0.1969292	0.4113	2	1	XGBClassifier	Morgan
n_estimators: 750 | max_depth: 12 | learning_rate: 0.007504994 | max_leaves: 9 | subsample: 0.6832031 | colsample_bytree: 0.9419428 | gamma: 3.228666 | reg_alpha: 2.516344 | reg_lambda: 2.079743	0.47193	3	1	XGBClassifier	Morgan
n_estimators: 475 | max_depth: 9 | learning_rate: 0.03024971 | max_leaves: 7 | subsample: 0.6842502 | colsample_bytree: 0.7166432 | gamma: 1.925177 | reg_alpha: 2.88412 | reg_lambda: 3.601704	0.49236	4	1	XGBClassifier	Morgan
n_estimators: 200 | max_depth: 10 | learning_rate: 0.06659564 | max_leaves: 8 | subsample: 0.8784199 | colsample_bytree: 0.6499442 | gamma: 4.93957 | reg_alpha: 1.553474 | reg_lambda: 0.4528204	0.48598	5	1	XGBClassifier	Morgan
n_estimators: 425 | max_depth: 2 | learning_rate: 0.01082308 | max_leaves: 9 | subsample: 0.9705571 | colsample_bytree: 0.9623664 | gamma: 3.421157 | reg_alpha: 0.8464396 | reg_lambda: 1.258567	0.40476	6	1	XGBClassifier	Morgan
n_estimators: 775 | max_depth: 5 | learning_rate: 0.03998782 | max_leaves: 0 | subsample: 0.9228956 | colsample_bytree: 0.9578198 | gamma: 0.9034882 | reg_alpha: 0.8495509 | reg_lambda: 1.36757	0.51317	7	1	XGBClassifier	Morgan
n_estimators: 475 | max_depth: 5 | learning_rate: 0.03080013 | max_leaves: 9 | subsample: 0.5065131 | colsample_bytree: 0.8029 | gamma: 1.941843 | reg_alpha: 2.85904 | reg_lambda: 0.159416	0.50386	8	1	XGBClassifier	Morgan
n_estimators: 650 | max_depth: 4 | learning_rate: 0.04118313 | max_leaves: 7 | subsample: 0.7725248 | colsample_bytree: 0.936572 | gamma: 2.46088 | reg_alpha: 1.406356 | reg_lambda: 4.990918	0.50464	9	1	XGBClassifier	Morgan
n_estimators: 1000 | max_depth: 8 | learning_rate: 0.08725351 | max_leaves: 12 | subsample: 0.9714942 | colsample_bytree: 0.8087149 | gamma: 0.04443525 | reg_alpha: 4.823831 | reg_lambda: 1.268406	0.51026	10	1	XGBClassifier	Morgan
n_estimators: 975 | max_depth: 8 | learning_rate: 0.092712 | max_leaves: 12 | subsample: 0.9927559 | colsample_bytree: 0.5154144 | gamma: 0.1154155 | reg_alpha: 4.911689 | reg_lambda: 1.389379	0.50598	11	1	XGBClassifier	Morgan
n_estimators: 1000 | max_depth: 7 | learning_rate: 0.09659617 | max_leaves: 3 | subsample: 0.8904373 | colsample_bytree: 0.8298452 | gamma: 0.7671262 | reg_alpha: 4.751267 | reg_lambda: 1.102331	0.50426	12	1	XGBClassifier	Morgan
n_estimators: 825 | max_depth: 6 | learning_rate: 0.01830606 | max_leaves: 12 | subsample: 0.7988223 | colsample_bytree: 0.8461909 | gamma: 0.240024 | reg_alpha: 0.130871 | reg_lambda: 2.738024	0.49965	13	1	XGBClassifier	Morgan
n_estimators: 850 | max_depth: 8 | learning_rate: 0.05793903 | max_leaves: 0 | subsample: 0.9341277 | colsample_bytree: 0.7463641 | gamma: 1.161176 | reg_alpha: 3.983506 | reg_lambda: 0.8654067	0.50275	14	1	XGBClassifier	Morgan
n_estimators: 675 | max_depth: 5 | learning_rate: 0.02147734 | max_leaves: 4 | subsample: 0.8304388 | colsample_bytree: 0.9942663 | gamma: 0.01333972 | reg_alpha: 3.598742 | reg_lambda: 1.914496	0.47271	15	1	XGBClassifier	Morgan
n_estimators: 900 | max_depth: 7 | learning_rate: 0.06751843 | max_leaves: 5 | subsample: 0.9266745 | colsample_bytree: 0.8726919 | gamma: 1.03652 | reg_alpha: 0.08432381 | reg_lambda: 2.555045	0.50234	16	1	XGBClassifier	Morgan
