Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 300 | criterion: log_loss | max_depth: 18 | min_samples_leaf: 3 | min_samples_split: 3 | max_features: log2 | ccp_alpha: 0.001054347	0.27706	0	1	RandomForestClassifier	MACCS
n_estimators: 725 | criterion: gini | max_depth: 3 | min_samples_leaf: 5 | min_samples_split: 9 | max_features: log2 | ccp_alpha: 0.003547621	0.0	1	1	RandomForestClassifier	MACCS
n_estimators: 175 | criterion: entropy | max_depth: 13 | min_samples_leaf: 6 | min_samples_split: 8 | max_features: log2 | ccp_alpha: 0.00905501	0.0	2	1	RandomForestClassifier	MACCS
n_estimators: 175 | criterion: entropy | max_depth: 16 | min_samples_leaf: 7 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.005254646	0.22723	3	1	RandomForestClassifier	MACCS
n_estimators: 325 | criterion: entropy | max_depth: 20 | min_samples_leaf: 6 | min_samples_split: 2 | max_features: sqrt | ccp_alpha: 5.459682e-05	0.48427	4	1	RandomForestClassifier	MACCS
n_estimators: 375 | criterion: entropy | max_depth: 3 | min_samples_leaf: 1 | min_samples_split: 2 | max_features: log2 | ccp_alpha: 0.002508558	0.00044	5	1	RandomForestClassifier	MACCS
n_estimators: 275 | criterion: gini | max_depth: 3 | min_samples_leaf: 1 | min_samples_split: 6 | max_features: log2 | ccp_alpha: 0.0001231457	0.00197	6	1	RandomForestClassifier	MACCS
n_estimators: 900 | criterion: log_loss | max_depth: 17 | min_samples_leaf: 6 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.0008563282	0.46533	7	1	RandomForestClassifier	MACCS
n_estimators: 325 | criterion: log_loss | max_depth: 5 | min_samples_leaf: 2 | min_samples_split: 9 | max_features: log2 | ccp_alpha: 0.008870136	0.0	8	1	RandomForestClassifier	MACCS
n_estimators: 150 | criterion: log_loss | max_depth: 2 | min_samples_leaf: 8 | min_samples_split: 9 | max_features: sqrt | ccp_alpha: 0.0102917	0.0	9	1	RandomForestClassifier	MACCS
