Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 625 | criterion: log_loss | max_depth: 13 | min_samples_leaf: 3 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 2.655541e-05	0.21306	0	2	RandomForestClassifier	MACCS
n_estimators: 450 | criterion: log_loss | max_depth: 12 | min_samples_leaf: 4 | min_samples_split: 9 | max_features: log2 | ccp_alpha: 0.006006579	0.0	1	2	RandomForestClassifier	MACCS
n_estimators: 750 | criterion: log_loss | max_depth: 10 | min_samples_leaf: 2 | min_samples_split: 8 | max_features: sqrt | ccp_alpha: 0.004072678	0.0	2	2	RandomForestClassifier	MACCS
n_estimators: 675 | criterion: gini | max_depth: 6 | min_samples_leaf: 9 | min_samples_split: 5 | max_features: sqrt | ccp_alpha: 0.03610345	0.0	3	2	RandomForestClassifier	MACCS
n_estimators: 250 | criterion: gini | max_depth: 10 | min_samples_leaf: 1 | min_samples_split: 10 | max_features: None | ccp_alpha: 0.0002181594	0.3996	4	2	RandomForestClassifier	MACCS
n_estimators: 900 | criterion: log_loss | max_depth: 9 | min_samples_leaf: 8 | min_samples_split: 4 | max_features: sqrt | ccp_alpha: 0.03708748	0.0	5	2	RandomForestClassifier	MACCS
n_estimators: 250 | criterion: entropy | max_depth: 7 | min_samples_leaf: 9 | min_samples_split: 7 | max_features: sqrt | ccp_alpha: 1.658482e-05	0.06007	6	2	RandomForestClassifier	MACCS
n_estimators: 175 | criterion: entropy | max_depth: 13 | min_samples_leaf: 4 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 0.0001736694	0.20568	7	2	RandomForestClassifier	MACCS
n_estimators: 625 | criterion: log_loss | max_depth: 18 | min_samples_leaf: 3 | min_samples_split: 8 | max_features: sqrt | ccp_alpha: 0.000290729	0.25422	8	2	RandomForestClassifier	MACCS
n_estimators: 775 | criterion: gini | max_depth: 4 | min_samples_leaf: 10 | min_samples_split: 3 | max_features: log2 | ccp_alpha: 2.863832e-05	0.0	9	2	RandomForestClassifier	MACCS
n_estimators: 350 | criterion: gini | max_depth: 18 | min_samples_leaf: 1 | min_samples_split: 2 | max_features: None | ccp_alpha: 0.001043007	0.32912	10	2	RandomForestClassifier	MACCS
n_estimators: 375 | criterion: gini | max_depth: 20 | min_samples_leaf: 1 | min_samples_split: 2 | max_features: None | ccp_alpha: 0.001234722	0.30089	11	2	RandomForestClassifier	MACCS
n_estimators: 100 | criterion: gini | max_depth: 16 | min_samples_leaf: 1 | min_samples_split: 5 | max_features: None | ccp_alpha: 0.00018642	0.4416	12	2	RandomForestClassifier	MACCS
n_estimators: 100 | criterion: gini | max_depth: 15 | min_samples_leaf: 6 | min_samples_split: 5 | max_features: None | ccp_alpha: 0.0001147109	0.44894	13	2	RandomForestClassifier	MACCS
n_estimators: 100 | criterion: gini | max_depth: 16 | min_samples_leaf: 6 | min_samples_split: 5 | max_features: None | ccp_alpha: 8.023242e-05	0.45392	14	2	RandomForestClassifier	MACCS
n_estimators: 100 | criterion: gini | max_depth: 15 | min_samples_leaf: 6 | min_samples_split: 5 | max_features: None | ccp_alpha: 7.085515e-05	0.44695	15	2	RandomForestClassifier	MACCS
n_estimators: 425 | criterion: gini | max_depth: 16 | min_samples_leaf: 6 | min_samples_split: 6 | max_features: None | ccp_alpha: 5.830117e-05	0.45153	16	2	RandomForestClassifier	MACCS
n_estimators: 500 | criterion: entropy | max_depth: 20 | min_samples_leaf: 7 | min_samples_split: 6 | max_features: None | ccp_alpha: 4.553379e-05	0.44175	17	2	RandomForestClassifier	MACCS
n_estimators: 325 | criterion: gini | max_depth: 17 | min_samples_leaf: 5 | min_samples_split: 6 | max_features: None | ccp_alpha: 0.0005020095	0.39094	18	2	RandomForestClassifier	MACCS
n_estimators: 975 | criterion: gini | max_depth: 14 | min_samples_leaf: 7 | min_samples_split: 4 | max_features: None | ccp_alpha: 1.45284e-05	0.44534	19	2	RandomForestClassifier	MACCS
n_estimators: 450 | criterion: entropy | max_depth: 2 | min_samples_leaf: 5 | min_samples_split: 7 | max_features: None | ccp_alpha: 6.320862e-05	0.0	20	2	RandomForestClassifier	MACCS
n_estimators: 225 | criterion: gini | max_depth: 15 | min_samples_leaf: 6 | min_samples_split: 4 | max_features: None | ccp_alpha: 0.0001010275	0.44236	21	2	RandomForestClassifier	MACCS
n_estimators: 175 | criterion: gini | max_depth: 18 | min_samples_leaf: 7 | min_samples_split: 5 | max_features: None | ccp_alpha: 9.25209e-05	0.4504	22	2	RandomForestClassifier	MACCS
n_estimators: 175 | criterion: gini | max_depth: 18 | min_samples_leaf: 7 | min_samples_split: 6 | max_features: None | ccp_alpha: 3.692962e-05	0.45155	23	2	RandomForestClassifier	MACCS
n_estimators: 300 | criterion: gini | max_depth: 19 | min_samples_leaf: 8 | min_samples_split: 6 | max_features: None | ccp_alpha: 1.103773e-05	0.44898	24	2	RandomForestClassifier	MACCS
n_estimators: 175 | criterion: gini | max_depth: 17 | min_samples_leaf: 8 | min_samples_split: 6 | max_features: None | ccp_alpha: 3.05114e-05	0.44184	25	2	RandomForestClassifier	MACCS
n_estimators: 400 | criterion: gini | max_depth: 16 | min_samples_leaf: 5 | min_samples_split: 8 | max_features: None | ccp_alpha: 4.133749e-05	0.45712	26	2	RandomForestClassifier	MACCS
n_estimators: 525 | criterion: gini | max_depth: 13 | min_samples_leaf: 4 | min_samples_split: 8 | max_features: None | ccp_alpha: 0.0004766158	0.39362	27	2	RandomForestClassifier	MACCS
n_estimators: 275 | criterion: entropy | max_depth: 20 | min_samples_leaf: 5 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 3.394378e-05	0.25193	28	2	RandomForestClassifier	MACCS
n_estimators: 175 | criterion: gini | max_depth: 11 | min_samples_leaf: 3 | min_samples_split: 9 | max_features: None | ccp_alpha: 1.754697e-05	0.43637	29	2	RandomForestClassifier	MACCS
n_estimators: 625 | criterion: log_loss | max_depth: 17 | min_samples_leaf: 7 | min_samples_split: 9 | max_features: log2 | ccp_alpha: 0.002520842	0.0	30	2	RandomForestClassifier	MACCS
n_estimators: 400 | criterion: gini | max_depth: 16 | min_samples_leaf: 6 | min_samples_split: 7 | max_features: None | ccp_alpha: 4.889267e-05	0.45361	31	2	RandomForestClassifier	MACCS
n_estimators: 400 | criterion: gini | max_depth: 13 | min_samples_leaf: 5 | min_samples_split: 8 | max_features: None | ccp_alpha: 2.35749e-05	0.43955	32	2	RandomForestClassifier	MACCS
n_estimators: 500 | criterion: gini | max_depth: 16 | min_samples_leaf: 4 | min_samples_split: 7 | max_features: None | ccp_alpha: 4.56738e-05	0.45862	33	2	RandomForestClassifier	MACCS
n_estimators: 500 | criterion: gini | max_depth: 14 | min_samples_leaf: 4 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.000143831	0.44476	34	2	RandomForestClassifier	MACCS
n_estimators: 550 | criterion: log_loss | max_depth: 16 | min_samples_leaf: 3 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.0002936904	0.44614	35	2	RandomForestClassifier	MACCS
