TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
1670.99305	646.79379	807.89405	430.3984	0.59093	0.67409	0.39956	0.72094	0.53682	0.51898	0.50172	0.69673	0.57235	0.07104	0.77195	0.25867	0.11122	Total | Total	Weighted	0	RandomForestClassifier	Morgan
529.68182	210.46129	249.20132	120.4231	0.5858	0.68005	0.36394	0.71565	0.522	0.49749	0.47414	0.6974	0.56025	0.0427	0.76607	0.25975	0.11883	Sex | Female	Weighted	0	RandomForestClassifier	Morgan
392.69243	192.31979	254.09795	141.64336	0.54482	0.60714	0.42413	0.67126	0.51563	0.50745	0.4994	0.63759	0.51986	0.0302	0.69321	0.26557	0.12545	Sex | Male	Weighted	0	RandomForestClassifier	Morgan
748.6188	244.01271	304.59478	168.33194	0.62567	0.71079	0.40823	0.75418	0.55951	0.53867	0.51861	0.73184	0.6103	0.11448	0.81098	0.2524	0.11348	Sex | Unknown	Weighted	0	RandomForestClassifier	Morgan
129.02875	40.52501	41.5417	12.70545	0.6333	0.75645	0.23869	0.76099	0.49757	0.42492	0.36288	0.75872	0.48883	-0.00483	0.7601	0.24917	0.17689	Age | Adolescent	Weighted	0	RandomForestClassifier	Morgan
92.24817	39.54201	39.5805	17.83036	0.58181	0.69976	0.31078	0.69996	0.50527	0.46634	0.43041	0.69986	0.49666	0.01054	0.67926	0.25289	0.17184	Age | Children	Weighted	0	RandomForestClassifier	Morgan
723.38748	212.1945	274.14855	174.44576	0.64864	0.72517	0.45118	0.7732	0.58818	0.572	0.55627	0.74842	0.65518	0.16906	0.83339	0.25022	0.09845	Age | Unknown	Weighted	0	RandomForestClassifier	Morgan
285.82072	161.46533	249.05362	131.99306	0.5044	0.53437	0.44978	0.63901	0.49208	0.49026	0.48844	0.58202	0.47241	-0.01521	0.62825	0.26618	0.14595	Age | Elderly	Weighted	0	RandomForestClassifier	Morgan
440.50793	193.06694	203.56968	93.42377	0.57377	0.68394	0.3261	0.69527	0.50502	0.47226	0.44163	0.68956	0.52478	0.00994	0.72475	0.26705	0.11985	Age | Adult	Weighted	0	RandomForestClassifier	Morgan
174.60904	118.14257	245.09791	118.54333	0.44661	0.41603	0.50085	0.59644	0.45844	0.45647	0.45451	0.49016	0.4016	-0.0803	0.56763	0.27415	0.21415	Weight | Average	Weighted	0	RandomForestClassifier	Morgan
111.83488	79.50972	261.83181	142.57124	0.42704	0.29929	0.64198	0.58447	0.47063	0.43834	0.40825	0.39587	0.4409	-0.06082	0.58589	0.27444	0.20202	Weight | Low	Weighted	0	RandomForestClassifier	Morgan
1247.88308	347.9405	87.5984	42.21812	0.74761	0.93441	0.10821	0.78197	0.52131	0.31798	0.19395	0.85142	0.62809	0.06758	0.84788	0.23467	0.07748	Weight | Unknown	Weighted	0	RandomForestClassifier	Morgan
136.66605	101.201	213.36593	127.06571	0.45605	0.39044	0.55665	0.57455	0.47355	0.4662	0.45896	0.46493	0.44055	-0.05255	0.56601	0.27144	0.17426	Weight | High	Weighted	0	RandomForestClassifier	Morgan
3813.0	2435.0	2419.0	1718.0	0.5326	0.61184	0.41368	0.61028	0.51276	0.5031	0.49361	0.61106	0.51863	0.02554	0.63218	0.25867	0.12146	Total | Total	Unweighted	0	RandomForestClassifier	Morgan
1262.0	799.0	762.0	506.0	0.53109	0.62352	0.38774	0.61232	0.50563	0.49169	0.47814	0.61787	0.5098	0.01132	0.6296	0.25975	0.12674	Sex | Female	Unweighted	0	RandomForestClassifier	Morgan
997.0	713.0	800.0	575.0	0.50956	0.55481	0.44643	0.58304	0.50062	0.49768	0.49475	0.56858	0.49134	0.00123	0.58217	0.26557	0.13268	Sex | Male	Unweighted	0	RandomForestClassifier	Morgan
1554.0	923.0	857.0	637.0	0.55175	0.64455	0.40833	0.62737	0.52644	0.51302	0.49994	0.63584	0.54411	0.05331	0.66171	0.2524	0.10832	Sex | Unknown	Unweighted	0	RandomForestClassifier	Morgan
422.0	204.0	159.0	75.0	0.57791	0.72633	0.26882	0.67412	0.49758	0.44187	0.3924	0.69925	0.45644	-0.0051	0.64121	0.24917	0.14326	Age | Adolescent	Unweighted	0	RandomForestClassifier	Morgan
372.0	178.0	204.0	93.0	0.549	0.64583	0.34317	0.67636	0.4945	0.47078	0.44819	0.66075	0.47562	-0.01075	0.65176	0.25289	0.16766	Age | Children	Unweighted	0	RandomForestClassifier	Morgan
1310.0	765.0	715.0	626.0	0.56674	0.64691	0.45004	0.63133	0.54847	0.53957	0.53081	0.63902	0.57903	0.09754	0.67411	0.25022	0.10689	Age | Unknown	Unweighted	0	RandomForestClassifier	Morgan
710.0	570.0	688.0	515.0	0.49335	0.50787	0.47465	0.55469	0.49126	0.49098	0.4907	0.53025	0.47446	-0.01735	0.54097	0.26618	0.11103	Age | Elderly	Unweighted	0	RandomForestClassifier	Morgan
999.0	718.0	653.0	409.0	0.50666	0.60472	0.36291	0.58183	0.48382	0.46847	0.4536	0.59305	0.48399	-0.03271	0.59686	0.26705	0.13319	Age | Adult	Unweighted	0	RandomForestClassifier	Morgan
581.0	443.0	742.0	470.0	0.47004	0.43915	0.51479	0.56738	0.47697	0.47547	0.47397	0.4951	0.44084	-0.04544	0.54097	0.27415	0.1628	Weight | Average	Unweighted	0	RandomForestClassifier	Morgan
418.0	347.0	797.0	589.0	0.46815	0.34403	0.62927	0.54641	0.48665	0.46529	0.44486	0.42222	0.47208	-0.02765	0.54123	0.27444	0.14526	Weight | Low	Unweighted	0	RandomForestClassifier	Morgan
2356.0	1255.0	197.0	139.0	0.63213	0.92284	0.09971	0.65245	0.51127	0.30335	0.17998	0.76444	0.55418	0.03862	0.69535	0.23467	0.07903	Weight | Unknown	Unweighted	0	RandomForestClassifier	Morgan
458.0	390.0	683.0	520.0	0.47684	0.4014	0.57143	0.54009	0.48642	0.47893	0.47156	0.46053	0.46813	-0.02741	0.53221	0.27144	0.13309	Weight | High	Unweighted	0	RandomForestClassifier	Morgan
1064.84879	413.13415	277.93708	158.3897	0.639	0.79301	0.27714	0.72047	0.53508	0.4688	0.41073	0.75501	0.61874	0.07653	0.8082	0.24494	0.08703	Total | Total	Weighted	3	RandomForestClassifier	Morgan
260.83817	123.49651	100.48111	56.78558	0.58645	0.7219	0.31498	0.67867	0.51844	0.47685	0.4386	0.69962	0.56311	0.03829	0.74428	0.25024	0.09291	Sex | Male	Weighted	3	RandomForestClassifier	Morgan
