TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
1965.15055	717.21524	513.73655	359.97695	0.65385	0.79276	0.33418	0.73262	0.56347	0.51471	0.47017	0.7615	0.61863	0.13549	0.78369	0.26543	0.10447	Total | Total	Weighted	0	XGBClassifier	ChemBERTa
629.71519	226.69833	149.16795	104.18606	0.66131	0.80848	0.31487	0.73529	0.56168	0.50455	0.45323	0.77015	0.61212	0.13444	0.77954	0.26529	0.10878	Sex | Female	Weighted	0	XGBClassifier	ChemBERTa
444.43923	193.18489	202.35115	140.77826	0.5967	0.68715	0.42154	0.69702	0.55434	0.5382	0.52253	0.69205	0.57232	0.10799	0.70688	0.27633	0.13312	Sex | Male	Weighted	0	XGBClassifier	ChemBERTa
890.99613	297.33202	162.21745	115.01263	0.68643	0.84598	0.27892	0.74979	0.56245	0.48576	0.41953	0.79499	0.64787	0.14341	0.8179	0.25708	0.08204	Sex | Unknown	Weighted	0	XGBClassifier	ChemBERTa
139.97152	43.73365	30.59893	9.49681	0.66786	0.82061	0.17841	0.76194	0.49951	0.38263	0.2931	0.79018	0.48281	-0.00109	0.73359	0.26017	0.15592	Age | Adolescent	Weighted	0	XGBClassifier	ChemBERTa
505.55159	194.58676	138.52602	91.90395	0.64203	0.78492	0.32079	0.72207	0.55286	0.50179	0.45545	0.75219	0.5821	0.11306	0.7468	0.27147	0.12313	Age | Adult	Weighted	0	XGBClassifier	ChemBERTa
887.01266	284.48208	110.52337	102.15818	0.71463	0.8892	0.26422	0.75716	0.57671	0.48471	0.40739	0.81789	0.69359	0.19089	0.84315	0.25477	0.05427	Age | Unknown	Weighted	0	XGBClassifier	ChemBERTa
329.85091	150.44794	205.02343	143.01045	0.57086	0.61669	0.48733	0.68676	0.55201	0.54821	0.54443	0.64984	0.56668	0.10079	0.68318	0.27681	0.14075	Age | Elderly	Weighted	0	XGBClassifier	ChemBERTa
102.76387	43.96481	29.0648	13.40756	0.61401	0.77953	0.23369	0.70037	0.50661	0.42681	0.35959	0.73783	0.50378	0.01456	0.69269	0.2606	0.16872	Age | Children	Weighted	0	XGBClassifier	ChemBERTa
257.22435	123.31163	162.4826	113.37427	0.5646	0.61287	0.47901	0.67595	0.54594	0.54182	0.53773	0.64287	0.54588	0.08937	0.66113	0.26812	0.14937	Weight | Average	Weighted	0	XGBClassifier	ChemBERTa
191.16887	111.42033	158.86311	116.84638	0.53262	0.54615	0.51189	0.63178	0.52902	0.52874	0.52846	0.58585	0.53975	0.05679	0.63018	0.26856	0.12923	Weight | High	Weighted	0	XGBClassifier	ChemBERTa
207.43924	117.86915	166.22745	104.21181	0.52313	0.55515	0.46925	0.63767	0.5122	0.51039	0.5086	0.59355	0.52201	0.02369	0.63136	0.27263	0.15324	Weight | Low	Weighted	0	XGBClassifier	ChemBERTa
1309.31809	364.61413	26.16339	25.54449	0.77355	0.98041	0.06547	0.78218	0.52294	0.25336	0.12275	0.87015	0.60123	0.11257	0.82903	0.25836	0.06308	Weight | Unknown	Weighted	0	XGBClassifier	ChemBERTa
4465.0	2758.0	1767.0	1395.0	0.56428	0.71646	0.3359	0.61816	0.52618	0.49057	0.45737	0.66369	0.54887	0.05574	0.64245	0.26543	0.14584	Total | Total	Unweighted	0	XGBClassifier	ChemBERTa
1471.0	890.0	553.0	415.0	0.56654	0.72678	0.31801	0.62304	0.52239	0.48075	0.44243	0.67092	0.54209	0.04815	0.64018	0.26529	0.14438	Sex | Female	Unweighted	0	XGBClassifier	ChemBERTa
1095.0	732.0	702.0	556.0	0.53517	0.60935	0.43168	0.59934	0.52051	0.51288	0.50535	0.6043	0.52333	0.04117	0.59674	0.27633	0.16044	Sex | Male	Unweighted	0	XGBClassifier	ChemBERTa
1899.0	1136.0	512.0	424.0	0.58499	0.78764	0.27179	0.6257	0.52972	0.46268	0.40413	0.69739	0.57185	0.06839	0.66802	0.25708	0.13572	Sex | Unknown	Unweighted	0	XGBClassifier	ChemBERTa
458.0	221.0	123.0	58.0	0.6	0.7883	0.20789	0.67452	0.49809	0.40481	0.32901	0.72698	0.47136	-0.00439	0.63772	0.26017	0.17688	Age | Adolescent	Unweighted	0	XGBClassifier	ChemBERTa
1158.0	745.0	494.0	382.0	0.55416	0.70097	0.33895	0.60851	0.51996	0.48744	0.45695	0.65148	0.5299	0.04219	0.61678	0.27147	0.15567	Age | Adult	Unweighted	0	XGBClassifier	ChemBERTa
1697.0	1062.0	328.0	329.0	0.59309	0.83802	0.23652	0.61508	0.53727	0.44521	0.36892	0.70945	0.59919	0.09293	0.67932	0.25477	0.13041	Age | Unknown	Unweighted	0	XGBClassifier	ChemBERTa
729.0	533.0	669.0	552.0	0.51591	0.52146	0.50876	0.57765	0.51511	0.51507	0.51503	0.54812	0.52548	0.02998	0.57801	0.27681	0.15238	Age | Elderly	Unweighted	0	XGBClassifier	ChemBERTa
423.0	197.0	153.0	74.0	0.58678	0.73438	0.27306	0.68226	0.50372	0.44781	0.3981	0.70736	0.49571	0.00783	0.66566	0.2606	0.18366	Age | Children	Unweighted	0	XGBClassifier	ChemBERTa
