Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 575 | max_depth: 8 | learning_rate: 0.005965674 | max_leaves: 1 | subsample: 0.8545007 | colsample_bytree: 0.7467396 | gamma: 2.000128 | reg_alpha: 0.1957639 | reg_lambda: 0.1642106	0.0	0	0	XGBClassifier	Klek
n_estimators: 275 | max_depth: 5 | learning_rate: 0.07798213 | max_leaves: 6 | subsample: 0.5748333 | colsample_bytree: 0.8262633 | gamma: 0.7548838 | reg_alpha: 2.90071 | reg_lambda: 3.713874	0.36589	1	0	XGBClassifier	Klek
n_estimators: 800 | max_depth: 5 | learning_rate: 0.01038449 | max_leaves: 10 | subsample: 0.7025306 | colsample_bytree: 0.7214903 | gamma: 2.881387 | reg_alpha: 0.03451143 | reg_lambda: 1.978561	0.30912	2	0	XGBClassifier	Klek
n_estimators: 850 | max_depth: 3 | learning_rate: 0.0291689 | max_leaves: 2 | subsample: 0.7202788 | colsample_bytree: 0.8923343 | gamma: 1.96506 | reg_alpha: 0.6695954 | reg_lambda: 0.08096121	0.16536	3	0	XGBClassifier	Klek
n_estimators: 500 | max_depth: 2 | learning_rate: 0.06555815 | max_leaves: 0 | subsample: 0.9055878 | colsample_bytree: 0.8330448 | gamma: 1.727795 | reg_alpha: 0.1076072 | reg_lambda: 0.8653657	0.34759	4	0	XGBClassifier	Klek
n_estimators: 150 | max_depth: 8 | learning_rate: 0.08053383 | max_leaves: 2 | subsample: 0.890155 | colsample_bytree: 0.8102659 | gamma: 0.4298149 | reg_alpha: 3.281223 | reg_lambda: 1.162365	0.05617	5	0	XGBClassifier	Klek
n_estimators: 875 | max_depth: 12 | learning_rate: 0.05187156 | max_leaves: 10 | subsample: 0.8106719 | colsample_bytree: 0.546472 | gamma: 0.3704405 | reg_alpha: 0.7657183 | reg_lambda: 2.610932	0.46888	6	0	XGBClassifier	Klek
n_estimators: 425 | max_depth: 12 | learning_rate: 0.0313859 | max_leaves: 2 | subsample: 0.9231123 | colsample_bytree: 0.602266 | gamma: 1.700683 | reg_alpha: 0.6354551 | reg_lambda: 3.244414	0.0574	7	0	XGBClassifier	Klek
n_estimators: 150 | max_depth: 7 | learning_rate: 0.005573092 | max_leaves: 2 | subsample: 0.6119214 | colsample_bytree: 0.8641159 | gamma: 3.782707 | reg_alpha: 3.43397 | reg_lambda: 0.6782149	0.0	8	0	XGBClassifier	Klek
n_estimators: 850 | max_depth: 10 | learning_rate: 0.06889556 | max_leaves: 10 | subsample: 0.934791 | colsample_bytree: 0.7972714 | gamma: 4.895749 | reg_alpha: 4.361957 | reg_lambda: 4.021583	0.27682	9	0	XGBClassifier	Klek
n_estimators: 1000 | max_depth: 11 | learning_rate: 0.01631656 | max_leaves: 12 | subsample: 0.807658 | colsample_bytree: 0.5041139 | gamma: 0.2010552 | reg_alpha: 2.010221 | reg_lambda: 4.775647	0.3952	10	0	XGBClassifier	Klek
