Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 600 | max_depth: 12 | learning_rate: 0.005768162 | max_leaves: 0 | subsample: 0.7671398 | colsample_bytree: 0.7332834 | gamma: 1.296362 | reg_alpha: 4.137332 | reg_lambda: 4.183779	0.26118	0	0	XGBClassifier	RDKit
n_estimators: 425 | max_depth: 3 | learning_rate: 0.03119414 | max_leaves: 3 | subsample: 0.5549064 | colsample_bytree: 0.8823748 | gamma: 3.509768 | reg_alpha: 0.4659013 | reg_lambda: 2.727087	0.18894	1	0	XGBClassifier	RDKit
n_estimators: 425 | max_depth: 6 | learning_rate: 0.09130573 | max_leaves: 5 | subsample: 0.5063728 | colsample_bytree: 0.8438197 | gamma: 1.305243 | reg_alpha: 2.120316 | reg_lambda: 0.5183779	0.43334	2	0	XGBClassifier	RDKit
n_estimators: 200 | max_depth: 7 | learning_rate: 0.04236393 | max_leaves: 4 | subsample: 0.5584308 | colsample_bytree: 0.9122583 | gamma: 1.068919 | reg_alpha: 1.573617 | reg_lambda: 0.9441559	0.17599	3	0	XGBClassifier	RDKit
n_estimators: 1000 | max_depth: 3 | learning_rate: 0.01133122 | max_leaves: 1 | subsample: 0.8299659 | colsample_bytree: 0.9169106 | gamma: 3.15496 | reg_alpha: 1.937601 | reg_lambda: 1.219727	0.0	4	0	XGBClassifier	RDKit
n_estimators: 650 | max_depth: 2 | learning_rate: 0.005906322 | max_leaves: 4 | subsample: 0.6618384 | colsample_bytree: 0.5747816 | gamma: 1.914681 | reg_alpha: 4.150563 | reg_lambda: 0.1696725	0.01781	5	0	XGBClassifier	RDKit
n_estimators: 1000 | max_depth: 9 | learning_rate: 0.009418944 | max_leaves: 4 | subsample: 0.5868607 | colsample_bytree: 0.8806458 | gamma: 2.129314 | reg_alpha: 2.327774 | reg_lambda: 1.531964	0.17076	6	0	XGBClassifier	RDKit
n_estimators: 850 | max_depth: 9 | learning_rate: 0.006410508 | max_leaves: 8 | subsample: 0.9468107 | colsample_bytree: 0.5055023 | gamma: 3.273665 | reg_alpha: 2.974823 | reg_lambda: 0.04255754	0.19178	7	0	XGBClassifier	RDKit
n_estimators: 525 | max_depth: 8 | learning_rate: 0.02137085 | max_leaves: 8 | subsample: 0.7141378 | colsample_bytree: 0.8831811 | gamma: 0.5400863 | reg_alpha: 4.502048 | reg_lambda: 2.179747	0.31437	8	0	XGBClassifier	RDKit
n_estimators: 375 | max_depth: 6 | learning_rate: 0.01190066 | max_leaves: 0 | subsample: 0.6775035 | colsample_bytree: 0.6671883 | gamma: 3.768056 | reg_alpha: 3.469947 | reg_lambda: 3.843906	0.24937	9	0	XGBClassifier	RDKit
n_estimators: 150 | max_depth: 5 | learning_rate: 0.09602316 | max_leaves: 11 | subsample: 0.5010016 | colsample_bytree: 0.9976114 | gamma: 4.626666 | reg_alpha: 0.9189364 | reg_lambda: 3.106666	0.34632	10	0	XGBClassifier	RDKit
n_estimators: 100 | max_depth: 5 | learning_rate: 0.09916923 | max_leaves: 12 | subsample: 0.5151848 | colsample_bytree: 0.9891454 | gamma: 4.851178 | reg_alpha: 0.7481198 | reg_lambda: 3.060042	0.33741	11	0	XGBClassifier	RDKit
n_estimators: 250 | max_depth: 5 | learning_rate: 0.09171913 | max_leaves: 12 | subsample: 0.5035652 | colsample_bytree: 0.7967561 | gamma: 4.813379 | reg_alpha: 1.038829 | reg_lambda: 4.912161	0.3463	12	0	XGBClassifier	RDKit
n_estimators: 325 | max_depth: 5 | learning_rate: 0.05495594 | max_leaves: 8 | subsample: 0.6176623 | colsample_bytree: 0.7838579 | gamma: 0.1836724 | reg_alpha: 1.325609 | reg_lambda: 3.406504	0.37074	13	0	XGBClassifier	RDKit
n_estimators: 350 | max_depth: 11 | learning_rate: 0.05767376 | max_leaves: 7 | subsample: 0.6169885 | colsample_bytree: 0.7736062 | gamma: 0.3041872 | reg_alpha: 1.733449 | reg_lambda: 1.996167	0.37024	14	0	XGBClassifier	RDKit
n_estimators: 725 | max_depth: 4 | learning_rate: 0.04765383 | max_leaves: 10 | subsample: 0.6356989 | colsample_bytree: 0.6960455 | gamma: 0.9285431 | reg_alpha: 2.826609 | reg_lambda: 3.826527	0.43578	15	0	XGBClassifier	RDKit
n_estimators: 750 | max_depth: 3 | learning_rate: 0.06331718 | max_leaves: 10 | subsample: 0.813756 | colsample_bytree: 0.6685974 | gamma: 1.330362 | reg_alpha: 3.04441 | reg_lambda: 4.908235	0.40105	16	0	XGBClassifier	RDKit
n_estimators: 500 | max_depth: 7 | learning_rate: 0.02108267 | max_leaves: 6 | subsample: 0.9485693 | colsample_bytree: 0.6530295 | gamma: 0.8877746 | reg_alpha: 2.465532 | reg_lambda: 0.6764684	0.28754	17	0	XGBClassifier	RDKit
n_estimators: 725 | max_depth: 4 | learning_rate: 0.03917734 | max_leaves: 10 | subsample: 0.6541968 | colsample_bytree: 0.8287891 | gamma: 1.761111 | reg_alpha: 0.05826507 | reg_lambda: 4.131844	0.4482	18	0	XGBClassifier	RDKit
n_estimators: 800 | max_depth: 2 | learning_rate: 0.03446212 | max_leaves: 10 | subsample: 0.7484243 | colsample_bytree: 0.7133422 | gamma: 2.714641 | reg_alpha: 3.530438 | reg_lambda: 4.246216	0.35394	19	0	XGBClassifier	RDKit
n_estimators: 725 | max_depth: 4 | learning_rate: 0.02822471 | max_leaves: 10 | subsample: 0.8754846 | colsample_bytree: 0.5884615 | gamma: 1.849075 | reg_alpha: 0.1466475 | reg_lambda: 3.672191	0.4002	20	0	XGBClassifier	RDKit
n_estimators: 875 | max_depth: 4 | learning_rate: 0.06695053 | max_leaves: 6 | subsample: 0.6546621 | colsample_bytree: 0.836599 | gamma: 1.558323 | reg_alpha: 4.962275 | reg_lambda: 4.450394	0.40649	21	0	XGBClassifier	RDKit
n_estimators: 650 | max_depth: 6 | learning_rate: 0.04416685 | max_leaves: 9 | subsample: 0.704269 | colsample_bytree: 0.8292923 | gamma: 2.453578 | reg_alpha: 2.969706 | reg_lambda: 2.46112	0.38758	22	0	XGBClassifier	RDKit
n_estimators: 475 | max_depth: 4 | learning_rate: 0.0754571 | max_leaves: 6 | subsample: 0.6210987 | colsample_bytree: 0.7125103 | gamma: 0.74957 | reg_alpha: 0.0229387 | reg_lambda: 3.814136	0.43234	23	0	XGBClassifier	RDKit
n_estimators: 600 | max_depth: 6 | learning_rate: 0.0434944 | max_leaves: 5 | subsample: 0.5690086 | colsample_bytree: 0.8243433 | gamma: 1.491952 | reg_alpha: 2.311291 | reg_lambda: 1.784229	0.38265	24	0	XGBClassifier	RDKit
n_estimators: 725 | max_depth: 7 | learning_rate: 0.01695021 | max_leaves: 9 | subsample: 0.7457723 | colsample_bytree: 0.7511884 | gamma: 2.474866 | reg_alpha: 2.093761 | reg_lambda: 4.545165	0.34556	25	0	XGBClassifier	RDKit
n_estimators: 900 | max_depth: 4 | learning_rate: 0.04987991 | max_leaves: 2 | subsample: 0.594678 | colsample_bytree: 0.9598332 | gamma: 0.07440062 | reg_alpha: 3.393997 | reg_lambda: 3.239251	0.27902	26	0	XGBClassifier	RDKit
n_estimators: 650 | max_depth: 8 | learning_rate: 0.07558873 | max_leaves: 11 | subsample: 0.6479394 | colsample_bytree: 0.6135495 | gamma: 1.740895 | reg_alpha: 1.526295 | reg_lambda: 2.679518	0.41281	27	0	XGBClassifier	RDKit
n_estimators: 800 | max_depth: 3 | learning_rate: 0.03599257 | max_leaves: 7 | subsample: 0.5361824 | colsample_bytree: 0.8523313 | gamma: 0.6052232 | reg_alpha: 2.63124 | reg_lambda: 4.066492	0.40672	28	0	XGBClassifier	RDKit
n_estimators: 600 | max_depth: 12 | learning_rate: 0.0245812 | max_leaves: 9 | subsample: 0.7010384 | colsample_bytree: 0.7440651 | gamma: 1.010522 | reg_alpha: 3.998509 | reg_lambda: 0.5067179	0.37175	29	0	XGBClassifier	RDKit
