TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
605.47846	478.82165	393.38319	714.70978	0.60217	0.60617	0.59882	0.5584	0.60249	0.60248	0.60247	0.58131	0.63538	0.20419	0.54483	0.25963	0.07979	Total | Total	Weighted	1	LogisticRegression	RDKit
195.73431	148.28572	125.77139	218.87841	0.60205	0.60881	0.59613	0.56896	0.60247	0.60244	0.6024	0.58821	0.63252	0.20449	0.54918	0.26285	0.08451	Sex | Female	Weighted	1	LogisticRegression	RDKit
132.99912	132.24306	129.78933	244.12192	0.59003	0.50611	0.64863	0.50143	0.57737	0.57295	0.56857	0.50376	0.62977	0.15453	0.49779	0.2601	0.09054	Sex | Male	Weighted	1	LogisticRegression	RDKit
276.74503	198.29287	137.82247	251.70945	0.61123	0.66755	0.55935	0.58257	0.61345	0.61106	0.60868	0.62217	0.63717	0.22783	0.57303	0.25659	0.07642	Sex | Unknown	Weighted	1	LogisticRegression	RDKit
43.8363	29.4051	17.29407	37.12568	0.63419	0.7171	0.55802	0.59852	0.63756	0.63258	0.62764	0.65246	0.63617	0.27791	0.57431	0.25342	0.12722	Age | Adolescent	Weighted	1	LogisticRegression	RDKit
161.41131	134.67738	106.2867	207.93508	0.60518	0.60296	0.60691	0.54515	0.60494	0.60493	0.60493	0.5726	0.63576	0.20838	0.52189	0.26448	0.09404	Age | Adult	Weighted	1	LogisticRegression	RDKit
109.99182	103.74567	115.63828	203.17389	0.58805	0.48749	0.66198	0.51461	0.57473	0.56807	0.56149	0.50068	0.63218	0.15068	0.52047	0.26213	0.08279	Age | Elderly	Weighted	1	LogisticRegression	RDKit
32.81496	30.37156	18.67091	36.49968	0.58564	0.63736	0.54582	0.51933	0.59159	0.58982	0.58805	0.57233	0.61143	0.18204	0.4986	0.26611	0.12593	Age | Children	Weighted	1	LogisticRegression	RDKit
257.42407	180.62194	135.49323	229.97545	0.60658	0.65516	0.5601	0.58766	0.60763	0.60577	0.60391	0.61958	0.63443	0.21609	0.57885	0.25381	0.09482	Age | Unknown	Weighted	1	LogisticRegression	RDKit
69.99895	83.6236	83.74256	188.46099	0.60696	0.4553	0.69266	0.45566	0.57398	0.56158	0.54944	0.45548	0.6144	0.14798	0.42214	0.26828	0.09943	Weight | Low	Weighted	1	LogisticRegression	RDKit
65.67471	79.6793	83.89533	191.51027	0.61124	0.43909	0.70619	0.45183	0.57264	0.55685	0.54149	0.44537	0.63169	0.14624	0.42074	0.25456	0.10673	Weight | High	Weighted	1	LogisticRegression	RDKit
387.0664	220.68483	137.04182	157.09697	0.60336	0.73852	0.41584	0.63688	0.57718	0.55417	0.53208	0.68395	0.58883	0.16246	0.6258	0.25381	0.10294	Weight | Unknown	Weighted	1	LogisticRegression	RDKit
82.7384	94.83392	88.70348	177.64155	0.58655	0.4826	0.65195	0.46594	0.56728	0.56092	0.55464	0.47413	0.6081	0.13373	0.44301	0.26582	0.08768	Weight | Average	Weighted	1	LogisticRegression	RDKit
1633.0	1031.0	1342.0	1470.0	0.56665	0.54891	0.58776	0.61299	0.56834	0.568	0.56767	0.57918	0.59229	0.13621	0.60391	0.25963	0.1164	Total | Total	Unweighted	1	LogisticRegression	RDKit
535.0	328.0	435.0	442.0	0.56149	0.55155	0.57403	0.61993	0.56279	0.56267	0.56256	0.58374	0.58448	0.12474	0.60893	0.26285	0.12454	Sex | Female	Unweighted	1	LogisticRegression	RDKit
377.0	283.0	451.0	524.0	0.55107	0.45531	0.64932	0.57121	0.55232	0.54373	0.53528	0.50672	0.59216	0.10662	0.56942	0.2601	0.11416	Sex | Male	Unweighted	1	LogisticRegression	RDKit
721.0	420.0	456.0	504.0	0.58306	0.61257	0.54545	0.6319	0.57901	0.57804	0.57707	0.62209	0.59409	0.15746	0.62316	0.25659	0.11256	Sex | Unknown	Unweighted	1	LogisticRegression	RDKit
176.0	87.0	102.0	106.0	0.59873	0.63309	0.54922	0.6692	0.59116	0.58967	0.58818	0.65065	0.58657	0.18056	0.63988	0.25342	0.1363	Age | Adolescent	Unweighted	1	LogisticRegression	RDKit
418.0	285.0	364.0	407.0	0.5597	0.53453	0.58815	0.59459	0.56134	0.5607	0.56006	0.56296	0.57937	0.12258	0.57658	0.26448	0.12448	Age | Adult	Unweighted	1	LogisticRegression	RDKit
271.0	232.0	369.0	429.0	0.53805	0.42344	0.64902	0.53877	0.53623	0.52423	0.5125	0.47419	0.5806	0.07438	0.55116	0.26213	0.12847	Age | Elderly	Unweighted	1	LogisticRegression	RDKit
153.0	83.0	110.0	99.0	0.56629	0.58175	0.54396	0.64831	0.56285	0.56254	0.56222	0.61323	0.57498	0.12383	0.6244	0.26611	0.13819	Age | Children	Unweighted	1	LogisticRegression	RDKit
615.0	344.0	397.0	429.0	0.58487	0.60771	0.55498	0.64129	0.58134	0.58075	0.58015	0.62405	0.60247	0.16167	0.63851	0.25381	0.11114	Age | Unknown	Unweighted	1	LogisticRegression	RDKit
