Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 450 | max_depth: 6 | learning_rate: 0.02357984 | max_leaves: 8 | subsample: 0.995143 | colsample_bytree: 0.9611698 | gamma: 0.593383 | reg_alpha: 1.008565 | reg_lambda: 0.4492647	0.5372	0	0	XGBClassifier	CDDD
n_estimators: 850 | max_depth: 2 | learning_rate: 0.02312106 | max_leaves: 8 | subsample: 0.7864261 | colsample_bytree: 0.518025 | gamma: 1.958532 | reg_alpha: 0.0568787 | reg_lambda: 1.310355	0.53502	1	0	XGBClassifier	CDDD
n_estimators: 300 | max_depth: 6 | learning_rate: 0.009733706 | max_leaves: 0 | subsample: 0.5265423 | colsample_bytree: 0.8796022 | gamma: 3.861052 | reg_alpha: 4.684314 | reg_lambda: 3.986453	0.52641	2	0	XGBClassifier	CDDD
n_estimators: 975 | max_depth: 11 | learning_rate: 0.02643136 | max_leaves: 9 | subsample: 0.5856467 | colsample_bytree: 0.6329325 | gamma: 2.892102 | reg_alpha: 4.690677 | reg_lambda: 3.114429	0.52896	3	0	XGBClassifier	CDDD
n_estimators: 500 | max_depth: 5 | learning_rate: 0.02234989 | max_leaves: 2 | subsample: 0.5382429 | colsample_bytree: 0.9445016 | gamma: 0.9032828 | reg_alpha: 0.5681737 | reg_lambda: 0.7605635	0.50597	4	0	XGBClassifier	CDDD
n_estimators: 975 | max_depth: 7 | learning_rate: 0.01137401 | max_leaves: 9 | subsample: 0.9609644 | colsample_bytree: 0.9977722 | gamma: 1.019937 | reg_alpha: 1.35688 | reg_lambda: 0.1754744	0.53002	5	0	XGBClassifier	CDDD
n_estimators: 550 | max_depth: 10 | learning_rate: 0.01254941 | max_leaves: 1 | subsample: 0.6502931 | colsample_bytree: 0.6861648 | gamma: 3.04966 | reg_alpha: 0.2951338 | reg_lambda: 0.3702358	0.0	6	0	XGBClassifier	CDDD
n_estimators: 400 | max_depth: 5 | learning_rate: 0.02258541 | max_leaves: 7 | subsample: 0.9264283 | colsample_bytree: 0.6949981 | gamma: 2.146058 | reg_alpha: 3.733099 | reg_lambda: 4.57302	0.53154	7	0	XGBClassifier	CDDD
n_estimators: 800 | max_depth: 2 | learning_rate: 0.01138854 | max_leaves: 9 | subsample: 0.7315841 | colsample_bytree: 0.5658467 | gamma: 3.88637 | reg_alpha: 4.676874 | reg_lambda: 1.523144	0.51912	8	0	XGBClassifier	CDDD
n_estimators: 550 | max_depth: 7 | learning_rate: 0.02379035 | max_leaves: 10 | subsample: 0.6195955 | colsample_bytree: 0.7215259 | gamma: 4.3834 | reg_alpha: 0.2437006 | reg_lambda: 4.295894	0.53768	9	0	XGBClassifier	CDDD
n_estimators: 125 | max_depth: 9 | learning_rate: 0.09501276 | max_leaves: 4 | subsample: 0.828772 | colsample_bytree: 0.8114782 | gamma: 4.678072 | reg_alpha: 2.164255 | reg_lambda: 2.891512	0.52201	10	0	XGBClassifier	CDDD
n_estimators: 650 | max_depth: 8 | learning_rate: 0.04341516 | max_leaves: 12 | subsample: 0.670213 | colsample_bytree: 0.7987944 | gamma: 0.04849319 | reg_alpha: 1.676384 | reg_lambda: 2.087018	0.53657	11	0	XGBClassifier	CDDD
n_estimators: 275 | max_depth: 4 | learning_rate: 0.005410373 | max_leaves: 12 | subsample: 0.8971874 | colsample_bytree: 0.7583897 | gamma: 4.897303 | reg_alpha: 0.9441281 | reg_lambda: 4.995711	0.5117	12	0	XGBClassifier	CDDD
n_estimators: 650 | max_depth: 7 | learning_rate: 0.04850951 | max_leaves: 5 | subsample: 0.992714 | colsample_bytree: 0.8748515 | gamma: 1.389182 | reg_alpha: 2.516986 | reg_lambda: 3.65498	0.53743	13	0	XGBClassifier	CDDD
n_estimators: 675 | max_depth: 8 | learning_rate: 0.06103787 | max_leaves: 5 | subsample: 0.852713 | colsample_bytree: 0.8709118 | gamma: 1.725922 | reg_alpha: 2.996266 | reg_lambda: 3.73949	0.53836	14	0	XGBClassifier	CDDD
n_estimators: 675 | max_depth: 12 | learning_rate: 0.09257482 | max_leaves: 4 | subsample: 0.8524722 | colsample_bytree: 0.8288734 | gamma: 3.584839 | reg_alpha: 3.43829 | reg_lambda: 3.994313	0.54014	15	0	XGBClassifier	CDDD
n_estimators: 725 | max_depth: 12 | learning_rate: 0.09958101 | max_leaves: 3 | subsample: 0.8471248 | colsample_bytree: 0.8735612 | gamma: 3.270779 | reg_alpha: 3.179017 | reg_lambda: 3.379883	0.53416	16	0	XGBClassifier	CDDD
n_estimators: 850 | max_depth: 10 | learning_rate: 0.06508696 | max_leaves: 6 | subsample: 0.7323537 | colsample_bytree: 0.8197241 | gamma: 1.681849 | reg_alpha: 3.483478 | reg_lambda: 2.178334	0.53274	17	0	XGBClassifier	CDDD
n_estimators: 650 | max_depth: 12 | learning_rate: 0.05628779 | max_leaves: 4 | subsample: 0.8680439 | colsample_bytree: 0.9231901 | gamma: 2.55467 | reg_alpha: 2.910072 | reg_lambda: 2.689033	0.53888	18	0	XGBClassifier	CDDD
n_estimators: 750 | max_depth: 12 | learning_rate: 0.03576341 | max_leaves: 3 | subsample: 0.9027178 | colsample_bytree: 0.9395376 | gamma: 2.668974 | reg_alpha: 3.954546 | reg_lambda: 2.833177	0.52583	19	0	XGBClassifier	CDDD
n_estimators: 600 | max_depth: 11 | learning_rate: 0.07369666 | max_leaves: 4 | subsample: 0.7832156 | colsample_bytree: 0.9052386 | gamma: 3.53972 | reg_alpha: 2.494771 | reg_lambda: 2.138145	0.53995	20	0	XGBClassifier	CDDD
n_estimators: 625 | max_depth: 11 | learning_rate: 0.0716448 | max_leaves: 4 | subsample: 0.7854128 | colsample_bytree: 0.91782 | gamma: 3.676553 | reg_alpha: 2.671865 | reg_lambda: 2.431944	0.53565	21	0	XGBClassifier	CDDD
n_estimators: 600 | max_depth: 12 | learning_rate: 0.07846261 | max_leaves: 2 | subsample: 0.7942781 | colsample_bytree: 0.8362035 | gamma: 3.518616 | reg_alpha: 1.976481 | reg_lambda: 1.682468	0.50564	22	0	XGBClassifier	CDDD
n_estimators: 425 | max_depth: 11 | learning_rate: 0.05230201 | max_leaves: 6 | subsample: 0.8696849 | colsample_bytree: 0.9965175 | gamma: 2.453473 | reg_alpha: 4.055308 | reg_lambda: 2.543906	0.53454	23	0	XGBClassifier	CDDD
n_estimators: 750 | max_depth: 10 | learning_rate: 0.04000428 | max_leaves: 4 | subsample: 0.6887499 | colsample_bytree: 0.7676638 | gamma: 3.267519 | reg_alpha: 2.859156 | reg_lambda: 1.028564	0.53859	24	0	XGBClassifier	CDDD
n_estimators: 525 | max_depth: 12 | learning_rate: 0.08650094 | max_leaves: 5 | subsample: 0.8142098 | colsample_bytree: 0.9016523 | gamma: 4.114538 | reg_alpha: 3.361574 | reg_lambda: 1.94316	0.53478	25	0	XGBClassifier	CDDD
n_estimators: 900 | max_depth: 9 | learning_rate: 0.03270474 | max_leaves: 3 | subsample: 0.7690509 | colsample_bytree: 0.8351087 | gamma: 2.54349 | reg_alpha: 2.380113 | reg_lambda: 3.372784	0.52341	26	0	XGBClassifier	CDDD
n_estimators: 350 | max_depth: 11 | learning_rate: 0.0555345 | max_leaves: 1 | subsample: 0.9337088 | colsample_bytree: 0.9665644 | gamma: 4.294401 | reg_alpha: 4.303638 | reg_lambda: 2.507058	0.0	27	0	XGBClassifier	CDDD
n_estimators: 725 | max_depth: 9 | learning_rate: 0.07488986 | max_leaves: 2 | subsample: 0.8799254 | colsample_bytree: 0.912377 | gamma: 3.391809 | reg_alpha: 1.843834 | reg_lambda: 4.153293	0.51354	28	0	XGBClassifier	CDDD
n_estimators: 450 | max_depth: 10 | learning_rate: 0.03064001 | max_leaves: 6 | subsample: 0.7528325 | colsample_bytree: 0.9561242 | gamma: 2.940303 | reg_alpha: 3.493628 | reg_lambda: 4.86842	0.53324	29	0	XGBClassifier	CDDD
n_estimators: 575 | max_depth: 12 | learning_rate: 0.06342885 | max_leaves: 7 | subsample: 0.697003 | colsample_bytree: 0.795928 | gamma: 2.149254 | reg_alpha: 2.842428 | reg_lambda: 3.038354	0.5386	30	0	XGBClassifier	CDDD
n_estimators: 575 | max_depth: 12 | learning_rate: 0.06268741 | max_leaves: 7 | subsample: 0.7110246 | colsample_bytree: 0.7881264 | gamma: 2.252782 | reg_alpha: 2.851441 | reg_lambda: 2.83942	0.54418	31	0	XGBClassifier	CDDD
n_estimators: 475 | max_depth: 11 | learning_rate: 0.08163318 | max_leaves: 7 | subsample: 0.8175167 | colsample_bytree: 0.8547107 | gamma: 2.194568 | reg_alpha: 2.298459 | reg_lambda: 2.674344	0.53999	32	0	XGBClassifier	CDDD
n_estimators: 475 | max_depth: 11 | learning_rate: 0.08171575 | max_leaves: 7 | subsample: 0.715073 | colsample_bytree: 0.8407359 | gamma: 2.218048 | reg_alpha: 1.344068 | reg_lambda: 1.706089	0.53543	33	0	XGBClassifier	CDDD
n_estimators: 200 | max_depth: 11 | learning_rate: 0.09458961 | max_leaves: 8 | subsample: 0.8119651 | colsample_bytree: 0.7736246 | gamma: 1.555602 | reg_alpha: 2.270107 | reg_lambda: 3.442412	0.5362	34	0	XGBClassifier	CDDD
n_estimators: 375 | max_depth: 10 | learning_rate: 0.01767228 | max_leaves: 8 | subsample: 0.7554912 | colsample_bytree: 0.7317128 | gamma: 1.942238 | reg_alpha: 2.537843 | reg_lambda: 1.205719	0.52012	35	0	XGBClassifier	CDDD
n_estimators: 475 | max_depth: 11 | learning_rate: 0.04715499 | max_leaves: 7 | subsample: 0.6362188 | colsample_bytree: 0.85372 | gamma: 1.182563 | reg_alpha: 1.547926 | reg_lambda: 2.250298	0.53216	36	0	XGBClassifier	CDDD
n_estimators: 325 | max_depth: 8 | learning_rate: 0.0723201 | max_leaves: 10 | subsample: 0.7889981 | colsample_bytree: 0.6547463 | gamma: 2.865744 | reg_alpha: 3.190201 | reg_lambda: 3.813843	0.53631	37	0	XGBClassifier	CDDD
n_estimators: 525 | max_depth: 12 | learning_rate: 0.06764255 | max_leaves: 5 | subsample: 0.5666311 | colsample_bytree: 0.8825359 | gamma: 3.844852 | reg_alpha: 2.094269 | reg_lambda: 3.155501	0.53732	38	0	XGBClassifier	CDDD
n_estimators: 700 | max_depth: 9 | learning_rate: 0.017819 | max_leaves: 8 | subsample: 0.5021221 | colsample_bytree: 0.7905784 | gamma: 0.6807317 | reg_alpha: 3.728964 | reg_lambda: 4.493314	0.5335	39	0	XGBClassifier	CDDD
n_estimators: 600 | max_depth: 10 | learning_rate: 0.08715265 | max_leaves: 0 | subsample: 0.82765 | colsample_bytree: 0.7268104 | gamma: 1.916614 | reg_alpha: 2.665134 | reg_lambda: 1.903854	0.53426	40	0	XGBClassifier	CDDD
n_estimators: 800 | max_depth: 12 | learning_rate: 0.05940015 | max_leaves: 4 | subsample: 0.848368 | colsample_bytree: 0.9292642 | gamma: 2.357956 | reg_alpha: 3.090408 | reg_lambda: 2.760025	0.54213	41	0	XGBClassifier	CDDD
n_estimators: 800 | max_depth: 11 | learning_rate: 0.03955229 | max_leaves: 5 | subsample: 0.8399587 | colsample_bytree: 0.8938721 | gamma: 2.331228 | reg_alpha: 3.151323 | reg_lambda: 3.074512	0.54024	42	0	XGBClassifier	CDDD
n_estimators: 800 | max_depth: 12 | learning_rate: 0.04169008 | max_leaves: 6 | subsample: 0.843903 | colsample_bytree: 0.9766731 | gamma: 2.386715 | reg_alpha: 3.133184 | reg_lambda: 3.111208	0.54686	43	0	XGBClassifier	CDDD
