Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 675 | max_depth: 5 | learning_rate: 0.02567692 | max_leaves: 10 | subsample: 0.5817747 | colsample_bytree: 0.8839391 | gamma: 0.4985252 | reg_alpha: 1.119549 | reg_lambda: 3.983955	0.52149	0	0	XGBClassifier	MACCS
n_estimators: 550 | max_depth: 12 | learning_rate: 0.04056457 | max_leaves: 10 | subsample: 0.9809811 | colsample_bytree: 0.7276708 | gamma: 4.716919 | reg_alpha: 1.388887 | reg_lambda: 3.257282	0.51785	1	0	XGBClassifier	MACCS
n_estimators: 550 | max_depth: 9 | learning_rate: 0.005960485 | max_leaves: 9 | subsample: 0.5060614 | colsample_bytree: 0.9375817 | gamma: 1.351977 | reg_alpha: 1.250776 | reg_lambda: 3.357373	0.52316	2	0	XGBClassifier	MACCS
n_estimators: 125 | max_depth: 5 | learning_rate: 0.02256243 | max_leaves: 1 | subsample: 0.8039643 | colsample_bytree: 0.8260466 | gamma: 1.656984 | reg_alpha: 2.905379 | reg_lambda: 1.600712	0.0	3	0	XGBClassifier	MACCS
n_estimators: 525 | max_depth: 8 | learning_rate: 0.01806348 | max_leaves: 11 | subsample: 0.7950955 | colsample_bytree: 0.5441403 | gamma: 1.58924 | reg_alpha: 1.683986 | reg_lambda: 0.5825456	0.52709	4	0	XGBClassifier	MACCS
n_estimators: 575 | max_depth: 9 | learning_rate: 0.0320368 | max_leaves: 12 | subsample: 0.814728 | colsample_bytree: 0.8390371 | gamma: 2.602886 | reg_alpha: 3.304287 | reg_lambda: 0.08421234	0.52955	5	0	XGBClassifier	MACCS
n_estimators: 375 | max_depth: 11 | learning_rate: 0.007140502 | max_leaves: 5 | subsample: 0.6919199 | colsample_bytree: 0.990773 | gamma: 4.017979 | reg_alpha: 0.5130129 | reg_lambda: 2.577748	0.52256	6	0	XGBClassifier	MACCS
n_estimators: 350 | max_depth: 5 | learning_rate: 0.05482122 | max_leaves: 10 | subsample: 0.9000919 | colsample_bytree: 0.5796607 | gamma: 3.940534 | reg_alpha: 4.357324 | reg_lambda: 2.428759	0.52303	7	0	XGBClassifier	MACCS
n_estimators: 300 | max_depth: 6 | learning_rate: 0.02615837 | max_leaves: 3 | subsample: 0.8065641 | colsample_bytree: 0.8345807 | gamma: 0.9704446 | reg_alpha: 3.791457 | reg_lambda: 0.8566308	0.51015	8	0	XGBClassifier	MACCS
n_estimators: 700 | max_depth: 11 | learning_rate: 0.06760022 | max_leaves: 1 | subsample: 0.8248969 | colsample_bytree: 0.963997 | gamma: 4.074004 | reg_alpha: 4.13374 | reg_lambda: 0.6921857	0.0	9	0	XGBClassifier	MACCS
