Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: sag:l2 | C: 2.342724	0.3656	0	0	LogisticRegression	CDDD
solver_penalty: saga:elasticnet | C: 0.001461471 | l1_ratio: 0.9893586	0.00325	1	0	LogisticRegression	CDDD
solver_penalty: sag:l2 | C: 9.042778	0.36522	2	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 0.2609972	0.49887	3	0	LogisticRegression	CDDD
solver_penalty: saga:l2 | C: 0.7791896	0.29661	4	0	LogisticRegression	CDDD
solver_penalty: liblinear:l2 | C: 0.2109254	0.4717	5	0	LogisticRegression	CDDD
solver_penalty: saga:l2 | C: 0.006287721	0.29637	6	0	LogisticRegression	CDDD
solver_penalty: saga:l1 | C: 0.002054244	0.00325	7	0	LogisticRegression	CDDD
solver_penalty: sag:l2 | C: 0.6258203	0.36568	8	0	LogisticRegression	CDDD
solver_penalty: lbfgs:l2 | C: 0.005255334	0.44513	9	0	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 0.04152391	0.47255	10	0	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 0.03329929	0.47319	11	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 0.04223606	0.49465	12	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 0.05217442	0.49731	13	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 0.1302255	0.50217	14	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.2452539	0.49597	15	0	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.1579947	0.47597	16	0	LogisticRegression	CDDD
solver_penalty: saga:None | C: 1.020662	0.30103	17	0	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 0.01255148	0.47917	18	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 3.524243	0.50645	19	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 6.43636	0.50301	20	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 8.606111	0.4991	21	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 3.379286	0.50356	22	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 2.900057	0.5005	23	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 3.336211	0.50224	24	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 4.068669	0.49881	25	0	LogisticRegression	CDDD
solver_penalty: sag:None | C: 1.447914	0.36571	26	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 5.853777	0.50416	27	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 1.82496	0.50084	28	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 0.4555734	0.48466	29	0	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 4.451628	0.4762	30	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 5.317333	0.50353	31	0	LogisticRegression	CDDD
solver_penalty: saga:elasticnet | C: 1.73682 | l1_ratio: 0.0198311	0.29688	32	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 5.821457	0.50124	33	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 2.250374	0.50058	34	0	LogisticRegression	CDDD
solver_penalty: liblinear:l2 | C: 9.897476	0.50344	35	0	LogisticRegression	CDDD
solver_penalty: saga:l1 | C: 1.152612	0.29865	36	0	LogisticRegression	CDDD
solver_penalty: saga:None | C: 3.213706	0.30203	37	0	LogisticRegression	CDDD
solver_penalty: sag:None | C: 0.3583836	0.36717	38	0	LogisticRegression	CDDD
solver_penalty: lbfgs:l2 | C: 0.6421681	0.47749	39	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 5.649595	0.49408	40	0	LogisticRegression	CDDD
solver_penalty: liblinear:l2 | C: 9.753157	0.50204	41	0	LogisticRegression	CDDD
solver_penalty: liblinear:l2 | C: 9.733393	0.49647	42	0	LogisticRegression	CDDD
solver_penalty: liblinear:l2 | C: 2.423608	0.49343	43	0	LogisticRegression	CDDD
solver_penalty: saga:l2 | C: 5.217886	0.2967	44	0	LogisticRegression	CDDD
solver_penalty: sag:l2 | C: 0.8921817	0.36607	45	0	LogisticRegression	CDDD
solver_penalty: saga:elasticnet | C: 6.97492 | l1_ratio: 0.5195364	0.29725	46	0	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 0.001110403	0.45472	47	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 3.849412	0.50241	48	0	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 1.38524	0.49609	49	0	LogisticRegression	CDDD
solver_penalty: liblinear:l2 | C: 2.53249	0.49811	50	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 7.424865	0.50051	51	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 5.694651	0.5029	52	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 3.856009	0.50106	53	0	LogisticRegression	CDDD
solver_penalty: saga:l1 | C: 7.150796	0.29732	54	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 0.07221257	0.4704	55	0	LogisticRegression	CDDD
solver_penalty: lbfgs:l2 | C: 0.01955972	0.46613	56	0	LogisticRegression	CDDD
solver_penalty: sag:l2 | C: 2.175362	0.36611	57	0	LogisticRegression	CDDD
solver_penalty: saga:l2 | C: 0.003604534	0.28964	58	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 4.691767	0.5028	59	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 2.980848	0.49615	60	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 7.005827	0.50258	61	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 5.526708	0.49724	62	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 8.819961	0.4993	63	0	LogisticRegression	CDDD
solver_penalty: saga:l2 | C: 2.038342	0.29161	0	4	LogisticRegression	CDDD
solver_penalty: saga:l2 | C: 0.1122016	0.29008	1	4	LogisticRegression	CDDD
solver_penalty: saga:l2 | C: 0.04002157	0.29044	2	4	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 2.283926	0.48203	3	4	LogisticRegression	CDDD
solver_penalty: liblinear:l2 | C: 0.03018251	0.49068	4	4	LogisticRegression	CDDD
solver_penalty: liblinear:l2 | C: 0.488462	0.48339	5	4	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 6.030789	0.48265	6	4	LogisticRegression	CDDD
solver_penalty: saga:elasticnet | C: 0.0599911 | l1_ratio: 0.7670138	0.28205	7	4	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.5632451	0.48736	8	4	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 1.9485	0.48389	9	4	LogisticRegression	CDDD
solver_penalty: saga:l1 | C: 0.001943547	0.00158	10	4	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.005669307	0.48081	11	4	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 0.01090832	0.4846	12	4	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 0.2428805	0.49839	13	4	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 0.1945622	0.49598	14	4	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 0.2551718	0.49406	15	4	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 0.1891303	0.49487	16	4	LogisticRegression	CDDD
