TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
228.06349	430.12627	479.70496	829.16718	0.53747	0.32223	0.65844	0.3465	0.49033	0.46062	0.4327	0.33392	0.47201	-0.01966	0.35822	0.30149	0.17604	Total | Total	Weighted	4	LogisticRegression	ChemBERTa
89.53137	172.86029	203.19908	327.34969	0.52574	0.30585	0.65442	0.34121	0.48014	0.44739	0.41687	0.32256	0.45829	-0.04074	0.35878	0.30485	0.18811	Sex | Unknown	Weighted	4	LogisticRegression	ChemBERTa
80.14485	150.29458	140.51305	238.80337	0.52308	0.36321	0.61374	0.34779	0.48847	0.47214	0.45635	0.35533	0.48082	-0.02285	0.37512	0.29735	0.18473	Sex | Female	Weighted	4	LogisticRegression	ChemBERTa
58.38727	106.9714	135.99283	263.01412	0.56949	0.30038	0.71088	0.35309	0.50563	0.46209	0.42231	0.32461	0.47869	0.01175	0.34054	0.30171	0.17268	Sex | Male	Weighted	4	LogisticRegression	ChemBERTa
43.47553	80.12723	109.3536	225.75833	0.58693	0.28447	0.73805	0.35174	0.51126	0.45821	0.41066	0.31455	0.50362	0.02392	0.36868	0.29086	0.151	Age | Elderly	Weighted	4	LogisticRegression	ChemBERTa
22.45513	28.37743	29.6691	32.8128	0.48774	0.4308	0.53624	0.44175	0.48352	0.48064	0.47777	0.4362	0.4605	-0.03303	0.42702	0.30277	0.17087	Age | Children	Weighted	4	LogisticRegression	ChemBERTa
75.83105	159.60934	178.56797	339.11605	0.55097	0.29808	0.67997	0.32208	0.48902	0.4502	0.41447	0.30962	0.46506	-0.0224	0.34232	0.29743	0.18594	Age | Unknown	Weighted	4	LogisticRegression	ChemBERTa
62.88601	131.77704	138.52281	201.56143	0.49453	0.31223	0.60467	0.32305	0.45845	0.43451	0.41182	0.31755	0.43535	-0.08368	0.35995	0.31175	0.21865	Age | Adult	Weighted	4	LogisticRegression	ChemBERTa
23.41577	30.23523	23.59148	29.91857	0.4977	0.49813	0.49737	0.43645	0.49775	0.49775	0.49775	0.46525	0.45759	-0.00447	0.39633	0.3136	0.23475	Age | Adolescent	Weighted	4	LogisticRegression	ChemBERTa
43.60148	89.16136	83.15463	143.08018	0.52001	0.34398	0.61608	0.32842	0.48003	0.46035	0.44147	0.33602	0.45948	-0.03954	0.35404	0.30558	0.20068	Weight | Low	Weighted	4	LogisticRegression	ChemBERTa
101.62943	171.31975	236.67407	395.53871	0.54926	0.30041	0.69777	0.37234	0.49909	0.45784	0.42	0.33253	0.48645	-0.00192	0.36989	0.29816	0.16342	Weight | Unknown	Weighted	4	LogisticRegression	ChemBERTa
33.3785	70.3903	78.50663	145.51732	0.54576	0.29833	0.67398	0.32166	0.48615	0.44841	0.41359	0.30956	0.45085	-0.02823	0.34934	0.31201	0.19281	Weight | High	Weighted	4	LogisticRegression	ChemBERTa
49.45408	99.25486	81.36963	145.03097	0.51848	0.37802	0.59369	0.33256	0.48586	0.47374	0.46192	0.35383	0.4743	-0.02756	0.35558	0.29386	0.18896	Weight | Average	Weighted	4	LogisticRegression	ChemBERTa
887.0	887.0	1803.0	1640.0	0.48438	0.32974	0.64899	0.5	0.48937	0.4626	0.4373	0.3974	0.48403	-0.02244	0.51694	0.30149	0.19038	Total | Total	Unweighted	4	LogisticRegression	ChemBERTa
331.0	333.0	706.0	602.0	0.47312	0.31919	0.64385	0.49849	0.48152	0.45333	0.4268	0.38918	0.47836	-0.03905	0.52112	0.30485	0.20129	Sex | Unknown	Unweighted	4	LogisticRegression	ChemBERTa
314.0	309.0	559.0	498.0	0.48333	0.35968	0.6171	0.50401	0.48839	0.47112	0.45447	0.41979	0.48832	-0.02402	0.53019	0.29735	0.18664	Sex | Female	Unweighted	4	LogisticRegression	ChemBERTa
242.0	245.0	538.0	540.0	0.49968	0.31026	0.6879	0.49692	0.49908	0.46198	0.42764	0.382	0.48371	-0.00199	0.49926	0.30171	0.18121	Sex | Male	Unweighted	4	LogisticRegression	ChemBERTa
163.0	169.0	427.0	468.0	0.51426	0.27627	0.73469	0.49096	0.50548	0.45053	0.40155	0.35358	0.5043	0.01233	0.51511	0.29086	0.17298	Age | Elderly	Unweighted	4	LogisticRegression	ChemBERTa
137.0	89.0	168.0	82.0	0.46008	0.44918	0.47953	0.60619	0.46436	0.46411	0.46386	0.51601	0.47104	-0.06849	0.62305	0.30277	0.20461	Age | Children	Unweighted	4	LogisticRegression	ChemBERTa
