Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: liblinear:l2 | C: 6.227716	0.48978	0	0	LogisticRegression	RDKit
solver_penalty: sag:l2 | C: 0.001093158	0.25757	1	0	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 0.4908611	0.41956	2	0	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 0.1953398	0.44919	3	0	LogisticRegression	RDKit
solver_penalty: sag:l2 | C: 4.065367	0.43675	4	0	LogisticRegression	RDKit
solver_penalty: sag:None | C: 0.0883194	0.4385	5	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 0.01400461	0.40028	6	0	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 0.007532398	0.06124	7	0	LogisticRegression	RDKit
solver_penalty: saga:l1 | C: 2.076799	0.42123	8	0	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 0.4251799	0.4557	9	0	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 9.04184	0.4838	10	0	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 9.384286	0.491	11	0	LogisticRegression	RDKit
solver_penalty: liblinear:l2 | C: 1.510965	0.47466	12	0	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 9.094536	0.49037	13	0	LogisticRegression	RDKit
solver_penalty: newton-cg:l2 | C: 1.192971	0.47281	14	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.05138799	0.49379	15	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.04472923	0.493	16	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.03698591	0.48459	17	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.005015053	0.49446	18	0	LogisticRegression	RDKit
solver_penalty: saga:None | C: 0.002550247	0.41862	19	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.01115702	0.48086	20	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.03854557	0.49466	21	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.004696844	0.48304	22	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.02868526	0.48216	23	0	LogisticRegression	RDKit
solver_penalty: saga:l2 | C: 0.1014684	0.42243	24	0	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 0.02107735	0.41514	25	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.002949072	0.49027	26	0	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 0.07430917 | l1_ratio: 0.5885802	0.40407	27	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.001268575	0.49752	28	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.001328635	0.48708	29	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.002612348	0.49144	30	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.004904044	0.48945	31	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.001370052	0.49479	32	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.001442901	0.49422	33	0	LogisticRegression	RDKit
solver_penalty: saga:None | C: 0.001024905	0.42028	34	0	LogisticRegression	RDKit
solver_penalty: newton-cg:None | C: 0.001973403	0.49019	35	0	LogisticRegression	RDKit
solver_penalty: sag:None | C: 0.005040886	0.43818	36	0	LogisticRegression	RDKit
solver_penalty: sag:l2 | C: 0.01132002	0.3942	37	0	LogisticRegression	RDKit
solver_penalty: saga:l2 | C: 0.1930618	0.42101	38	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:l2 | C: 0.003897803	0.33381	39	0	LogisticRegression	RDKit
solver_penalty: saga:elasticnet | C: 0.00713119 | l1_ratio: 0.008265838	0.37047	40	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.001286125	0.49413	41	0	LogisticRegression	RDKit
solver_penalty: newton-cholesky:None | C: 0.001876075	0.48887	42	0	LogisticRegression	RDKit
solver_penalty: lbfgs:l2 | C: 0.001584098	0.28234	43	0	LogisticRegression	RDKit
solver_penalty: liblinear:l1 | C: 0.007316851	0.05807	44	0	LogisticRegression	RDKit
solver_penalty: lbfgs:None | C: 0.001039205	0.49086	45	0	LogisticRegression	RDKit
