TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
255.2625	458.5891	534.09033	952.10471	0.54879	0.32338	0.67492	0.35758	0.49915	0.46718	0.43726	0.33962	0.55377	-0.00174	0.41229	0.24779	0.12251	Total | Total	Weighted	1	RandomForestClassifier	CDDD
64.30127	135.55616	139.32333	289.56586	0.56281	0.31578	0.68114	0.32174	0.49846	0.46378	0.43151	0.31873	0.5376	-0.0031	0.37181	0.24659	0.15571	Sex | Male	Weighted	1	RandomForestClassifier	CDDD
84.04263	148.79213	183.28544	267.33465	0.51412	0.31438	0.64244	0.36095	0.47841	0.44941	0.42217	0.33606	0.54666	-0.04447	0.43373	0.2494	0.0925	Sex | Female	Weighted	1	RandomForestClassifier	CDDD
106.9186	174.24081	211.48156	395.2042	0.56555	0.3358	0.69402	0.38028	0.51491	0.48275	0.45261	0.35666	0.56974	0.03074	0.42934	0.24738	0.1221	Sex | Unknown	Weighted	1	RandomForestClassifier	CDDD
72.82336	128.88749	146.26455	250.63174	0.54035	0.33239	0.66039	0.36103	0.49639	0.46852	0.44221	0.34612	0.54924	-0.00735	0.41042	0.24756	0.11591	Age | Adult	Weighted	1	RandomForestClassifier	CDDD
55.48663	97.51484	122.20961	247.88168	0.57995	0.31226	0.71767	0.36265	0.51496	0.47339	0.43517	0.33557	0.57715	0.03116	0.41135	0.24522	0.13743	Age | Elderly	Weighted	1	RandomForestClassifier	CDDD
24.77415	21.56983	30.74077	45.164	0.5721	0.44626	0.67678	0.53457	0.56152	0.54956	0.53786	0.48644	0.62802	0.12627	0.59092	0.247	0.04565	Age | Adolescent	Weighted	1	RandomForestClassifier	CDDD
84.16814	176.87967	205.05342	374.84038	0.54583	0.29102	0.6794	0.32242	0.48521	0.44465	0.40749	0.30592	0.53736	-0.03037	0.3912	0.24827	0.13738	Age | Unknown	Weighted	1	RandomForestClassifier	CDDD
18.01022	33.73727	29.82198	33.58691	0.44806	0.37653	0.49888	0.34804	0.43771	0.43341	0.42916	0.36172	0.4664	-0.12342	0.42739	0.25496	0.0856	Age | Children	Weighted	1	RandomForestClassifier	CDDD
42.34823	103.49469	98.55789	169.89715	0.5123	0.30054	0.62144	0.29037	0.46099	0.43217	0.40515	0.29537	0.53951	-0.07739	0.39435	0.24787	0.1462	Weight | Low	Weighted	1	RandomForestClassifier	CDDD
54.06803	107.33746	99.98617	170.38451	0.51984	0.35097	0.61351	0.33498	0.48224	0.46403	0.4465	0.34279	0.54041	-0.03518	0.4133	0.24766	0.13389	Weight | Average	Weighted	1	RandomForestClassifier	CDDD
40.36149	95.04678	92.31272	181.30556	0.54194	0.30422	0.65607	0.29807	0.48014	0.44675	0.41568	0.30111	0.56426	-0.03951	0.39702	0.24563	0.16141	Weight | High	Weighted	1	RandomForestClassifier	CDDD
118.48475	152.71017	243.23355	430.51749	0.58099	0.32756	0.73816	0.4369	0.53286	0.49173	0.45376	0.37441	0.56528	0.07062	0.43657	0.24901	0.09079	Weight | Unknown	Weighted	1	RandomForestClassifier	CDDD
886.0	849.0	1863.0	1878.0	0.50475	0.3223	0.68867	0.51066	0.50548	0.47112	0.4391	0.39518	0.5539	0.01179	0.54811	0.24779	0.04613	Total | Total	Unweighted	1	RandomForestClassifier	CDDD
242.0	246.0	536.0	611.0	0.52171	0.31105	0.71295	0.4959	0.512	0.47092	0.43314	0.38231	0.55282	0.0262	0.52581	0.24659	0.03113	Sex | Male	Unweighted	1	RandomForestClassifier	CDDD
309.0	289.0	610.0	532.0	0.48333	0.33624	0.64799	0.51672	0.49211	0.46677	0.44274	0.40738	0.54675	-0.01658	0.56672	0.2494	0.06441	Sex | Female	Unweighted	1	RandomForestClassifier	CDDD
335.0	314.0	717.0	735.0	0.50928	0.31844	0.70067	0.51618	0.50955	0.47236	0.43788	0.39389	0.55952	0.02068	0.551	0.24738	0.04382	Sex | Unknown	Unweighted	1	RandomForestClassifier	CDDD
246.0	237.0	499.0	492.0	0.50068	0.3302	0.6749	0.50932	0.50255	0.47207	0.44344	0.40065	0.55856	0.00543	0.54606	0.24756	0.05428	Age | Adult	Unweighted	1	RandomForestClassifier	CDDD
181.0	192.0	422.0	506.0	0.52806	0.30017	0.72493	0.48525	0.51255	0.46647	0.42454	0.3709	0.55796	0.02767	0.51721	0.24522	0.02912	Age | Elderly	Unweighted	1	RandomForestClassifier	CDDD
112.0	59.0	166.0	134.0	0.52229	0.40288	0.6943	0.65497	0.54859	0.52888	0.50989	0.49889	0.61248	0.09938	0.7018	0.247	0.10768	Age | Adolescent	Unweighted	1	RandomForestClassifier	CDDD
254.0	281.0	606.0	644.0	0.50308	0.29535	0.69622	0.47477	0.49578	0.45346	0.41475	0.36416	0.53764	-0.0092	0.51277	0.24827	0.04986	Age | Unknown	Unweighted	1	RandomForestClassifier	CDDD
