TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
2389.26621	647.81104	1220.70584	521.18982	0.60901	0.66185	0.44584	0.7867	0.55385	0.54321	0.53279	0.7189	0.57726	0.09619	0.80067	0.3025	0.22381	Total | Total	Weighted	0	LogisticRegression	CDDD
728.29546	191.109	382.78862	159.52372	0.60738	0.65548	0.45496	0.79214	0.55522	0.54609	0.53712	0.71736	0.57613	0.09762	0.8029	0.30121	0.2298	Sex | Female	Weighted	0	LogisticRegression	CDDD
1034.02326	258.9217	483.22115	195.08355	0.62352	0.68151	0.42969	0.79974	0.5556	0.54115	0.52707	0.73591	0.58564	0.09856	0.8198	0.29523	0.21831	Sex | Unknown	Weighted	0	LogisticRegression	CDDD
626.94749	197.78034	354.69607	166.58255	0.58954	0.63867	0.45719	0.76019	0.54793	0.54036	0.5329	0.69415	0.56422	0.08744	0.76761	0.31321	0.23189	Sex | Male	Weighted	0	LogisticRegression	CDDD
1035.59205	234.92124	416.85902	168.00288	0.64871	0.713	0.41696	0.8151	0.56498	0.54524	0.5262	0.76064	0.60323	0.11533	0.83812	0.28322	0.20607	Age | Unknown	Weighted	0	LogisticRegression	CDDD
146.42272	37.49311	116.88817	36.06363	0.54172	0.55608	0.49028	0.79614	0.52318	0.52215	0.52111	0.6548	0.5422	0.03847	0.80704	0.31805	0.30823	Age | Adolescent	Weighted	0	LogisticRegression	CDDD
663.76226	157.54445	313.20073	128.74937	0.62736	0.67941	0.44971	0.80818	0.56456	0.55276	0.5412	0.73822	0.57987	0.11335	0.81664	0.29889	0.22665	Age | Adult	Weighted	0	LogisticRegression	CDDD
438.38095	181.7898	299.14391	150.90856	0.55062	0.59439	0.45359	0.70687	0.52399	0.51924	0.51453	0.64577	0.54103	0.04499	0.71189	0.32279	0.23623	Age | Elderly	Weighted	0	LogisticRegression	CDDD
105.10823	36.06244	74.61401	37.46538	0.56298	0.58484	0.50954	0.74455	0.54719	0.54589	0.5446	0.6551	0.52885	0.08625	0.73121	0.31989	0.26785	Age | Children	Weighted	0	LogisticRegression	CDDD
256.27056	126.08559	229.83644	123.1441	0.51597	0.52719	0.4941	0.67024	0.51064	0.51038	0.51011	0.59017	0.52702	0.02017	0.68794	0.33706	0.26319	Weight | High	Weighted	0	LogisticRegression	CDDD
317.75199	130.86385	258.04107	137.01034	0.53903	0.55185	0.51147	0.70829	0.53166	0.53128	0.5309	0.62036	0.54472	0.05907	0.72391	0.32156	0.2478	Weight | Average	Weighted	0	LogisticRegression	CDDD
1523.35217	269.04523	491.61878	123.50284	0.68405	0.75602	0.31462	0.8499	0.53532	0.48771	0.44433	0.80021	0.54722	0.05983	0.85378	0.26958	0.22593	Weight | Unknown	Weighted	0	LogisticRegression	CDDD
291.89149	121.81637	241.20955	137.53254	0.54189	0.54754	0.5303	0.70555	0.53892	0.53885	0.53878	0.61658	0.55265	0.07311	0.71669	0.31834	0.24587	Weight | Low	Weighted	0	LogisticRegression	CDDD
5349.0	2677.0	3285.0	2036.0	0.55331	0.61953	0.432	0.66646	0.52576	0.51733	0.50904	0.64214	0.53526	0.05029	0.67343	0.3025	0.22318	Total | Total	Unweighted	0	LogisticRegression	CDDD
1667.0	796.0	1050.0	634.0	0.55486	0.61354	0.44336	0.67682	0.52845	0.52155	0.51475	0.64363	0.53668	0.05507	0.6798	0.30121	0.22914	Sex | Female	Unweighted	0	LogisticRegression	CDDD
2193.0	1049.0	1205.0	734.0	0.56495	0.64538	0.41167	0.67643	0.52852	0.51544	0.50269	0.66054	0.54243	0.056	0.69109	0.29523	0.21236	Sex | Unknown	Unweighted	0	LogisticRegression	CDDD
1489.0	832.0	1030.0	668.0	0.5367	0.59111	0.44533	0.64153	0.51822	0.51307	0.50797	0.61529	0.52343	0.03568	0.64261	0.31321	0.23607	Sex | Male	Unweighted	0	LogisticRegression	CDDD
2013.0	937.0	939.0	592.0	0.58134	0.68191	0.38718	0.68237	0.53455	0.51383	0.49392	0.68214	0.55503	0.06907	0.70072	0.28322	0.19645	Age | Unknown	Unweighted	0	LogisticRegression	CDDD
430.0	176.0	375.0	170.0	0.52129	0.53416	0.49133	0.70957	0.51275	0.5123	0.51185	0.6095	0.53509	0.02341	0.72829	0.31805	0.26624	Age | Adolescent	Unweighted	0	LogisticRegression	CDDD
1503.0	683.0	851.0	516.0	0.56825	0.63849	0.43036	0.68756	0.53442	0.52419	0.51416	0.66211	0.53386	0.06691	0.68879	0.29889	0.22849	Age | Adult	Unweighted	0	LogisticRegression	CDDD
1007.0	703.0	813.0	575.0	0.51065	0.5533	0.44992	0.58889	0.50161	0.49894	0.49628	0.57054	0.5114	0.00319	0.59051	0.32279	0.24473	Age | Elderly	Unweighted	0	LogisticRegression	CDDD
396.0	178.0	307.0	183.0	0.54417	0.5633	0.50693	0.6899	0.53511	0.53437	0.53363	0.6202	0.51991	0.06671	0.67589	0.31989	0.24993	Age | Children	Unweighted	0	LogisticRegression	CDDD
724.0	505.0	720.0	445.0	0.4883	0.50139	0.46842	0.5891	0.4849	0.48462	0.48434	0.54171	0.4869	-0.02955	0.59541	0.33706	0.27179	Weight | High	Unweighted	0	LogisticRegression	CDDD
930.0	520.0	793.0	518.0	0.52445	0.53976	0.49904	0.64138	0.5194	0.519	0.5186	0.5862	0.51864	0.03763	0.64108	0.32156	0.24375	Weight | Average	Unweighted	0	LogisticRegression	CDDD
2830.0	1136.0	970.0	500.0	0.61258	0.74474	0.30562	0.71357	0.52518	0.47708	0.43339	0.72882	0.53564	0.052	0.71954	0.26958	0.19662	Weight | Unknown	Unweighted	0	LogisticRegression	CDDD
865.0	516.0	802.0	573.0	0.52177	0.5189	0.52617	0.62636	0.52253	0.52252	0.52251	0.56759	0.52824	0.04406	0.6303	0.31834	0.23117	Weight | Low	Unweighted	0	LogisticRegression	CDDD
1109.41021	358.16636	687.58215	276.38542	0.56992	0.61737	0.43556	0.75595	0.52647	0.51856	0.51077	0.67967	0.53893	0.04752	0.76647	0.31203	0.24484	Total | Total	Weighted	3	LogisticRegression	CDDD
330.16632	107.07515	206.69105	77.6565	0.56517	0.615	0.42037	0.75511	0.51769	0.50846	0.49939	0.67789	0.52153	0.03159	0.75593	0.32133	0.25152	Sex | Female	Weighted	3	LogisticRegression	CDDD
498.27434	141.59338	270.37386	103.34773	0.59356	0.64825	0.42193	0.77871	0.53509	0.52299	0.51116	0.70752	0.55438	0.06227	0.79367	0.30123	0.2284	Sex | Unknown	Weighted	3	LogisticRegression	CDDD
280.96955	109.49783	210.51724	95.38119	0.54045	0.57167	0.46555	0.71957	0.51861	0.51589	0.51318	0.63715	0.52842	0.03418	0.73252	0.31624	0.26184	Sex | Male	Weighted	3	LogisticRegression	CDDD
52.56981	15.6928	40.00693	14.03478	0.54458	0.56785	0.47211	0.77011	0.51998	0.51777	0.51558	0.65369	0.53687	0.03452	0.78937	0.30723	0.25056	Age | Children	Weighted	3	LogisticRegression	CDDD
499.5497	125.75828	235.86228	88.60715	0.61926	0.67928	0.41335	0.79889	0.54631	0.52988	0.51395	0.73424	0.55919	0.08165	0.80702	0.28717	0.21942	Age | Unknown	Weighted	3	LogisticRegression	CDDD
72.70996	20.29257	40.25927	16.88052	0.5967	0.64363	0.45411	0.78181	0.54887	0.54062	0.53251	0.70602	0.585	0.08688	0.79937	0.31121	0.20361	Age | Adolescent	Weighted	3	LogisticRegression	CDDD
193.0591	102.12321	199.66459	86.10827	0.48053	0.49159	0.45746	0.65403	0.47452	0.47422	0.47391	0.5613	0.47327	-0.0477	0.66741	0.34643	0.30912	Age | Elderly	Weighted	3	LogisticRegression	CDDD
291.52164	94.2995	171.78908	70.7547	0.57654	0.62921	0.42868	0.75559	0.52894	0.51935	0.50994	0.68663	0.54124	0.05233	0.76214	0.31225	0.24263	Age | Adult	Weighted	3	LogisticRegression	CDDD
119.23702	72.11943	157.39213	69.92291	0.45181	0.43104	0.49227	0.62311	0.46165	0.46064	0.45962	0.50958	0.4519	-0.07289	0.62015	0.3382	0.31881	Weight | Average	Weighted	3	LogisticRegression	CDDD
95.94048	74.01525	144.65576	74.03463	0.43735	0.39876	0.50007	0.5645	0.44941	0.44655	0.4437	0.46737	0.41879	-0.09904	0.56058	0.34301	0.33098	Weight | High	Weighted	3	LogisticRegression	CDDD
775.49116	148.497	229.76112	57.71309	0.68777	0.77144	0.27988	0.83929	0.52566	0.46466	0.41074	0.80393	0.54692	0.04533	0.84712	0.2675	0.19008	Weight | Unknown	Weighted	3	LogisticRegression	CDDD
118.74155	63.53468	155.77314	74.71479	0.46868	0.43255	0.54043	0.65144	0.48649	0.48349	0.48051	0.51989	0.46638	-0.02568	0.62233	0.33971	0.31419	Weight | Low	Weighted	3	LogisticRegression	CDDD
2504.0	1382.0	1806.0	1102.0	0.53076	0.58097	0.44364	0.64436	0.51231	0.50768	0.5031	0.61103	0.517	0.02396	0.65032	0.31203	0.24023	Total | Total	Unweighted	3	LogisticRegression	CDDD
769.0	438.0	584.0	338.0	0.51996	0.56837	0.43557	0.63712	0.50197	0.49756	0.49318	0.60078	0.49668	0.00382	0.63091	0.32133	0.25669	Sex | Female	Unweighted	3	LogisticRegression	CDDD
1049.0	545.0	647.0	387.0	0.54642	0.61851	0.41524	0.65809	0.51688	0.50678	0.49689	0.63769	0.52897	0.03305	0.67394	0.30123	0.22377	Sex | Unknown	Unweighted	3	LogisticRegression	CDDD
686.0	399.0	575.0	377.0	0.52185	0.54401	0.48582	0.63226	0.51492	0.5141	0.51327	0.58483	0.52089	0.02904	0.63901	0.31624	0.24424	Sex | Male	Unweighted	3	LogisticRegression	CDDD
179.0	80.0	150.0	81.0	0.53061	0.54407	0.50311	0.69112	0.52359	0.52319	0.52279	0.60884	0.53433	0.04439	0.70563	0.30723	0.23812	Age | Children	Unweighted	3	LogisticRegression	CDDD
992.0	458.0	505.0	306.0	0.57408	0.66266	0.40052	0.68414	0.53159	0.51518	0.49928	0.67323	0.54084	0.06231	0.69194	0.28717	0.21178	Age | Unknown	Unweighted	3	LogisticRegression	CDDD
204.0	101.0	161.0	85.0	0.5245	0.5589	0.45699	0.66885	0.50795	0.50538	0.50283	0.60896	0.51922	0.01512	0.67607	0.31121	0.23111	Age | Adolescent	Unweighted	3	LogisticRegression	CDDD
470.0	368.0	527.0	339.0	0.47477	0.47141	0.47949	0.56086	0.47545	0.47544	0.47542	0.51226	0.47006	-0.04839	0.57338	0.34643	0.2844	Age | Elderly	Unweighted	3	LogisticRegression	CDDD
659.0	375.0	463.0	291.0	0.53132	0.58734	0.43694	0.63733	0.51214	0.50659	0.5011	0.61132	0.51241	0.02377	0.63346	0.31225	0.23909	Age | Adult	Unweighted	3	LogisticRegression	CDDD
