Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: liblinear:l1 | C: 0.8589364	0.48154	0	0	LogisticRegression	ChemBERTa
solver_penalty: saga:l2 | C: 0.01079941	0.32533	1	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 1.149512	0.4968	2	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l2 | C: 0.03767723	0.41048	3	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 0.1583328	0.45232	4	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:l2 | C: 0.12113	0.44703	5	0	LogisticRegression	ChemBERTa
solver_penalty: sag:None | C: 0.1315552	0.50093	6	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l2 | C: 0.04857803	0.41929	7	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 8.693188	0.51079	8	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:l2 | C: 1.053645	0.49203	9	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:l2 | C: 6.995489	0.5037	10	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:l2 | C: 9.524082	0.50526	11	0	LogisticRegression	ChemBERTa
solver_penalty: sag:l2 | C: 9.748188	0.50021	12	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 3.459459	0.51079	13	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 2.468724	0.51079	14	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.001666064	0.51079	15	0	LogisticRegression	ChemBERTa
solver_penalty: saga:l1 | C: 2.880012	0.49281	16	0	LogisticRegression	ChemBERTa
solver_penalty: saga:elasticnet | C: 0.5127844 | l1_ratio: 0.2044096	0.47561	17	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 2.613039	0.47894	18	0	LogisticRegression	ChemBERTa
solver_penalty: saga:None | C: 0.001149506	0.49618	19	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.4909547	0.51079	20	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 3.260191	0.51079	21	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 3.823111	0.51079	22	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.3422156	0.51079	23	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 1.487226	0.51079	24	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 4.640872	0.51079	25	0	LogisticRegression	ChemBERTa
solver_penalty: saga:l2 | C: 1.917286	0.49352	26	0	LogisticRegression	ChemBERTa
solver_penalty: saga:None | C: 5.748907	0.4962	27	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 0.3081963	0.4968	28	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.6938628	0.47493	29	0	LogisticRegression	ChemBERTa
solver_penalty: saga:elasticnet | C: 1.615325 | l1_ratio: 0.995185	0.48778	30	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.001240827	0.51079	31	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.00390663	0.51079	32	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.009126401	0.51079	33	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.03708844	0.47894	34	0	LogisticRegression	ChemBERTa
solver_penalty: sag:l2 | C: 0.002663901	0.13959	35	0	LogisticRegression	ChemBERTa
solver_penalty: saga:l1 | C: 0.06611594	0.37511	36	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.01149562	0.51079	37	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 0.02490053	0.3906	38	0	LogisticRegression	ChemBERTa
solver_penalty: sag:None | C: 0.9955943	0.50087	39	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l2 | C: 0.2424145	0.46678	40	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.6699758	0.51079	41	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 6.099549	0.51079	42	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 2.271606	0.49975	43	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:l2 | C: 0.1847428	0.45678	44	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 1.27543	0.4968	45	0	LogisticRegression	ChemBERTa
solver_penalty: saga:l2 | C: 9.83731	0.4964	46	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.5262143	0.51079	47	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 0.07964736	0.43767	48	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:l2 | C: 4.504094	0.50174	49	0	LogisticRegression	ChemBERTa
solver_penalty: sag:None | C: 2.221446	0.50095	50	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 4.219757	0.51079	51	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 3.315332	0.51079	52	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 6.53832	0.51079	53	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 3.501168	0.51079	54	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 1.041402	0.51079	55	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l2 | C: 0.4359928	0.47928	56	0	LogisticRegression	ChemBERTa
solver_penalty: saga:None | C: 7.489142	0.4962	57	0	LogisticRegression	ChemBERTa
solver_penalty: saga:elasticnet | C: 2.741579 | l1_ratio: 0.7482699	0.49284	58	0	LogisticRegression	ChemBERTa
solver_penalty: saga:l1 | C: 1.642694	0.48732	59	0	LogisticRegression	ChemBERTa
solver_penalty: sag:l2 | C: 5.133844	0.49989	60	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 3.472611	0.51079	61	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 1.965652	0.51079	62	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 7.733691	0.51079	63	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 0.1328491	0.4594	0	3	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 2.873246	0.48733	1	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.03326107	0.50489	2	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 5.088774	0.50489	3	3	LogisticRegression	ChemBERTa
solver_penalty: saga:l2 | C: 0.1497851	0.46154	4	3	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l2 | C: 0.04770402	0.43354	5	3	LogisticRegression	ChemBERTa
solver_penalty: saga:elasticnet | C: 0.004615778 | l1_ratio: 0.7060093	0.0	6	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:l2 | C: 0.004190904	0.23028	7	3	LogisticRegression	ChemBERTa
solver_penalty: saga:l1 | C: 0.002838718	0.0	8	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:l2 | C: 0.002593515	0.16354	9	3	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.02711169	0.49661	10	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 9.45532	0.50489	11	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.8737828	0.50489	12	3	LogisticRegression	ChemBERTa
solver_penalty: saga:None | C: 0.5001453	0.48307	13	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.01636136	0.50489	14	3	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.5040567	0.47835	15	3	LogisticRegression	ChemBERTa
solver_penalty: sag:l2 | C: 0.01240232	0.34566	16	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 9.839937	0.49586	17	3	LogisticRegression	ChemBERTa
solver_penalty: sag:None | C: 1.825082	0.48748	18	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.05572468	0.50489	19	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.2492739	0.50489	20	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 9.282496	0.50489	21	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 2.960412	0.50489	22	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 4.005891	0.50489	23	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:l2 | C: 0.9214789	0.48117	24	3	LogisticRegression	ChemBERTa
solver_penalty: saga:elasticnet | C: 0.001217839 | l1_ratio: 0.006387956	0.0766	25	3	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 7.171018	0.49661	26	3	LogisticRegression	ChemBERTa
solver_penalty: sag:l2 | C: 1.434494	0.4817	27	3	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 5.390012	0.49478	28	3	LogisticRegression	ChemBERTa
solver_penalty: saga:None | C: 0.1892598	0.48324	29	3	LogisticRegression	ChemBERTa
solver_penalty: saga:l2 | C: 0.3760396	0.47476	30	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 1.579042	0.50489	31	3	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 0.0984853	0.45248	32	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 4.100998	0.50489	33	3	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l2 | C: 0.9495921	0.48072	34	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.105002	0.50489	35	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:l2 | C: 2.631525	0.48675	36	3	LogisticRegression	ChemBERTa
solver_penalty: saga:l1 | C: 0.8605944	0.48323	37	3	LogisticRegression	ChemBERTa
solver_penalty: sag:None | C: 0.04013337	0.48759	38	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 0.01171642	0.49586	39	3	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 2.342076	0.48596	40	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.008707136	0.50489	41	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.0191296	0.50489	42	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.03260711	0.50489	43	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.07138154	0.50489	44	3	LogisticRegression	ChemBERTa
solver_penalty: saga:l2 | C: 0.02328658	0.39653	45	3	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l2 | C: 0.00790511	0.31141	46	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:l2 | C: 6.578482	0.49231	47	3	LogisticRegression	ChemBERTa
solver_penalty: saga:elasticnet | C: 0.004815589 | l1_ratio: 0.99256	0.0	48	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.01703257	0.50489	49	3	LogisticRegression	ChemBERTa
solver_penalty: saga:l1 | C: 4.119548	0.48301	50	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.06891016	0.50489	51	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.05492931	0.50489	52	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.1655275	0.50489	53	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.03602538	0.50489	54	3	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.4021914	0.49661	55	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:l2 | C: 8.718086	0.49729	56	3	LogisticRegression	ChemBERTa
solver_penalty: saga:None | C: 0.0151398	0.48331	57	3	LogisticRegression	ChemBERTa
solver_penalty: sag:l2 | C: 0.02552811	0.40324	58	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 0.05266461	0.49586	59	3	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.2405442	0.46461	60	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.2465755	0.50489	61	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.1205864	0.50489	62	3	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.5860244	0.50489	63	3	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.2059839	0.47066	0	1	LogisticRegression	ChemBERTa
solver_penalty: sag:None | C: 0.02771105	0.46903	1	1	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:l2 | C: 0.001866966	0.09996	2	1	LogisticRegression	ChemBERTa
solver_penalty: saga:None | C: 0.186398	0.46739	3	1	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 0.0191374	0.31471	4	1	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 0.3528482	0.45105	5	1	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 6.120696	0.47066	6	1	LogisticRegression	ChemBERTa
solver_penalty: sag:None | C: 0.004455664	0.46885	7	1	LogisticRegression	ChemBERTa
solver_penalty: sag:l2 | C: 0.01983502	0.31778	8	1	LogisticRegression	ChemBERTa
solver_penalty: saga:l1 | C: 0.0115881	0.01186	9	1	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 1.258018	0.47502	10	1	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 1.445637	0.47502	11	1	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 2.238035	0.47502	12	1	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 1.190823	0.47502	13	1	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 9.567712	0.47502	14	1	LogisticRegression	ChemBERTa
solver_penalty: saga:l2 | C: 0.8520743	0.46097	15	1	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.06959787	0.48415	16	1	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.06963111	0.48415	17	1	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.05566082	0.48415	18	1	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 0.05286315	0.48415	19	1	LogisticRegression	ChemBERTa
