Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: newton-cg:None | C: 0.6964408	0.48421	0	0	LogisticRegression	Klek
solver_penalty: sag:None | C: 0.005691344	0.47374	1	0	LogisticRegression	Klek
solver_penalty: newton-cg:l2 | C: 0.01309562	0.17438	2	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 0.05720615	0.24443	3	0	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 0.05252281	0.36104	4	0	LogisticRegression	Klek
solver_penalty: newton-cg:l2 | C: 0.03480333	0.31374	5	0	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 0.2063786	0.47298	6	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.007793432	0.48773	7	0	LogisticRegression	Klek
solver_penalty: saga:None | C: 0.02624125	0.47371	8	0	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 1.286367	0.48136	9	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.001011367	0.47743	10	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 6.519179	0.48771	11	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 8.160495	0.47222	12	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:l2 | C: 9.887721	0.47766	13	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.002525104 | l1_ratio: 0.8572343	0.0	14	0	LogisticRegression	Klek
solver_penalty: saga:l1 | C: 0.3343634	0.44276	15	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 1.850444	0.47574	16	0	LogisticRegression	Klek
solver_penalty: saga:l2 | C: 0.007789535	0.09751	17	0	LogisticRegression	Klek
solver_penalty: sag:l2 | C: 0.155119	0.42583	18	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 2.947395	0.46825	19	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.002595551	0.48718	20	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.001484156	0.48112	21	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.003478488	0.48377	22	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.01160222	0.4821	23	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.02247522	0.49576	24	0	LogisticRegression	Klek
solver_penalty: sag:None | C: 0.02310432	0.47311	25	0	LogisticRegression	Klek
solver_penalty: saga:None | C: 0.4758423	0.47674	26	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.1005703 | l1_ratio: 0.02155086	0.40459	27	0	LogisticRegression	Klek
solver_penalty: saga:l1 | C: 0.01145607	0.0	28	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.07533892	0.47414	29	0	LogisticRegression	Klek
solver_penalty: sag:l2 | C: 0.8406779	0.45845	30	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.004943244	0.48056	31	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.002636079	0.48026	32	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.01756766	0.49028	33	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 0.01899351	0.02212	34	0	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 0.006507388	0.07652	35	0	LogisticRegression	Klek
solver_penalty: saga:l2 | C: 0.0549288	0.36401	36	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.0423401	0.34722	37	0	LogisticRegression	Klek
solver_penalty: newton-cg:l2 | C: 0.01625651	0.2025	38	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:l2 | C: 0.1379307	0.41982	39	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.03300534	0.48485	40	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.008753673	0.47745	41	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.003816114	0.48164	42	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.00178642	0.481	43	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 4.406543	0.48432	44	0	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 0.006147937	0.4932	45	0	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 0.02712332	0.47338	46	0	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 0.0130689	0.47688	47	0	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 0.004871334	0.47768	48	0	LogisticRegression	Klek
solver_penalty: sag:None | C: 0.008222426	0.48158	49	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 0.08001942	0.29966	50	0	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 0.001095148	0.0004	51	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.002429805	0.48734	52	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.001938158	0.4748	53	0	LogisticRegression	Klek
solver_penalty: newton-cg:l2 | C: 0.004213759	0.039	54	0	LogisticRegression	Klek
solver_penalty: saga:None | C: 0.2570891	0.47706	55	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.01740817	0.24146	56	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.006821468	0.4806	57	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.009313387 | l1_ratio: 0.3169501	0.00928	58	0	LogisticRegression	Klek
