Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 300 | criterion: log_loss | max_depth: 12 | min_samples_leaf: 1 | min_samples_split: 3 | max_features: None | ccp_alpha: 7.550977e-05	0.18981	0	1	RandomForestClassifier	ChemBERTa
n_estimators: 275 | criterion: log_loss | max_depth: 19 | min_samples_leaf: 2 | min_samples_split: 4 | max_features: sqrt | ccp_alpha: 0.0002098924	0.00095	1	1	RandomForestClassifier	ChemBERTa
n_estimators: 525 | criterion: log_loss | max_depth: 12 | min_samples_leaf: 10 | min_samples_split: 8 | max_features: None | ccp_alpha: 0.001362595	0.13868	2	1	RandomForestClassifier	ChemBERTa
n_estimators: 525 | criterion: log_loss | max_depth: 11 | min_samples_leaf: 8 | min_samples_split: 6 | max_features: None | ccp_alpha: 0.0002470331	0.15257	3	1	RandomForestClassifier	ChemBERTa
n_estimators: 100 | criterion: log_loss | max_depth: 17 | min_samples_leaf: 7 | min_samples_split: 6 | max_features: sqrt | ccp_alpha: 0.007265563	0.0	4	1	RandomForestClassifier	ChemBERTa
n_estimators: 675 | criterion: gini | max_depth: 13 | min_samples_leaf: 2 | min_samples_split: 10 | max_features: None | ccp_alpha: 1.121827e-05	0.16018	5	1	RandomForestClassifier	ChemBERTa
n_estimators: 750 | criterion: entropy | max_depth: 8 | min_samples_leaf: 1 | min_samples_split: 6 | max_features: log2 | ccp_alpha: 0.0008509958	0.0	6	1	RandomForestClassifier	ChemBERTa
n_estimators: 950 | criterion: entropy | max_depth: 5 | min_samples_leaf: 2 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 0.005779968	0.0	7	1	RandomForestClassifier	ChemBERTa
n_estimators: 100 | criterion: entropy | max_depth: 8 | min_samples_leaf: 7 | min_samples_split: 10 | max_features: sqrt | ccp_alpha: 0.04894494	0.0	8	1	RandomForestClassifier	ChemBERTa
n_estimators: 575 | criterion: log_loss | max_depth: 13 | min_samples_leaf: 1 | min_samples_split: 7 | max_features: None | ccp_alpha: 0.02499045	0.0	9	1	RandomForestClassifier	ChemBERTa
n_estimators: 350 | criterion: gini | max_depth: 3 | min_samples_leaf: 4 | min_samples_split: 2 | max_features: None | ccp_alpha: 1.488139e-05	0.00682	10	1	RandomForestClassifier	ChemBERTa
n_estimators: 725 | criterion: gini | max_depth: 15 | min_samples_leaf: 4 | min_samples_split: 2 | max_features: None | ccp_alpha: 1.109503e-05	0.17964	11	1	RandomForestClassifier	ChemBERTa
n_estimators: 875 | criterion: gini | max_depth: 16 | min_samples_leaf: 4 | min_samples_split: 2 | max_features: None | ccp_alpha: 5.87607e-05	0.17764	12	1	RandomForestClassifier	ChemBERTa
n_estimators: 350 | criterion: gini | max_depth: 15 | min_samples_leaf: 4 | min_samples_split: 4 | max_features: None | ccp_alpha: 4.993016e-05	0.17455	13	1	RandomForestClassifier	ChemBERTa
n_estimators: 775 | criterion: gini | max_depth: 20 | min_samples_leaf: 5 | min_samples_split: 4 | max_features: None | ccp_alpha: 4.85784e-05	0.20107	14	1	RandomForestClassifier	ChemBERTa
n_estimators: 850 | criterion: log_loss | max_depth: 20 | min_samples_leaf: 10 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 7.331019e-05	0.0	15	1	RandomForestClassifier	ChemBERTa
n_estimators: 225 | criterion: gini | max_depth: 9 | min_samples_leaf: 6 | min_samples_split: 3 | max_features: None | ccp_alpha: 0.0002610664	0.1052	16	1	RandomForestClassifier	ChemBERTa
n_estimators: 425 | criterion: gini | max_depth: 18 | min_samples_leaf: 5 | min_samples_split: 5 | max_features: None | ccp_alpha: 3.756021e-05	0.20264	17	1	RandomForestClassifier	ChemBERTa
n_estimators: 600 | criterion: gini | max_depth: 18 | min_samples_leaf: 5 | min_samples_split: 5 | max_features: sqrt | ccp_alpha: 2.917991e-05	0.0007	18	1	RandomForestClassifier	ChemBERTa
