TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
3082.60565	876.19945	527.3664	292.80141	0.7063	0.85391	0.25047	0.77867	0.55219	0.46247	0.38733	0.81456	0.63032	0.11901	0.83959	0.23475	0.10925	Total | Total	Weighted	0	RandomForestClassifier	MACCS
1329.49615	345.64535	187.74826	108.3599	0.72941	0.87626	0.23868	0.79366	0.55747	0.45732	0.37516	0.83292	0.65758	0.13544	0.8654	0.22973	0.10224	Sex | Unknown	Weighted	0	RandomForestClassifier	MACCS
798.5629	261.71675	183.08066	102.64614	0.66954	0.8135	0.28171	0.75316	0.5476	0.47872	0.4185	0.78217	0.59684	0.10345	0.79371	0.24297	0.11062	Sex | Male	Weighted	0	RandomForestClassifier	MACCS
954.5466	268.83735	156.53748	81.79537	0.70899	0.85911	0.23328	0.78025	0.5462	0.44768	0.36693	0.81779	0.62115	0.1068	0.83591	0.23307	0.12052	Sex | Female	Weighted	0	RandomForestClassifier	MACCS
1273.48059	295.44887	178.97048	107.47525	0.7443	0.87678	0.26674	0.81169	0.57176	0.4836	0.40904	0.84298	0.68903	0.16377	0.8832	0.2255	0.08919	Age | Unknown	Weighted	0	RandomForestClassifier	MACCS
149.77678	61.75371	29.94546	11.77411	0.63791	0.83338	0.16013	0.70806	0.49676	0.36531	0.26864	0.76563	0.53101	-0.00794	0.7486	0.23516	0.11241	Age | Children	Weighted	0	RandomForestClassifier	MACCS
224.43508	57.77377	38.87581	15.78297	0.71309	0.85236	0.21457	0.79528	0.53346	0.42766	0.34283	0.82283	0.60214	0.07499	0.83683	0.22177	0.16618	Age | Adolescent	Weighted	0	RandomForestClassifier	MACCS
857.0687	221.78822	119.89429	64.5056	0.72952	0.87728	0.22531	0.79442	0.5513	0.44459	0.35854	0.8338	0.60394	0.12164	0.82758	0.23558	0.12274	Age | Adult	Weighted	0	RandomForestClassifier	MACCS
577.8445	239.43488	159.68036	93.26348	0.62707	0.78349	0.28032	0.70703	0.53191	0.46865	0.41291	0.7433	0.54402	0.06953	0.70811	0.25187	0.12549	Age | Elderly	Weighted	0	RandomForestClassifier	MACCS
363.74928	173.12726	122.35772	76.10243	0.59816	0.74829	0.30535	0.67753	0.52682	0.47801	0.43372	0.71115	0.53934	0.0572	0.66905	0.24877	0.12771	Weight | High	Weighted	0	RandomForestClassifier	MACCS
341.87685	163.03801	191.22419	96.3109	0.55295	0.6413	0.37136	0.6771	0.50633	0.48801	0.47035	0.65871	0.50331	0.01235	0.67261	0.25101	0.14668	Weight | Low	Weighted	0	RandomForestClassifier	MACCS
1911.79337	350.58505	103.17758	41.96302	0.81152	0.94879	0.1069	0.84504	0.52785	0.31847	0.19215	0.89391	0.64754	0.08644	0.89596	0.21408	0.10819	Weight | Unknown	Weighted	0	RandomForestClassifier	MACCS
465.18615	189.44913	110.60691	78.42506	0.64434	0.80791	0.29277	0.7106	0.55034	0.48634	0.42979	0.75614	0.53321	0.11239	0.69128	0.24707	0.11844	Weight | Average	Weighted	0	RandomForestClassifier	MACCS
7094.0	3615.0	1540.0	1098.0	0.61377	0.82164	0.23297	0.66243	0.5273	0.43751	0.36301	0.7335	0.56379	0.06554	0.7021	0.23475	0.07828	Total | Total	Unweighted	0	RandomForestClassifier	MACCS
2871.0	1405.0	527.0	378.0	0.6271	0.84491	0.212	0.67142	0.52846	0.42323	0.33895	0.74824	0.57938	0.07121	0.72488	0.22973	0.07112	Sex | Unknown	Unweighted	0	RandomForestClassifier	MACCS
1976.0	1103.0	543.0	397.0	0.59045	0.78444	0.26467	0.64177	0.52455	0.45565	0.39579	0.70597	0.54511	0.05611	0.66332	0.24297	0.09655	Sex | Male	Unweighted	0	RandomForestClassifier	MACCS
2247.0	1107.0	470.0	323.0	0.61973	0.82702	0.22587	0.66995	0.52644	0.43221	0.35484	0.74024	0.56008	0.06392	0.70511	0.23307	0.07328	Sex | Female	Unweighted	0	RandomForestClassifier	MACCS
2484.0	1171.0	468.0	358.0	0.63423	0.84146	0.23414	0.67962	0.5378	0.44387	0.36634	0.75193	0.6053	0.09244	0.74058	0.2255	0.07537	Age | Unknown	Unweighted	0	RandomForestClassifier	MACCS
580.0	298.0	123.0	63.0	0.60432	0.82504	0.17452	0.66059	0.49978	0.37945	0.28809	0.73371	0.52468	-0.00056	0.69728	0.23516	0.0828	Age | Children	Unweighted	0	RandomForestClassifier	MACCS
684.0	279.0	121.0	67.0	0.65248	0.84969	0.19364	0.71028	0.52167	0.40563	0.3154	0.77376	0.567	0.05375	0.74189	0.22177	0.10309	Age | Adolescent	Unweighted	0	RandomForestClassifier	MACCS
1982.0	954.0	372.0	245.0	0.62679	0.84197	0.20434	0.67507	0.52315	0.41478	0.32886	0.74934	0.53434	0.0578	0.68553	0.23558	0.09241	Age | Adult	Unweighted	0	RandomForestClassifier	MACCS
1364.0	913.0	456.0	365.0	0.5581	0.74945	0.2856	0.59903	0.51753	0.46265	0.41359	0.66585	0.51879	0.0391	0.59223	0.25187	0.08687	Age | Elderly	Unweighted	0	RandomForestClassifier	MACCS
1072.0	678.0	372.0	272.0	0.5614	0.74238	0.28632	0.61257	0.51435	0.46104	0.41325	0.67126	0.5329	0.03166	0.61751	0.24877	0.07475	Weight | High	Unweighted	0	RandomForestClassifier	MACCS
1114.0	692.0	553.0	397.0	0.54826	0.66827	0.36455	0.61683	0.51641	0.49358	0.47176	0.64152	0.52121	0.03376	0.61908	0.25101	0.09256	Weight | Low	Unweighted	0	RandomForestClassifier	MACCS
3540.0	1463.0	260.0	173.0	0.68304	0.93158	0.10575	0.70758	0.51866	0.31386	0.18993	0.80427	0.58201	0.06323	0.7539	0.21408	0.06465	Weight | Unknown	Unweighted	0	RandomForestClassifier	MACCS
1368.0	782.0	355.0	256.0	0.58819	0.79396	0.24663	0.63628	0.5203	0.44251	0.37635	0.70643	0.50578	0.04736	0.6181	0.24707	0.1045	Weight | Average	Unweighted	0	RandomForestClassifier	MACCS
1433.36357	480.82544	363.62879	153.72634	0.65271	0.79765	0.24226	0.74881	0.51995	0.43959	0.37164	0.77246	0.61632	0.04282	0.83478	0.23933	0.10714	Total | Total	Weighted	3	RandomForestClassifier	MACCS
623.89755	192.39657	144.75065	52.54454	0.66737	0.81168	0.21452	0.7643	0.5131	0.41728	0.33935	0.78728	0.63823	0.02833	0.86292	0.23475	0.10587	Sex | Unknown	Weighted	3	RandomForestClassifier	MACCS
440.68361	145.86429	96.17376	38.86736	0.66458	0.82086	0.2104	0.75132	0.51563	0.41558	0.33495	0.78455	0.57751	0.03498	0.80878	0.24185	0.11056	Sex | Female	Weighted	3	RandomForestClassifier	MACCS
368.78241	142.56458	122.70438	62.31444	0.61907	0.75034	0.30415	0.7212	0.52725	0.47772	0.43285	0.73548	0.61337	0.05622	0.80995	0.24259	0.1063	Sex | Male	Weighted	3	RandomForestClassifier	MACCS
266.92218	125.56735	125.80151	62.66413	0.56732	0.67967	0.33291	0.68007	0.50629	0.47568	0.44692	0.67987	0.52279	0.01258	0.71342	0.25877	0.11905	Age | Elderly	Weighted	3	RandomForestClassifier	MACCS
73.11744	23.71592	19.4593	6.01166	0.64699	0.7898	0.20223	0.75509	0.49601	0.39965	0.322	0.77205	0.54425	-0.00842	0.78711	0.23483	0.17353	Age | Children	Weighted	3	RandomForestClassifier	MACCS
86.2834	28.59796	26.68583	8.57513	0.63179	0.76378	0.23068	0.75107	0.49723	0.41975	0.35434	0.75737	0.51492	-0.00564	0.7849	0.23903	0.15518	Age | Adolescent	Weighted	3	RandomForestClassifier	MACCS
387.92789	134.46592	75.38283	30.58828	0.66604	0.8373	0.18532	0.7426	0.51131	0.39392	0.30348	0.78711	0.58789	0.02658	0.8038	0.24252	0.09881	Age | Adult	Weighted	3	RandomForestClassifier	MACCS
619.11266	168.47829	116.29932	45.88714	0.70016	0.84186	0.21406	0.78608	0.52796	0.42451	0.34133	0.81302	0.69504	0.06212	0.89161	0.22319	0.09788	Age | Unknown	Weighted	3	RandomForestClassifier	MACCS
919.41187	167.38489	85.84041	38.8252	0.79098	0.91461	0.18828	0.84598	0.55144	0.41497	0.31228	0.87896	0.68457	0.12727	0.9092	0.212	0.12739	Weight | Unknown	Weighted	3	RandomForestClassifier	MACCS
210.69474	108.24276	65.93441	33.79958	0.58398	0.76165	0.23795	0.66061	0.4998	0.42572	0.36262	0.70754	0.50316	-0.00044	0.65036	0.24891	0.09551	Weight | Average	Weighted	3	RandomForestClassifier	MACCS
145.84036	113.22907	94.75588	34.82081	0.46485	0.60616	0.2352	0.56294	0.42068	0.37758	0.3389	0.58375	0.44118	-0.16342	0.60241	0.25733	0.12886	Weight | High	Weighted	3	RandomForestClassifier	MACCS
157.4166	91.96872	117.09809	46.28075	0.4935	0.57344	0.33476	0.63122	0.4541	0.43814	0.42274	0.60094	0.45383	-0.0886	0.66518	0.26375	0.17938	Weight | Low	Weighted	3	RandomForestClassifier	MACCS
3303.0	1870.0	1007.0	614.0	0.57654	0.76636	0.24718	0.63851	0.50677	0.43524	0.3738	0.69661	0.55339	0.0153	0.70266	0.23933	0.08458	Total | Total	Unweighted	3	RandomForestClassifier	MACCS
1323.0	729.0	373.0	203.0	0.58067	0.78007	0.21781	0.64474	0.49894	0.4122	0.34054	0.70598	0.56776	-0.00245	0.73002	0.23475	0.08465	Sex | Unknown	Unweighted	3	RandomForestClassifier	MACCS
1072.0	601.0	281.0	175.0	0.58572	0.79231	0.22552	0.64077	0.50891	0.4227	0.3511	0.70853	0.5353	0.02092	0.67741	0.24185	0.08323	Sex | Female	Unweighted	3	RandomForestClassifier	MACCS
908.0	540.0	353.0	236.0	0.56161	0.72006	0.30412	0.62707	0.51209	0.46796	0.42763	0.67036	0.54988	0.02591	0.68776	0.24259	0.08937	Sex | Male	Unweighted	3	RandomForestClassifier	MACCS
654.0	480.0	343.0	227.0	0.51702	0.65597	0.32107	0.57672	0.48852	0.45893	0.43113	0.6138	0.4871	-0.02397	0.59178	0.25877	0.10184	Age | Elderly	Unweighted	3	RandomForestClassifier	MACCS
261.0	124.0	68.0	37.0	0.60816	0.79331	0.22981	0.67792	0.51156	0.42698	0.35639	0.73109	0.54328	0.02647	0.70631	0.23483	0.10127	Age | Children	Unweighted	3	RandomForestClassifier	MACCS
282.0	140.0	83.0	46.0	0.59528	0.7726	0.24731	0.66825	0.50996	0.43712	0.37469	0.71665	0.51133	0.02224	0.69537	0.23903	0.10442	Age | Adolescent	Unweighted	3	RandomForestClassifier	MACCS
896.0	527.0	226.0	139.0	0.57886	0.79857	0.20871	0.62966	0.50364	0.40825	0.33093	0.70413	0.53761	0.00874	0.66929	0.24252	0.07858	Age | Adult	Unweighted	3	RandomForestClassifier	MACCS
1210.0	599.0	287.0	165.0	0.60814	0.80828	0.21597	0.66888	0.51213	0.41781	0.34086	0.732	0.60909	0.02868	0.76471	0.22319	0.0803	Age | Unknown	Unweighted	3	RandomForestClassifier	MACCS
1605.0	678.0	196.0	156.0	0.66831	0.89117	0.18705	0.70302	0.53911	0.40828	0.3092	0.78599	0.62228	0.10694	0.77635	0.212	0.0505	Weight | Unknown	Unweighted	3	RandomForestClassifier	MACCS
672.0	418.0	200.0	130.0	0.56479	0.77064	0.23723	0.61651	0.50393	0.42757	0.36278	0.68502	0.50814	0.00907	0.61562	0.24891	0.08278	Weight | Average	Unweighted	3	RandomForestClassifier	MACCS
519.0	410.0	262.0	133.0	0.49245	0.66453	0.24494	0.55867	0.45473	0.40344	0.35794	0.60702	0.48062	-0.09732	0.59512	0.25733	0.10401	Weight | High	Unweighted	3	RandomForestClassifier	MACCS
507.0	364.0	349.0	195.0	0.49611	0.59229	0.34884	0.58209	0.47056	0.45455	0.43908	0.58715	0.46674	-0.05916	0.61392	0.26375	0.16404	Weight | Low	Unweighted	3	RandomForestClassifier	MACCS
1350.19285	576.68261	307.99042	247.77307	0.64366	0.81426	0.30053	0.70072	0.55739	0.49468	0.43902	0.75323	0.6402	0.1297	0.79089	0.25043	0.06468	Total | Total	Weighted	1	RandomForestClassifier	MACCS
367.68202	174.05064	94.02603	74.55579	0.62259	0.79635	0.29989	0.67871	0.54812	0.48869	0.43571	0.73284	0.60038	0.1079	0.74076	0.25164	0.07276	Sex | Male	Weighted	1	RandomForestClassifier	MACCS
583.42203	215.70845	118.78578	99.9322	0.67137	0.83084	0.3166	0.73007	0.57372	0.51288	0.45849	0.7772	0.6822	0.16603	0.83332	0.24438	0.06391	Sex | Unknown	Weighted	1	RandomForestClassifier	MACCS
399.0888	186.92352	95.17861	73.28508	0.6261	0.80743	0.28164	0.68102	0.54454	0.47687	0.41761	0.73886	0.61672	0.10167	0.76316	0.25688	0.06329	Sex | Female	Weighted	1	RandomForestClassifier	MACCS
74.38015	42.11481	21.39223	16.82666	0.58952	0.77663	0.28548	0.63848	0.53106	0.47087	0.4175	0.70082	0.63582	0.06994	0.74218	0.24747	0.08903	Age | Adolescent	Weighted	1	RandomForestClassifier	MACCS
