TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
3008.33662	878.61824	601.63543	290.38262	0.69026	0.83334	0.2484	0.77396	0.54087	0.45498	0.38272	0.80255	0.62813	0.09018	0.84124	0.25324	0.10236	Total | Total	Weighted	0	XGBClassifier	CDDD
1334.06664	362.26125	183.17777	91.744	0.7233	0.87927	0.20208	0.78644	0.54067	0.42152	0.32863	0.83027	0.65401	0.09886	0.86421	0.24495	0.08463	Sex | Unknown	Weighted	0	XGBClassifier	CDDD
925.99524	269.08137	185.08884	81.55135	0.68929	0.83342	0.23258	0.77484	0.533	0.44027	0.36368	0.80306	0.6152	0.07298	0.83555	0.25207	0.10978	Sex | Female	Weighted	0	XGBClassifier	CDDD
748.27474	247.27562	233.36882	117.08727	0.64291	0.76227	0.32135	0.75162	0.54181	0.49493	0.4521	0.75691	0.59796	0.08466	0.80158	0.26512	0.12056	Sex | Male	Weighted	0	XGBClassifier	CDDD
144.37568	57.13236	35.34656	16.39546	0.63483	0.80333	0.22298	0.71648	0.51315	0.42324	0.34907	0.75742	0.53406	0.02962	0.74247	0.25486	0.13838	Age | Children	Weighted	0	XGBClassifier	CDDD
807.06378	214.28467	169.89921	72.00915	0.69588	0.82609	0.25152	0.79019	0.53881	0.45583	0.38563	0.80775	0.6065	0.08258	0.83422	0.25355	0.1148	Age | Adult	Weighted	0	XGBClassifier	CDDD
505.44745	207.89419	232.07741	124.80417	0.5889	0.68533	0.37513	0.70856	0.53023	0.50704	0.48486	0.69675	0.55742	0.05935	0.73245	0.27979	0.13662	Age | Elderly	Weighted	0	XGBClassifier	CDDD
198.32612	53.38874	64.98477	20.168	0.64861	0.7532	0.27418	0.7879	0.51369	0.45444	0.40202	0.77016	0.50935	0.02603	0.78799	0.25212	0.17222	Age | Adolescent	Weighted	0	XGBClassifier	CDDD
1353.12359	345.91828	99.32748	57.00584	0.76002	0.93161	0.14148	0.7964	0.53655	0.36305	0.24565	0.85872	0.69492	0.1085	0.88692	0.23452	0.06293	Age | Unknown	Weighted	0	XGBClassifier	CDDD
383.47649	176.15177	192.31657	91.72242	0.56325	0.666	0.34241	0.68523	0.5042	0.47754	0.45228	0.67548	0.49868	0.00828	0.67882	0.26328	0.16394	Weight | Average	Weighted	0	XGBClassifier	CDDD
328.98253	162.38638	204.11851	96.96253	0.5375	0.61711	0.37387	0.66952	0.49549	0.48033	0.46564	0.64225	0.49777	-0.00872	0.66465	0.2634	0.1604	Weight | Low	Weighted	0	XGBClassifier	CDDD
290.23145	152.90369	195.87555	96.326	0.52569	0.59705	0.38649	0.65495	0.49177	0.48037	0.46924	0.62466	0.48552	-0.01591	0.65769	0.26869	0.16578	Weight | High	Weighted	0	XGBClassifier	CDDD
2005.64615	387.1764	9.3248	5.37167	0.83531	0.99537	0.01368	0.83819	0.50453	0.11671	0.027	0.91005	0.62845	0.04295	0.8904	0.23617	0.04991	Weight | Unknown	Weighted	0	XGBClassifier	CDDD
6838.0	3497.0	1796.0	1216.0	0.60343	0.79199	0.25801	0.66164	0.525	0.45204	0.38922	0.72097	0.55905	0.05716	0.70213	0.25324	0.1444	Total | Total	Unweighted	0	XGBClassifier	CDDD
2886.0	1423.0	512.0	360.0	0.62652	0.84932	0.20191	0.66976	0.52562	0.41411	0.32625	0.74893	0.57536	0.06505	0.72295	0.24495	0.13941	Sex | Unknown	Unweighted	0	XGBClassifier	CDDD
2153.0	1075.0	564.0	355.0	0.60477	0.79242	0.24825	0.66698	0.52033	0.44353	0.37806	0.72431	0.54887	0.04654	0.69907	0.25207	0.14676	Sex | Female	Unweighted	0	XGBClassifier	CDDD
1799.0	999.0	720.0	501.0	0.57228	0.71417	0.334	0.64296	0.52409	0.4884	0.45514	0.6767	0.54368	0.05066	0.66988	0.26512	0.15227	Sex | Male	Unweighted	0	XGBClassifier	CDDD
546.0	269.0	157.0	92.0	0.59962	0.77667	0.25485	0.66994	0.51576	0.4449	0.38377	0.71937	0.52427	0.03525	0.68758	0.25486	0.15081	Age | Children	Unweighted	0	XGBClassifier	CDDD
1849.0	900.0	505.0	299.0	0.60456	0.78547	0.24937	0.67261	0.51742	0.44258	0.37856	0.72467	0.53799	0.03938	0.69446	0.25355	0.14995	Age | Adult	Unweighted	0	XGBClassifier	CDDD
1148.0	765.0	672.0	513.0	0.53615	0.63077	0.40141	0.6001	0.51609	0.50319	0.49061	0.61505	0.51982	0.03259	0.60512	0.27979	0.16116	Age | Elderly	Unweighted	0	XGBClassifier	CDDD
584.0	245.0	221.0	101.0	0.59513	0.72547	0.29191	0.70446	0.50869	0.46018	0.41631	0.71481	0.49523	0.01775	0.68714	0.25212	0.1799	Age | Adolescent	Unweighted	0	XGBClassifier	CDDD
2711.0	1318.0	241.0	211.0	0.65209	0.91836	0.138	0.67287	0.52818	0.356	0.23994	0.77668	0.61296	0.08873	0.74746	0.23452	0.12372	Age | Unknown	Unweighted	0	XGBClassifier	CDDD
1143.0	657.0	580.0	381.0	0.55197	0.66338	0.36705	0.635	0.51521	0.49345	0.47261	0.64888	0.50769	0.03094	0.62055	0.26328	0.13393	Weight | Average	Unweighted	0	XGBClassifier	CDDD
1045.0	658.0	622.0	431.0	0.53556	0.62687	0.39578	0.61362	0.51133	0.4981	0.48521	0.62018	0.51412	0.02279	0.60598	0.2634	0.13014	Weight | Low	Unweighted	0	XGBClassifier	CDDD
872.0	562.0	572.0	388.0	0.52632	0.60388	0.40842	0.60809	0.50615	0.49663	0.48728	0.60598	0.50195	0.01228	0.60539	0.26869	0.14106	Weight | High	Unweighted	0	XGBClassifier	CDDD
3778.0	1620.0	22.0	16.0	0.69794	0.99421	0.00978	0.69989	0.502	0.09861	0.01937	0.82148	0.57206	0.02197	0.7508	0.23617	0.16023	Weight | Unknown	Unweighted	0	XGBClassifier	CDDD
1411.69199	434.39295	385.30037	200.15883	0.66289	0.78559	0.31543	0.7647	0.55051	0.4978	0.45013	0.775	0.63567	0.10376	0.83893	0.26032	0.11053	Total | Total	Weighted	3	XGBClassifier	CDDD
419.87955	132.09699	116.97782	52.63466	0.65482	0.78211	0.28492	0.76068	0.53352	0.47206	0.41769	0.77125	0.60129	0.06899	0.8186	0.26887	0.12541	Sex | Female	Weighted	3	XGBClassifier	CDDD
642.12958	176.73655	126.51862	68.20456	0.70081	0.8354	0.27845	0.78417	0.55693	0.48231	0.41768	0.80897	0.6662	0.12372	0.86844	0.24641	0.09072	Sex | Unknown	Weighted	3	XGBClassifier	CDDD
349.68286	125.55941	141.80393	79.31961	0.61606	0.71148	0.38715	0.7358	0.54932	0.52483	0.50144	0.72344	0.61732	0.09655	0.80808	0.26932	0.13347	Sex | Male	Weighted	3	XGBClassifier	CDDD
70.67265	22.51666	21.90409	7.21092	0.6368	0.7634	0.24257	0.75838	0.50298	0.43032	0.36815	0.76088	0.5216	0.006	0.77032	0.25344	0.16841	Age | Children	Weighted	3	XGBClassifier	CDDD
87.73358	30.37022	25.23565	6.80287	0.62965	0.77661	0.18301	0.74285	0.47981	0.37699	0.29621	0.75936	0.51358	-0.04254	0.77464	0.27226	0.13992	Age | Adolescent	Weighted	3	XGBClassifier	CDDD
242.27884	107.48427	150.44485	80.74721	0.55603	0.61692	0.42898	0.69269	0.52295	0.51444	0.50606	0.65261	0.56629	0.04388	0.73155	0.28961	0.16192	Age | Elderly	Weighted	3	XGBClassifier	CDDD
