TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
3001.19659	868.69454	608.77546	300.30632	0.69084	0.83136	0.25689	0.77552	0.54413	0.46214	0.3925	0.80247	0.6198	0.09666	0.83321	0.25144	0.09412	Total | Total	Weighted	0	XGBClassifier	MACCS
760.54525	252.92531	221.09831	111.43758	0.64783	0.77477	0.30584	0.75044	0.5403	0.48678	0.43856	0.76241	0.58765	0.08304	0.79077	0.26417	0.12029	Sex | Male	Weighted	0	XGBClassifier	MACCS
1315.02884	351.26224	202.21557	102.74301	0.71922	0.86672	0.2263	0.7892	0.54651	0.44288	0.3589	0.82614	0.64829	0.10831	0.85884	0.24151	0.07285	Sex | Unknown	Weighted	0	XGBClassifier	MACCS
925.6225	264.50699	185.46158	86.12573	0.69216	0.83308	0.24563	0.77775	0.53935	0.45236	0.3794	0.80446	0.60649	0.08641	0.82766	0.25151	0.10225	Sex | Female	Weighted	0	XGBClassifier	MACCS
1309.82555	319.56482	142.62552	83.3593	0.75089	0.9018	0.20689	0.80387	0.55434	0.43194	0.33656	0.85003	0.68493	0.13702	0.88233	0.23362	0.04955	Age | Unknown	Weighted	0	XGBClassifier	MACCS
801.03425	208.3776	175.92874	77.91622	0.69578	0.81992	0.27215	0.79357	0.54604	0.47238	0.40866	0.80653	0.60312	0.0962	0.82866	0.25454	0.11325	Age | Adult	Weighted	0	XGBClassifier	MACCS
149.49472	59.01764	30.22752	14.51018	0.6476	0.83181	0.19734	0.71696	0.51458	0.40516	0.319	0.77013	0.53742	0.0347	0.73182	0.24812	0.11062	Age | Children	Weighted	0	XGBClassifier	MACCS
207.95587	56.19464	55.35502	17.3621	0.66886	0.78977	0.23604	0.78726	0.5129	0.43176	0.36345	0.78852	0.52063	0.02592	0.79288	0.2473	0.16821	Age | Adolescent	Weighted	0	XGBClassifier	MACCS
532.8862	225.53984	204.63866	107.15852	0.59805	0.72253	0.32209	0.70262	0.52231	0.48241	0.44556	0.71244	0.54836	0.04545	0.72534	0.27636	0.14165	Age | Elderly	Weighted	0	XGBClassifier	MACCS
381.121	176.97517	194.67206	90.89902	0.55949	0.66191	0.33933	0.68289	0.50062	0.47393	0.44866	0.67224	0.49989	0.00122	0.68194	0.26718	0.16327	Weight | Average	Weighted	0	XGBClassifier	MACCS
