Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 600 | max_depth: 6 | learning_rate: 0.06407988 | max_leaves: 1 | subsample: 0.5258849 | colsample_bytree: 0.8248456 | gamma: 2.272371 | reg_alpha: 4.949928 | reg_lambda: 3.191654	0.0	0	0	XGBClassifier	MACCS
n_estimators: 550 | max_depth: 4 | learning_rate: 0.0424272 | max_leaves: 9 | subsample: 0.8065692 | colsample_bytree: 0.7664647 | gamma: 4.466197 | reg_alpha: 0.9027671 | reg_lambda: 3.843601	0.21883	1	0	XGBClassifier	MACCS
n_estimators: 425 | max_depth: 9 | learning_rate: 0.01812315 | max_leaves: 2 | subsample: 0.5768224 | colsample_bytree: 0.6900822 | gamma: 2.332206 | reg_alpha: 3.227475 | reg_lambda: 1.164408	0.0024	2	0	XGBClassifier	MACCS
n_estimators: 175 | max_depth: 10 | learning_rate: 0.005106171 | max_leaves: 8 | subsample: 0.5578601 | colsample_bytree: 0.8715008 | gamma: 2.607202 | reg_alpha: 1.098065 | reg_lambda: 1.040569	0.0	3	0	XGBClassifier	MACCS
n_estimators: 175 | max_depth: 5 | learning_rate: 0.0655029 | max_leaves: 1 | subsample: 0.8613513 | colsample_bytree: 0.6955208 | gamma: 1.389025 | reg_alpha: 4.263646 | reg_lambda: 4.436016	0.0	4	0	XGBClassifier	MACCS
n_estimators: 500 | max_depth: 3 | learning_rate: 0.01233097 | max_leaves: 2 | subsample: 0.7877537 | colsample_bytree: 0.9276393 | gamma: 3.633535 | reg_alpha: 2.130021 | reg_lambda: 2.984392	0.0	5	0	XGBClassifier	MACCS
n_estimators: 800 | max_depth: 8 | learning_rate: 0.006629942 | max_leaves: 3 | subsample: 0.7804688 | colsample_bytree: 0.9105262 | gamma: 4.10428 | reg_alpha: 1.008873 | reg_lambda: 2.740124	0.01473	6	0	XGBClassifier	MACCS
n_estimators: 875 | max_depth: 6 | learning_rate: 0.01146136 | max_leaves: 4 | subsample: 0.8017702 | colsample_bytree: 0.5137005 | gamma: 1.888914 | reg_alpha: 3.165342 | reg_lambda: 2.108425	0.1437	7	0	XGBClassifier	MACCS
n_estimators: 675 | max_depth: 12 | learning_rate: 0.08288518 | max_leaves: 5 | subsample: 0.5960358 | colsample_bytree: 0.6693489 | gamma: 1.77366 | reg_alpha: 4.473188 | reg_lambda: 2.153685	0.31454	8	0	XGBClassifier	MACCS
n_estimators: 275 | max_depth: 8 | learning_rate: 0.05574179 | max_leaves: 4 | subsample: 0.9445254 | colsample_bytree: 0.8724331 | gamma: 2.648039 | reg_alpha: 0.7622847 | reg_lambda: 2.761519	0.24478	9	0	XGBClassifier	MACCS
n_estimators: 1000 | max_depth: 12 | learning_rate: 0.03223716 | max_leaves: 12 | subsample: 0.66001 | colsample_bytree: 0.5569307 | gamma: 0.03844217 | reg_alpha: 4.162116 | reg_lambda: 0.2160695	0.39808	10	0	XGBClassifier	MACCS
n_estimators: 1000 | max_depth: 12 | learning_rate: 0.03049099 | max_leaves: 12 | subsample: 0.6518093 | colsample_bytree: 0.5468229 | gamma: 0.188036 | reg_alpha: 4.206256 | reg_lambda: 0.2038386	0.39138	11	0	XGBClassifier	MACCS
n_estimators: 1000 | max_depth: 12 | learning_rate: 0.03171088 | max_leaves: 12 | subsample: 0.6705476 | colsample_bytree: 0.5090114 | gamma: 0.00604891 | reg_alpha: 3.811056 | reg_lambda: 0.1776322	0.39335	12	0	XGBClassifier	MACCS
n_estimators: 1000 | max_depth: 11 | learning_rate: 0.02134152 | max_leaves: 12 | subsample: 0.675742 | colsample_bytree: 0.5876945 | gamma: 0.01572285 | reg_alpha: 3.196644 | reg_lambda: 0.005597315	0.36951	13	0	XGBClassifier	MACCS
