TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
1602.57119	1028.70046	953.68467	968.41442	0.56463	0.62692	0.48491	0.60905	0.55591	0.55136	0.54684	0.61786	0.58152	0.11235	0.627	0.24639	0.0449	Total | Total	Weighted	0	LogisticRegression	ChemBERTa
495.9157	318.14169	292.68576	291.25145	0.56307	0.62885	0.47794	0.60919	0.5534	0.54823	0.54311	0.61887	0.58128	0.10738	0.62757	0.24702	0.04682	Sex | Female	Weighted	0	LogisticRegression	ChemBERTa
474.08859	332.4753	263.62956	287.06435	0.5608	0.64264	0.46335	0.58779	0.553	0.54568	0.53846	0.61399	0.57474	0.10752	0.60984	0.24657	0.02695	Sex | Male	Weighted	0	LogisticRegression	ChemBERTa
632.5669	378.08347	397.36935	390.09862	0.56874	0.61418	0.50782	0.6259	0.561	0.55847	0.55596	0.61999	0.58815	0.12164	0.64114	0.24574	0.06046	Sex | Unknown	Weighted	0	LogisticRegression	ChemBERTa
597.5629	319.05085	354.73662	361.8222	0.58744	0.62749	0.53141	0.65192	0.57945	0.57746	0.57547	0.63948	0.6167	0.15788	0.68325	0.24133	0.06828	Age | Unknown	Weighted	0	LogisticRegression	ChemBERTa
122.63153	80.21098	59.16908	50.32331	0.55375	0.67454	0.38552	0.60457	0.53003	0.50995	0.49063	0.63764	0.53426	0.06208	0.59293	0.24719	0.08877	Age | Adolescent	Weighted	0	LogisticRegression	ChemBERTa
334.27998	284.47915	245.38364	288.99581	0.5405	0.57668	0.50394	0.54024	0.54031	0.53908	0.53786	0.55787	0.55651	0.08083	0.54723	0.25357	0.03629	Age | Elderly	Weighted	0	LogisticRegression	ChemBERTa
467.71568	268.56848	246.62116	212.50755	0.56903	0.65476	0.44173	0.63524	0.54824	0.5378	0.52755	0.64485	0.56835	0.09728	0.65293	0.24719	0.07541	Age | Adult	Weighted	0	LogisticRegression	ChemBERTa
80.3811	76.391	47.77417	54.76555	0.52117	0.62722	0.41756	0.51273	0.52239	0.51176	0.50135	0.56422	0.56823	0.04578	0.56606	0.24322	0.06628	Age | Children	Weighted	0	LogisticRegression	ChemBERTa
1151.22875	626.91815	173.45527	80.02107	0.60604	0.86906	0.11319	0.64743	0.49113	0.31364	0.2003	0.74205	0.48209	-0.02558	0.65383	0.23059	0.07499	Weight | Unknown	Weighted	0	LogisticRegression	ChemBERTa
136.00575	113.55863	243.92833	295.62955	0.54698	0.35797	0.72248	0.54497	0.54023	0.50855	0.47874	0.43211	0.561	0.08644	0.55637	0.25875	0.0324	Weight | High	Weighted	0	LogisticRegression	ChemBERTa
129.91229	102.9941	275.76904	328.05278	0.54733	0.32023	0.76106	0.55779	0.54065	0.49368	0.45079	0.40687	0.56367	0.09065	0.55991	0.25842	0.03425	Weight | Low	Weighted	0	LogisticRegression	ChemBERTa
185.4244	185.22958	260.53203	264.71102	0.50244	0.41579	0.58832	0.50026	0.50206	0.49459	0.48723	0.45413	0.5362	0.00418	0.55376	0.25478	0.06868	Weight | Average	Weighted	0	LogisticRegression	ChemBERTa
5094.0	2472.0	3540.0	2241.0	0.54956	0.58999	0.47549	0.67328	0.53274	0.52966	0.52659	0.62889	0.54511	0.06316	0.67758	0.24639	0.12869	Total | Total	Unweighted	0	LogisticRegression	ChemBERTa
1581.0	747.0	1136.0	683.0	0.54594	0.58189	0.47762	0.67912	0.52976	0.52719	0.52463	0.62676	0.54157	0.05701	0.67674	0.24702	0.13994	Sex | Female	Unweighted	0	LogisticRegression	ChemBERTa
1504.0	804.0	1015.0	696.0	0.5474	0.59706	0.464	0.65165	0.53053	0.52634	0.52219	0.62316	0.54336	0.05973	0.6648	0.24657	0.10562	Sex | Male	Unweighted	0	LogisticRegression	ChemBERTa
2009.0	921.0	1389.0	862.0	0.55414	0.59123	0.48345	0.68567	0.53734	0.53463	0.53194	0.63496	0.55006	0.07158	0.68928	0.24574	0.13976	Sex | Unknown	Unweighted	0	LogisticRegression	ChemBERTa
