Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: saga:elasticnet | C: 0.6342704 | l1_ratio: 0.8651398	0.50613	0	0	LogisticRegression	Klek
solver_penalty: sag:None | C: 0.3101443	0.49292	1	0	LogisticRegression	Klek
solver_penalty: saga:l1 | C: 0.001626579	0.0	2	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:l2 | C: 6.428299	0.49498	3	0	LogisticRegression	Klek
solver_penalty: saga:None | C: 0.005121583	0.4902	4	0	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 0.001211456	0.52781	5	0	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 2.116031	0.4998	6	0	LogisticRegression	Klek
solver_penalty: saga:None | C: 3.304536	0.49316	7	0	LogisticRegression	Klek
solver_penalty: sag:l2 | C: 0.7652917	0.50807	8	0	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 0.02466541	0.49408	9	0	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 0.03426469	0.53414	10	0	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 0.02473674	0.5352	11	0	LogisticRegression	Klek
solver_penalty: newton-cg:l2 | C: 0.045427	0.53202	12	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.01360259	0.48652	13	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 0.123569	0.53742	14	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 0.1326392	0.53621	15	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 0.1152032	0.539	16	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 0.1636952	0.5301	17	0	LogisticRegression	Klek
solver_penalty: saga:l2 | C: 0.07807272	0.52629	18	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.007174798	0.54084	19	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.006430863	0.53964	20	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.00579688	0.5393	21	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.005281652	0.54048	22	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.007065311	0.54077	23	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.002766381	0.53735	24	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.01116641	0.53728	25	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.002855499	0.53632	26	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.01618932	0.5377	27	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.002921811	0.48826	28	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.008297528 | l1_ratio: 0.1167883	0.54918	29	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.04709239 | l1_ratio: 0.06194757	0.53521	30	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.007378808 | l1_ratio: 0.06758191	0.54563	31	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.008826393 | l1_ratio: 0.02032378	0.5422	32	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.00182657 | l1_ratio: 0.01063441	0.53472	33	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.01302863 | l1_ratio: 0.1088464	0.54751	34	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.01211345 | l1_ratio: 0.09565497	0.54487	35	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.01853204 | l1_ratio: 0.2528623	0.54932	36	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.01969215 | l1_ratio: 0.3332909	0.55113	37	0	LogisticRegression	Klek
solver_penalty: sag:None | C: 0.02189175	0.50108	38	0	LogisticRegression	Klek
solver_penalty: saga:l1 | C: 0.4131833	0.51346	39	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.0617163 | l1_ratio: 0.3408421	0.5379	40	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.01905507 | l1_ratio: 0.3008812	0.55	41	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:l2 | C: 0.01955992	0.53795	42	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.03953066 | l1_ratio: 0.3452567	0.54508	43	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.02941481 | l1_ratio: 0.3014897	0.54654	44	0	LogisticRegression	Klek
solver_penalty: sag:l2 | C: 0.004263293	0.54052	45	0	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 0.0152211	0.48423	46	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.001014317 | l1_ratio: 0.249418	0.0	47	0	LogisticRegression	Klek
solver_penalty: saga:None | C: 0.06560639	0.49678	48	0	LogisticRegression	Klek
solver_penalty: newton-cg:l2 | C: 0.01108814	0.54036	49	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.004190695 | l1_ratio: 0.2116138	0.55084	50	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 9.840964 | l1_ratio: 0.2132293	0.50056	51	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.004126115 | l1_ratio: 0.5288471	0.3786	52	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.00174524	0.50152	53	0	LogisticRegression	Klek
