Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 125 | max_depth: 7 | learning_rate: 0.04692375 | max_leaves: 7 | subsample: 0.64853 | colsample_bytree: 0.6154064 | gamma: 1.038187 | reg_alpha: 1.420011 | reg_lambda: 3.865799	0.51088	0	0	XGBClassifier	ChemBERTa
n_estimators: 200 | max_depth: 3 | learning_rate: 0.03642163 | max_leaves: 5 | subsample: 0.6814078 | colsample_bytree: 0.8268808 | gamma: 3.792265 | reg_alpha: 1.349031 | reg_lambda: 1.861794	0.51504	1	0	XGBClassifier	ChemBERTa
n_estimators: 550 | max_depth: 9 | learning_rate: 0.05448065 | max_leaves: 0 | subsample: 0.5701102 | colsample_bytree: 0.6958021 | gamma: 4.347663 | reg_alpha: 2.161009 | reg_lambda: 1.501476	0.52136	2	0	XGBClassifier	ChemBERTa
n_estimators: 550 | max_depth: 7 | learning_rate: 0.0254478 | max_leaves: 5 | subsample: 0.552579 | colsample_bytree: 0.6389272 | gamma: 1.448533 | reg_alpha: 3.590542 | reg_lambda: 3.703078	0.52169	3	0	XGBClassifier	ChemBERTa
n_estimators: 850 | max_depth: 9 | learning_rate: 0.007196107 | max_leaves: 12 | subsample: 0.7264386 | colsample_bytree: 0.6284491 | gamma: 4.633963 | reg_alpha: 2.847659 | reg_lambda: 1.102766	0.51898	4	0	XGBClassifier	ChemBERTa
n_estimators: 725 | max_depth: 9 | learning_rate: 0.005423859 | max_leaves: 10 | subsample: 0.5034979 | colsample_bytree: 0.6546502 | gamma: 2.375721 | reg_alpha: 1.533936 | reg_lambda: 1.092986	0.5163	5	0	XGBClassifier	ChemBERTa
n_estimators: 100 | max_depth: 11 | learning_rate: 0.07117177 | max_leaves: 11 | subsample: 0.7895625 | colsample_bytree: 0.6414958 | gamma: 1.204148 | reg_alpha: 4.90679 | reg_lambda: 3.847194	0.51328	6	0	XGBClassifier	ChemBERTa
n_estimators: 775 | max_depth: 10 | learning_rate: 0.02231713 | max_leaves: 0 | subsample: 0.8677928 | colsample_bytree: 0.5877641 | gamma: 3.445602 | reg_alpha: 4.71195 | reg_lambda: 0.5579813	0.52186	7	0	XGBClassifier	ChemBERTa
n_estimators: 200 | max_depth: 7 | learning_rate: 0.007210896 | max_leaves: 6 | subsample: 0.6087278 | colsample_bytree: 0.6514327 | gamma: 2.949166 | reg_alpha: 0.4007869 | reg_lambda: 0.05643927	0.50585	8	0	XGBClassifier	ChemBERTa
n_estimators: 925 | max_depth: 4 | learning_rate: 0.02150885 | max_leaves: 6 | subsample: 0.5521374 | colsample_bytree: 0.6835487 | gamma: 4.928629 | reg_alpha: 4.12862 | reg_lambda: 1.900404	0.52446	9	0	XGBClassifier	ChemBERTa
n_estimators: 975 | max_depth: 2 | learning_rate: 0.01408559 | max_leaves: 3 | subsample: 0.9469823 | colsample_bytree: 0.9417817 | gamma: 0.1207136 | reg_alpha: 3.862681 | reg_lambda: 2.730891	0.51667	10	0	XGBClassifier	ChemBERTa
n_estimators: 750 | max_depth: 4 | learning_rate: 0.01508653 | max_leaves: 1 | subsample: 0.8788297 | colsample_bytree: 0.5012276 | gamma: 3.530191 | reg_alpha: 4.941496 | reg_lambda: 0.003593563	0.0	11	0	XGBClassifier	ChemBERTa
n_estimators: 1000 | max_depth: 12 | learning_rate: 0.01878343 | max_leaves: 8 | subsample: 0.8236528 | colsample_bytree: 0.5199558 | gamma: 4.635883 | reg_alpha: 4.100977 | reg_lambda: 2.564783	0.51735	12	0	XGBClassifier	ChemBERTa
n_estimators: 700 | max_depth: 4 | learning_rate: 0.02843656 | max_leaves: 3 | subsample: 0.9873507 | colsample_bytree: 0.7642697 | gamma: 2.59091 | reg_alpha: 3.128586 | reg_lambda: 0.7688647	0.51216	13	0	XGBClassifier	ChemBERTa
n_estimators: 425 | max_depth: 5 | learning_rate: 0.01106178 | max_leaves: 2 | subsample: 0.8768784 | colsample_bytree: 0.7728712 | gamma: 3.757719 | reg_alpha: 4.436597 | reg_lambda: 2.073808	0.51314	14	0	XGBClassifier	ChemBERTa
n_estimators: 875 | max_depth: 10 | learning_rate: 0.02174598 | max_leaves: 9 | subsample: 0.7350384 | colsample_bytree: 0.5628614 | gamma: 3.151964 | reg_alpha: 3.296459 | reg_lambda: 3.149844	0.5169	15	0	XGBClassifier	ChemBERTa
n_estimators: 875 | max_depth: 6 | learning_rate: 0.03523079 | max_leaves: 4 | subsample: 0.871573 | colsample_bytree: 0.8687445 | gamma: 1.998859 | reg_alpha: 4.394288 | reg_lambda: 0.5999837	0.51608	16	0	XGBClassifier	ChemBERTa
n_estimators: 675 | max_depth: 2 | learning_rate: 0.09850299 | max_leaves: 0 | subsample: 0.791392 | colsample_bytree: 0.726078 | gamma: 4.871439 | reg_alpha: 2.361237 | reg_lambda: 1.712338	0.5242	17	0	XGBClassifier	ChemBERTa
n_estimators: 400 | max_depth: 2 | learning_rate: 0.09608543 | max_leaves: 7 | subsample: 0.6918675 | colsample_bytree: 0.7131075 | gamma: 4.986982 | reg_alpha: 2.053825 | reg_lambda: 2.090991	0.52062	18	0	XGBClassifier	ChemBERTa
n_estimators: 625 | max_depth: 4 | learning_rate: 0.07791587 | max_leaves: 2 | subsample: 0.787737 | colsample_bytree: 0.8135329 | gamma: 4.074076 | reg_alpha: 2.731947 | reg_lambda: 4.760518	0.51544	19	0	XGBClassifier	ChemBERTa
n_estimators: 400 | max_depth: 3 | learning_rate: 0.01066468 | max_leaves: 9 | subsample: 0.5052854 | colsample_bytree: 0.7181378 | gamma: 4.951119 | reg_alpha: 0.1327734 | reg_lambda: 1.541168	0.51898	20	0	XGBClassifier	ChemBERTa
n_estimators: 800 | max_depth: 5 | learning_rate: 0.01795789 | max_leaves: 0 | subsample: 0.8244136 | colsample_bytree: 0.5766045 | gamma: 4.122371 | reg_alpha: 2.276257 | reg_lambda: 0.4255181	0.51615	21	0	XGBClassifier	ChemBERTa
n_estimators: 925 | max_depth: 2 | learning_rate: 0.03326154 | max_leaves: 1 | subsample: 0.9411132 | colsample_bytree: 0.5641978 | gamma: 3.30687 | reg_alpha: 4.455702 | reg_lambda: 1.313389	0.0	22	0	XGBClassifier	ChemBERTa
n_estimators: 625 | max_depth: 8 | learning_rate: 0.04711647 | max_leaves: 0 | subsample: 0.7866935 | colsample_bytree: 0.6992261 | gamma: 4.410054 | reg_alpha: 3.627491 | reg_lambda: 1.870158	0.51902	23	0	XGBClassifier	ChemBERTa
n_estimators: 775 | max_depth: 3 | learning_rate: 0.01226199 | max_leaves: 2 | subsample: 0.8549778 | colsample_bytree: 0.7450459 | gamma: 4.956156 | reg_alpha: 0.8505025 | reg_lambda: 3.114466	0.52183	24	0	XGBClassifier	ChemBERTa
n_estimators: 650 | max_depth: 11 | learning_rate: 0.02396638 | max_leaves: 4 | subsample: 0.9042166 | colsample_bytree: 0.5932643 | gamma: 3.969804 | reg_alpha: 1.77459 | reg_lambda: 0.8596615	0.51268	25	0	XGBClassifier	ChemBERTa
n_estimators: 925 | max_depth: 5 | learning_rate: 0.0183964 | max_leaves: 1 | subsample: 0.6333484 | colsample_bytree: 0.6803423 | gamma: 2.821007 | reg_alpha: 2.609494 | reg_lambda: 0.39007	0.0	26	0	XGBClassifier	ChemBERTa
n_estimators: 525 | max_depth: 6 | learning_rate: 0.02922908 | max_leaves: 3 | subsample: 0.7621005 | colsample_bytree: 0.9995072 | gamma: 3.5602 | reg_alpha: 3.199695 | reg_lambda: 2.331609	0.51549	27	0	XGBClassifier	ChemBERTa
n_estimators: 825 | max_depth: 3 | learning_rate: 0.04511098 | max_leaves: 0 | subsample: 0.8288197 | colsample_bytree: 0.8145867 | gamma: 4.436909 | reg_alpha: 4.030919 | reg_lambda: 1.752064	0.51397	28	0	XGBClassifier	ChemBERTa
n_estimators: 675 | max_depth: 8 | learning_rate: 0.06099359 | max_leaves: 6 | subsample: 0.6877397 | colsample_bytree: 0.6036903 | gamma: 1.962878 | reg_alpha: 4.594303 | reg_lambda: 3.206564	0.52427	29	0	XGBClassifier	ChemBERTa
n_estimators: 325 | max_depth: 7 | learning_rate: 0.09438438 | max_leaves: 7 | subsample: 0.675656 | colsample_bytree: 0.7463651 | gamma: 1.858266 | reg_alpha: 3.51757 | reg_lambda: 4.277149	0.52195	30	0	XGBClassifier	ChemBERTa
n_estimators: 300 | max_depth: 7 | learning_rate: 0.09236343 | max_leaves: 7 | subsample: 0.6834359 | colsample_bytree: 0.7387508 | gamma: 1.872928 | reg_alpha: 3.708901 | reg_lambda: 4.594662	0.51914	31	0	XGBClassifier	ChemBERTa
n_estimators: 450 | max_depth: 8 | learning_rate: 0.06383275 | max_leaves: 6 | subsample: 0.6342015 | colsample_bytree: 0.7814139 | gamma: 1.902928 | reg_alpha: 4.174272 | reg_lambda: 4.316198	0.52255	32	0	XGBClassifier	ChemBERTa
n_estimators: 500 | max_depth: 8 | learning_rate: 0.06007924 | max_leaves: 6 | subsample: 0.6037239 | colsample_bytree: 0.8559656 | gamma: 0.3910277 | reg_alpha: 4.179672 | reg_lambda: 3.207844	0.52302	33	0	XGBClassifier	ChemBERTa
n_estimators: 525 | max_depth: 8 | learning_rate: 0.05948574 | max_leaves: 5 | subsample: 0.5582375 | colsample_bytree: 0.8637827 | gamma: 0.3990269 | reg_alpha: 4.649863 | reg_lambda: 3.316756	0.5194	34	0	XGBClassifier	ChemBERTa
n_estimators: 675 | max_depth: 6 | learning_rate: 0.04288016 | max_leaves: 8 | subsample: 0.5899102 | colsample_bytree: 0.881777 | gamma: 0.8724282 | reg_alpha: 2.985547 | reg_lambda: 2.832476	0.52049	35	0	XGBClassifier	ChemBERTa
n_estimators: 600 | max_depth: 9 | learning_rate: 0.07997664 | max_leaves: 4 | subsample: 0.5389254 | colsample_bytree: 0.6731618 | gamma: 0.724953 | reg_alpha: 1.103778 | reg_lambda: 3.402147	0.51587	36	0	XGBClassifier	ChemBERTa
n_estimators: 475 | max_depth: 8 | learning_rate: 0.05497848 | max_leaves: 5 | subsample: 0.7137357 | colsample_bytree: 0.6121773 | gamma: 1.369362 | reg_alpha: 4.264655 | reg_lambda: 3.591566	0.51754	37	0	XGBClassifier	ChemBERTa
n_estimators: 575 | max_depth: 9 | learning_rate: 0.07101857 | max_leaves: 12 | subsample: 0.6562297 | colsample_bytree: 0.9102728 | gamma: 1.525153 | reg_alpha: 2.348084 | reg_lambda: 2.279228	0.50548	38	0	XGBClassifier	ChemBERTa
n_estimators: 325 | max_depth: 10 | learning_rate: 0.04967323 | max_leaves: 6 | subsample: 0.6011576 | colsample_bytree: 0.8347463 | gamma: 2.381017 | reg_alpha: 3.89938 | reg_lambda: 2.868437	0.52483	39	0	XGBClassifier	ChemBERTa
n_estimators: 200 | max_depth: 10 | learning_rate: 0.03980751 | max_leaves: 8 | subsample: 0.5381934 | colsample_bytree: 0.7947316 | gamma: 2.45953 | reg_alpha: 1.867156 | reg_lambda: 2.655293	0.51493	40	0	XGBClassifier	ChemBERTa
n_estimators: 275 | max_depth: 11 | learning_rate: 0.05116617 | max_leaves: 6 | subsample: 0.5985058 | colsample_bytree: 0.8336824 | gamma: 2.200546 | reg_alpha: 4.691667 | reg_lambda: 3.14613	0.51894	41	0	XGBClassifier	ChemBERTa
n_estimators: 350 | max_depth: 8 | learning_rate: 0.06339118 | max_leaves: 5 | subsample: 0.5851737 | colsample_bytree: 0.9275292 | gamma: 0.1684052 | reg_alpha: 3.904949 | reg_lambda: 2.8291	0.51414	42	0	XGBClassifier	ChemBERTa
n_estimators: 250 | max_depth: 12 | learning_rate: 0.07211782 | max_leaves: 7 | subsample: 0.6335507 | colsample_bytree: 0.8381872 | gamma: 1.601156 | reg_alpha: 4.975634 | reg_lambda: 4.00623	0.52023	43	0	XGBClassifier	ChemBERTa
