TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
1597.91929	940.97723	958.33657	1056.13765	0.58288	0.6251	0.52883	0.62938	0.57697	0.57496	0.57295	0.62723	0.621	0.15379	0.6603	0.24279	0.04228	Total | Total	Weighted	0	XGBClassifier	MACCS
496.84016	295.45686	291.7613	313.93628	0.57996	0.63003	0.51516	0.62709	0.57259	0.56971	0.56683	0.62855	0.61329	0.14529	0.65599	0.24399	0.04231	Sex | Female	Weighted	0	XGBClassifier	MACCS
625.96833	332.95299	403.96792	435.2291	0.59017	0.60777	0.56657	0.65278	0.58717	0.58681	0.58645	0.62948	0.63543	0.17287	0.686	0.24054	0.0592	Sex | Unknown	Weighted	0	XGBClassifier	MACCS
475.1108	312.56738	262.60735	306.97227	0.57622	0.64403	0.49548	0.60318	0.56976	0.56489	0.56007	0.62293	0.61241	0.14081	0.6346	0.24444	0.0217	Sex | Male	Weighted	0	XGBClassifier	MACCS
583.7964	261.84383	368.50312	419.02922	0.61404	0.61304	0.61543	0.69036	0.61423	0.61423	0.61423	0.64941	0.66686	0.22543	0.71853	0.23505	0.06964	Age | Unknown	Weighted	0	XGBClassifier	MACCS
465.21665	239.89238	249.12019	241.18365	0.59093	0.65126	0.50134	0.65978	0.5763	0.5714	0.56655	0.65549	0.6153	0.15214	0.67408	0.24399	0.06725	Age | Adult	Weighted	0	XGBClassifier	MACCS
83.90124	81.91145	44.25403	49.2451	0.51346	0.65468	0.37547	0.506	0.51508	0.4958	0.47724	0.57082	0.55394	0.0314	0.57231	0.2439	0.06498	Age | Children	Weighted	0	XGBClassifier	MACCS
346.69039	283.84495	232.97323	289.63001	0.55182	0.59809	0.50504	0.54983	0.55157	0.5496	0.54764	0.57295	0.5765	0.10359	0.56373	0.2513	0.01705	Age | Elderly	Weighted	0	XGBClassifier	MACCS
118.31461	73.48462	63.486	57.04967	0.56146	0.65079	0.43705	0.61687	0.54392	0.53332	0.52292	0.63338	0.58993	0.089	0.66699	0.24524	0.06575	Age | Adolescent	Weighted	0	XGBClassifier	MACCS
82.94237	64.08738	322.73896	366.9595	0.53769	0.20445	0.85132	0.56412	0.52789	0.4172	0.32972	0.30013	0.59174	0.07324	0.555	0.25962	0.04263	Weight | Low	Weighted	0	XGBClassifier	MACCS
1305.04136	686.79858	19.64266	20.14064	0.65228	0.98517	0.02849	0.65519	0.50683	0.16753	0.05538	0.78699	0.58253	0.04697	0.70399	0.21983	0.05915	Weight | Unknown	Weighted	0	XGBClassifier	MACCS
142.68263	121.479	303.2738	328.4616	0.52589	0.31995	0.73001	0.54013	0.52498	0.48329	0.4449	0.40186	0.5733	0.05478	0.55341	0.25622	0.02533	Weight | Average	Weighted	0	XGBClassifier	MACCS
67.25293	68.61227	312.68115	340.57591	0.51681	0.17701	0.83232	0.495	0.50467	0.38384	0.29194	0.26077	0.55845	0.01235	0.53446	0.26004	0.03673	Weight | High	Weighted	0	XGBClassifier	MACCS
4904.0	2250.0	3730.0	2463.0	0.55196	0.56799	0.5226	0.68549	0.54529	0.54482	0.54435	0.62123	0.5733	0.08681	0.69838	0.24279	0.13108	Total | Total	Unweighted	0	XGBClassifier	MACCS
1524.0	688.0	1193.0	742.0	0.54642	0.56091	0.51888	0.68897	0.5399	0.53949	0.53908	0.61838	0.56317	0.07602	0.69999	0.24399	0.13994	Sex | Female	Unweighted	0	XGBClassifier	MACCS
1948.0	814.0	1450.0	969.0	0.56302	0.57328	0.54347	0.70529	0.55837	0.55817	0.55797	0.63247	0.59134	0.11117	0.71919	0.24054	0.14056	Sex | Unknown	Unweighted	0	XGBClassifier	MACCS
1432.0	748.0	1087.0	752.0	0.54342	0.56848	0.50133	0.65688	0.53491	0.53385	0.5328	0.60949	0.56183	0.06778	0.67112	0.24444	0.11019	Sex | Male	Unweighted	0	XGBClassifier	MACCS
