Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: saga:l2 | C: 0.5952464	0.37118	0	0	LogisticRegression	MACCS
solver_penalty: lbfgs:l2 | C: 0.001518481	0.02489	1	0	LogisticRegression	MACCS
solver_penalty: liblinear:l1 | C: 0.08161186	0.25837	2	0	LogisticRegression	MACCS
solver_penalty: lbfgs:l2 | C: 6.313231	0.38174	3	0	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 0.123621	0.28788	4	0	LogisticRegression	MACCS
solver_penalty: sag:l2 | C: 0.002662325	0.08965	5	0	LogisticRegression	MACCS
solver_penalty: saga:l2 | C: 0.5488764	0.36531	6	0	LogisticRegression	MACCS
solver_penalty: saga:l1 | C: 0.001751593	0.0	7	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:l2 | C: 0.7197439	0.36654	8	0	LogisticRegression	MACCS
solver_penalty: sag:None | C: 3.684759	0.37686	9	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 7.182287	0.38356	10	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 7.416895	0.38092	11	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 9.893716	0.38214	12	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 1.880928	0.37702	13	0	LogisticRegression	MACCS
solver_penalty: liblinear:l2 | C: 0.01673408	0.26519	14	0	LogisticRegression	MACCS
solver_penalty: newton-cg:l2 | C: 2.483282	0.37649	15	0	LogisticRegression	MACCS
solver_penalty: saga:elasticnet | C: 0.1392151 | l1_ratio: 0.3433509	0.32461	16	0	LogisticRegression	MACCS
solver_penalty: newton-cg:None | C: 8.508604	0.37802	17	0	LogisticRegression	MACCS
solver_penalty: saga:None | C: 1.160001	0.37997	18	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.2460197	0.37996	19	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.01522645	0.3819	20	0	LogisticRegression	MACCS
solver_penalty: newton-cholesky:None | C: 0.02002194	0.38145	21	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.008226827	0.38306	22	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.005544241	0.38307	23	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.00485822	0.38164	24	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.00653591	0.38081	25	0	LogisticRegression	MACCS
solver_penalty: lbfgs:None | C: 0.05026515	0.37696	26	0	LogisticRegression	MACCS
