TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
1333.53335	1598.86853	744.54181	1049.46167	0.50419	0.64172	0.39627	0.45476	0.51899	0.50428	0.48998	0.5323	0.52855	0.03885	0.45892	0.2486	0.08008	Total | Total	Weighted	0	RandomForestClassifier	ChemBERTa
429.43495	495.64125	207.87815	307.34186	0.51155	0.67382	0.38275	0.46422	0.52829	0.50784	0.48819	0.54972	0.53519	0.05862	0.47075	0.24721	0.08057	Sex | Female	Weighted	0	RandomForestClassifier	ChemBERTa
387.0647	462.30988	207.80382	298.92522	0.50585	0.65067	0.39268	0.45571	0.52168	0.50548	0.48978	0.53601	0.53396	0.04447	0.46092	0.24786	0.08209	Sex | Male	Weighted	0	RandomForestClassifier	ChemBERTa
517.0337	640.9174	328.85984	443.19459	0.49753	0.61123	0.40881	0.44651	0.51002	0.49988	0.48993	0.51604	0.51929	0.02029	0.44956	0.25029	0.07907	Sex | Unknown	Weighted	0	RandomForestClassifier	ChemBERTa
375.67825	406.39237	188.74124	240.75092	0.50879	0.6656	0.37202	0.48036	0.51881	0.49761	0.47728	0.55801	0.52976	0.03923	0.49482	0.24665	0.058	Age | Adult	Weighted	0	RandomForestClassifier	ChemBERTa
85.89068	91.82846	32.40086	39.91952	0.50316	0.72609	0.303	0.48329	0.51455	0.46905	0.42757	0.58032	0.46945	0.03204	0.44864	0.24359	0.06389	Age | Children	Weighted	0	RandomForestClassifier	ChemBERTa
488.16548	627.02626	287.01982	425.01646	0.49976	0.62974	0.40399	0.43774	0.51687	0.50439	0.49222	0.51647	0.52755	0.03419	0.44441	0.25038	0.0938	Age | Unknown	Weighted	0	RandomForestClassifier	ChemBERTa
116.17955	83.30509	44.60646	47.99419	0.56207	0.72257	0.36553	0.5824	0.54405	0.51393	0.48547	0.64496	0.51557	0.09419	0.56021	0.24108	0.03635	Age | Adolescent	Weighted	0	RandomForestClassifier	ChemBERTa
267.61939	390.31635	191.77343	295.78058	0.49184	0.58255	0.43111	0.40676	0.50683	0.50114	0.49552	0.47903	0.52707	0.01354	0.41373	0.25276	0.11025	Age | Elderly	Weighted	0	RandomForestClassifier	ChemBERTa
234.97974	267.09469	101.96249	152.63557	0.51226	0.69739	0.36365	0.46802	0.53052	0.50359	0.47803	0.56013	0.5469	0.0642	0.47769	0.24675	0.08012	Weight | High	Weighted	0	RandomForestClassifier	ChemBERTa
315.23243	318.06025	85.23365	145.45943	0.53322	0.78716	0.31382	0.49777	0.55049	0.49701	0.44873	0.60988	0.53887	0.11382	0.48417	0.24546	0.07534	Weight | Average	Weighted	0	RandomForestClassifier	ChemBERTa
254.56354	295.11805	111.55256	146.09276	0.49628	0.69531	0.33112	0.46311	0.51321	0.47982	0.4486	0.55594	0.53023	0.02822	0.47225	0.24718	0.07682	Weight | Low	Weighted	0	RandomForestClassifier	ChemBERTa
528.75764	718.59554	445.79311	605.27391	0.4934	0.54257	0.4572	0.4239	0.49988	0.49806	0.49624	0.47595	0.50489	-0.00023	0.42772	0.25173	0.08774	Weight | Unknown	Weighted	0	RandomForestClassifier	ChemBERTa
5216.0	3378.0	2703.0	2026.0	0.54357	0.65867	0.37491	0.60694	0.51679	0.49693	0.47784	0.63174	0.51664	0.03445	0.59986	0.2486	0.08018	Total | Total	Unweighted	0	RandomForestClassifier	ChemBERTa
1714.0	1044.0	792.0	591.0	0.55663	0.68396	0.36147	0.62146	0.52271	0.49722	0.47297	0.65122	0.51873	0.04708	0.61325	0.24721	0.08731	Sex | Female	Unweighted	0	RandomForestClassifier	ChemBERTa
1584.0	1038.0	778.0	611.0	0.54725	0.67062	0.37053	0.60412	0.52057	0.49848	0.47733	0.63563	0.52425	0.04255	0.60211	0.24786	0.07174	Sex | Male	Unweighted	0	RandomForestClassifier	ChemBERTa
1918.0	1296.0	1133.0	824.0	0.53026	0.62865	0.38868	0.59676	0.50866	0.49431	0.48036	0.61229	0.50831	0.01757	0.58764	0.25029	0.08103	Sex | Unknown	Unweighted	0	RandomForestClassifier	ChemBERTa
1489.0	882.0	680.0	493.0	0.55926	0.68649	0.35855	0.62801	0.52252	0.49612	0.47106	0.65595	0.52059	0.04664	0.62085	0.24665	0.09348	Age | Adult	Unweighted	0	RandomForestClassifier	ChemBERTa
523.0	253.0	178.0	108.0	0.59416	0.74608	0.29917	0.67397	0.52262	0.47244	0.42708	0.70819	0.48588	0.04831	0.64116	0.24359	0.13	Age | Children	Unweighted	0	RandomForestClassifier	ChemBERTa
1613.0	1178.0	932.0	751.0	0.52839	0.63379	0.38932	0.57793	0.51156	0.49674	0.48235	0.60457	0.51391	0.02363	0.57527	0.25038	0.05791	Age | Unknown	Unweighted	0	RandomForestClassifier	ChemBERTa
582.0	231.0	219.0	115.0	0.60767	0.72659	0.33237	0.71587	0.52948	0.49142	0.4561	0.72119	0.5051	0.05957	0.69057	0.24108	0.16602	Age | Adolescent	Unweighted	0	RandomForestClassifier	ChemBERTa
1009.0	834.0	694.0	559.0	0.50646	0.59248	0.40129	0.54748	0.49689	0.48761	0.4785	0.56909	0.50181	-0.00631	0.54668	0.25276	0.05418	Age | Elderly	Unweighted	0	RandomForestClassifier	ChemBERTa
990.0	623.0	436.0	336.0	0.55597	0.69425	0.35036	0.61376	0.52231	0.49319	0.4657	0.65153	0.52097	0.04675	0.61189	0.24675	0.0753	Weight | High	Unweighted	0	RandomForestClassifier	ChemBERTa
1315.0	750.0	392.0	300.0	0.58578	0.77036	0.28571	0.6368	0.52804	0.46915	0.41683	0.69724	0.50961	0.0628	0.61181	0.24546	0.0946	Weight | Average	Unweighted	0	RandomForestClassifier	ChemBERTa
1145.0	736.0	510.0	362.0	0.5474	0.69184	0.32969	0.60872	0.51077	0.47759	0.44657	0.64762	0.51643	0.02267	0.60596	0.24718	0.08263	Weight | Low	Unweighted	0	RandomForestClassifier	ChemBERTa
1766.0	1269.0	1365.0	1028.0	0.51474	0.56404	0.44754	0.58188	0.50579	0.50242	0.49908	0.57282	0.50468	0.01152	0.57854	0.25173	0.07394	Weight | Unknown	Unweighted	0	RandomForestClassifier	ChemBERTa
314.65477	492.32227	622.02383	1250.65331	0.58415	0.33593	0.71754	0.38992	0.52673	0.49096	0.45761	0.36091	0.52076	0.05557	0.37465	0.25417	0.13397	Total | Total	Weighted	1	RandomForestClassifier	ChemBERTa
90.39095	150.50426	188.68421	341.09864	0.55988	0.32389	0.69385	0.37523	0.50887	0.47406	0.44163	0.34768	0.48353	0.0184	0.36481	0.25813	0.13968	Sex | Male	Weighted	1	RandomForestClassifier	ChemBERTa
