TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
419.86381	554.13553	1658.21135	2094.19467	0.53192	0.20204	0.79076	0.43107	0.4964	0.39971	0.32185	0.27513	0.53072	-0.00883	0.45004	0.27157	0.06144	Total | Total	Weighted	0	RandomForestClassifier	Morgan
134.05496	170.7693	503.25814	632.21381	0.53202	0.21034	0.78733	0.43978	0.49884	0.40695	0.33199	0.28458	0.53746	-0.00283	0.45961	0.27232	0.06192	Sex | Female	Weighted	0	RandomForestClassifier	Morgan
155.83219	208.11609	690.06135	875.9959	0.53462	0.18422	0.80803	0.42817	0.49613	0.38582	0.30004	0.25761	0.52687	-0.00983	0.44617	0.27165	0.05945	Sex | Unknown	Weighted	0	RandomForestClassifier	Morgan
129.97666	175.25014	464.89186	585.98496	0.52795	0.2185	0.76978	0.42584	0.49414	0.41012	0.34038	0.28881	0.52889	-0.01393	0.4471	0.2707	0.06399	Sex | Male	Weighted	0	RandomForestClassifier	Morgan
20.74302	29.88647	97.54852	101.86151	0.49034	0.17536	0.77315	0.4097	0.47425	0.36821	0.28587	0.24559	0.58657	-0.06397	0.49964	0.2812	0.11186	Age | Children	Weighted	0	RandomForestClassifier	Morgan
84.84308	154.08396	374.54974	532.01297	0.53851	0.18469	0.77542	0.3551	0.48005	0.37843	0.29832	0.24299	0.50031	-0.04813	0.39594	0.26825	0.05944	Age | Elderly	Weighted	0	RandomForestClassifier	Morgan
152.36333	206.44555	622.82197	845.59717	0.54616	0.19655	0.80377	0.42464	0.50016	0.39747	0.31586	0.26872	0.51964	0.0004	0.43175	0.26901	0.04795	Age | Unknown	Weighted	0	RandomForestClassifier	Morgan
42.83874	16.17148	117.94727	115.1278	0.54082	0.26643	0.87683	0.72595	0.57163	0.48334	0.40868	0.3898	0.6844	0.1775	0.70536	0.27242	0.12457	Age | Adolescent	Weighted	0	RandomForestClassifier	Morgan
119.07564	147.54807	445.34385	499.59522	0.51064	0.21097	0.772	0.44661	0.49149	0.40357	0.33138	0.28657	0.52584	-0.0205	0.46464	0.27454	0.08008	Age | Adult	Weighted	0	RandomForestClassifier	Morgan
152.15426	229.28074	822.39649	1094.58871	0.54243	0.15613	0.82681	0.3989	0.49147	0.35929	0.26266	0.22442	0.51567	-0.02266	0.43727	0.26983	0.04845	Weight | Unknown	Weighted	0	RandomForestClassifier	Morgan
84.62031	110.76111	281.49579	330.4497	0.51413	0.23113	0.74896	0.4331	0.49005	0.41606	0.35325	0.30141	0.54656	-0.02314	0.4709	0.27335	0.08509	Weight | Low	Weighted	0	RandomForestClassifier	Morgan
76.51489	92.59789	260.42734	327.13237	0.53345	0.22709	0.77939	0.45245	0.50324	0.4207	0.3517	0.3024	0.54045	0.00772	0.45497	0.27308	0.06423	Weight | High	Weighted	0	RandomForestClassifier	Morgan
106.57435	121.49579	293.89173	342.02389	0.51922	0.26613	0.73788	0.46729	0.50201	0.44314	0.39117	0.33912	0.53107	0.00454	0.46615	0.27191	0.0716	Weight | Average	Weighted	0	RandomForestClassifier	Morgan
1758.0	1229.0	6161.0	4175.0	0.44532	0.222	0.77258	0.58855	0.49729	0.41414	0.34489	0.32239	0.52344	-0.00639	0.59897	0.27157	0.16861	Total | Total	Unweighted	0	RandomForestClassifier	Morgan
598.0	375.0	1908.0	1260.0	0.44868	0.23863	0.77064	0.61459	0.50463	0.42883	0.36441	0.34378	0.52585	0.01069	0.61361	0.27232	0.17393	Sex | Female	Unweighted	0	RandomForestClassifier	Morgan
616.0	443.0	2435.0	1677.0	0.44343	0.2019	0.79104	0.58168	0.49647	0.39964	0.32169	0.29976	0.52493	-0.00861	0.59599	0.27165	0.16761	Sex | Unknown	Unweighted	0	RandomForestClassifier	Morgan
544.0	411.0	1818.0	1238.0	0.44428	0.23031	0.75076	0.56963	0.49054	0.41582	0.35249	0.32801	0.51884	-0.02187	0.58861	0.2707	0.16459	Sex | Male	Unweighted	0	RandomForestClassifier	Morgan
137.0	104.0	564.0	257.0	0.371	0.19544	0.71191	0.56846	0.45367	0.373	0.30668	0.29087	0.53251	-0.10478	0.64736	0.2812	0.23407	Age | Children	Unweighted	0	RandomForestClassifier	Morgan
358.0	327.0	1345.0	1066.0	0.45995	0.21022	0.76525	0.52263	0.48774	0.40109	0.32983	0.29983	0.50294	-0.0294	0.54628	0.26825	0.13089	Age | Elderly	Unweighted	0	RandomForestClassifier	Morgan
541.0	397.0	2004.0	1532.0	0.46334	0.21257	0.79419	0.57676	0.50338	0.41088	0.33538	0.31065	0.52033	0.00823	0.57413	0.26901	0.14802	Age | Unknown	Unweighted	0	RandomForestClassifier	Morgan
224.0	61.0	577.0	285.0	0.44377	0.27965	0.8237	0.78596	0.55167	0.47995	0.41754	0.41252	0.60812	0.10977	0.77446	0.27242	0.25865	Age | Adolescent	Unweighted	0	RandomForestClassifier	Morgan
498.0	340.0	1671.0	1035.0	0.43256	0.2296	0.75273	0.59427	0.49116	0.41572	0.35187	0.33123	0.51547	-0.02027	0.60448	0.27454	0.18739	Age | Adult	Unweighted	0	RandomForestClassifier	Morgan
535.0	414.0	2596.0	1883.0	0.44547	0.17087	0.81976	0.56375	0.49532	0.37427	0.2828	0.26225	0.52117	-0.01218	0.58943	0.26983	0.15075	Weight | Unknown	Unweighted	0	RandomForestClassifier	Morgan
399.0	290.0	1256.0	808.0	0.43843	0.24109	0.73588	0.5791	0.48849	0.4212	0.36319	0.34044	0.52284	-0.02603	0.60643	0.27335	0.17909	Weight | Low	Unweighted	0	RandomForestClassifier	Morgan
342.0	234.0	1084.0	725.0	0.44738	0.23983	0.756	0.59375	0.49791	0.42581	0.36414	0.34166	0.52373	-0.00478	0.59336	0.27308	0.17485	Weight | High	Unweighted	0	RandomForestClassifier	Morgan
