Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 625 | criterion: entropy | max_depth: 5 | min_samples_leaf: 6 | min_samples_split: 2 | max_features: None | ccp_alpha: 0.00285061	0.12339	0	0	RandomForestClassifier	Morgan
n_estimators: 300 | criterion: entropy | max_depth: 8 | min_samples_leaf: 4 | min_samples_split: 4 | max_features: None | ccp_alpha: 7.254809e-05	0.21744	1	0	RandomForestClassifier	Morgan
n_estimators: 700 | criterion: gini | max_depth: 20 | min_samples_leaf: 4 | min_samples_split: 8 | max_features: log2 | ccp_alpha: 1.02637e-05	0.1252	2	0	RandomForestClassifier	Morgan
n_estimators: 325 | criterion: log_loss | max_depth: 17 | min_samples_leaf: 5 | min_samples_split: 4 | max_features: sqrt | ccp_alpha: 0.0006076818	0.10802	3	0	RandomForestClassifier	Morgan
n_estimators: 475 | criterion: entropy | max_depth: 8 | min_samples_leaf: 9 | min_samples_split: 5 | max_features: log2 | ccp_alpha: 0.01811963	0.0	4	0	RandomForestClassifier	Morgan
n_estimators: 925 | criterion: log_loss | max_depth: 6 | min_samples_leaf: 9 | min_samples_split: 5 | max_features: sqrt | ccp_alpha: 0.0003208543	0.00227	5	0	RandomForestClassifier	Morgan
n_estimators: 350 | criterion: gini | max_depth: 17 | min_samples_leaf: 7 | min_samples_split: 3 | max_features: sqrt | ccp_alpha: 0.0001011071	0.1546	6	0	RandomForestClassifier	Morgan
n_estimators: 575 | criterion: entropy | max_depth: 13 | min_samples_leaf: 3 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 0.0009719417	0.00789	7	0	RandomForestClassifier	Morgan
n_estimators: 600 | criterion: gini | max_depth: 12 | min_samples_leaf: 3 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 0.0001080467	0.01031	8	0	RandomForestClassifier	Morgan
n_estimators: 200 | criterion: gini | max_depth: 10 | min_samples_leaf: 3 | min_samples_split: 5 | max_features: None | ccp_alpha: 0.01214103	0.0	9	0	RandomForestClassifier	Morgan
