TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
901.92974	995.4668	1176.14542	1652.8634	0.54054	0.43402	0.62412	0.47535	0.52907	0.52046	0.51199	0.45375	0.54206	0.05887	0.48447	0.26771	0.09775	Total | Total	Weighted	0	XGBClassifier	MACCS
261.06719	290.8616	333.80133	470.3735	0.53937	0.43887	0.61791	0.47301	0.52839	0.52075	0.51322	0.4553	0.54003	0.05735	0.4773	0.26769	0.09952	Sex | Male	Weighted	0	XGBClassifier	MACCS
280.15161	325.88391	357.16149	477.0992	0.52576	0.43958	0.59416	0.46227	0.51687	0.51106	0.50531	0.45064	0.53925	0.03395	0.49079	0.26763	0.09922	Sex | Female	Weighted	0	XGBClassifier	MACCS
360.71094	378.72129	485.1826	705.3907	0.55238	0.42643	0.65066	0.48782	0.53854	0.52674	0.5152	0.45506	0.54503	0.07868	0.48614	0.2678	0.09567	Sex | Unknown	Weighted	0	XGBClassifier	MACCS
174.57724	237.10103	284.81558	448.9959	0.54437	0.38002	0.65442	0.42406	0.51722	0.49869	0.48082	0.40083	0.51625	0.03518	0.41662	0.27557	0.11821	Age | Elderly	Weighted	0	XGBClassifier	MACCS
118.92316	83.76734	41.86285	47.53194	0.56989	0.73964	0.36201	0.58672	0.55082	0.51745	0.4861	0.65437	0.62051	0.10972	0.6668	0.23415	0.08456	Age | Adolescent	Weighted	0	XGBClassifier	MACCS
87.15926	91.48604	31.13228	40.26194	0.5096	0.73682	0.3056	0.48789	0.52121	0.47452	0.43202	0.58706	0.5208	0.04689	0.49711	0.24179	0.12715	Age | Children	Weighted	0	XGBClassifier	MACCS
234.55806	225.85998	329.86143	421.28331	0.54132	0.41557	0.65099	0.50945	0.53328	0.52013	0.5073	0.45775	0.55185	0.06841	0.51022	0.27386	0.0809	Age | Adult	Weighted	0	XGBClassifier	MACCS
286.71202	357.25241	488.47328	694.79031	0.53715	0.36986	0.66042	0.44523	0.51514	0.49423	0.47417	0.40406	0.52578	0.03133	0.45758	0.27217	0.10067	Age | Unknown	Weighted	0	XGBClassifier	MACCS
137.03309	135.55715	199.90914	284.17311	0.55666	0.4067	0.67704	0.50271	0.54187	0.52474	0.50815	0.44963	0.54656	0.08669	0.48686	0.2699	0.08013	Weight | High	Weighted	0	XGBClassifier	MACCS
