Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 200 | max_depth: 6 | learning_rate: 0.01152184 | max_leaves: 7 | subsample: 0.5555424 | colsample_bytree: 0.7349177 | gamma: 1.183033 | reg_alpha: 4.496888 | reg_lambda: 4.901058	0.03351	0	0	XGBClassifier	MACCS
n_estimators: 225 | max_depth: 8 | learning_rate: 0.09147769 | max_leaves: 10 | subsample: 0.6448479 | colsample_bytree: 0.9679659 | gamma: 2.734565 | reg_alpha: 2.968806 | reg_lambda: 1.308759	0.31595	1	0	XGBClassifier	MACCS
n_estimators: 350 | max_depth: 6 | learning_rate: 0.02813197 | max_leaves: 11 | subsample: 0.6219154 | colsample_bytree: 0.7061677 | gamma: 2.533759 | reg_alpha: 3.570868 | reg_lambda: 4.454844	0.25135	2	0	XGBClassifier	MACCS
n_estimators: 525 | max_depth: 6 | learning_rate: 0.00659519 | max_leaves: 7 | subsample: 0.8591933 | colsample_bytree: 0.8847993 | gamma: 0.7936165 | reg_alpha: 4.16158 | reg_lambda: 1.932953	0.15249	3	0	XGBClassifier	MACCS
n_estimators: 550 | max_depth: 6 | learning_rate: 0.005023755 | max_leaves: 6 | subsample: 0.9958046 | colsample_bytree: 0.9731672 | gamma: 2.380801 | reg_alpha: 0.6549616 | reg_lambda: 3.015704	0.08446	4	0	XGBClassifier	MACCS
n_estimators: 100 | max_depth: 7 | learning_rate: 0.01085969 | max_leaves: 8 | subsample: 0.9330879 | colsample_bytree: 0.734791 | gamma: 1.001815 | reg_alpha: 2.79096 | reg_lambda: 0.8717249	0.00392	5	0	XGBClassifier	MACCS
n_estimators: 800 | max_depth: 8 | learning_rate: 0.03545116 | max_leaves: 7 | subsample: 0.8274295 | colsample_bytree: 0.9172411 | gamma: 0.1668107 | reg_alpha: 2.439596 | reg_lambda: 1.442143	0.39464	6	0	XGBClassifier	MACCS
n_estimators: 975 | max_depth: 5 | learning_rate: 0.01032599 | max_leaves: 12 | subsample: 0.5829926 | colsample_bytree: 0.8726248 | gamma: 3.388406 | reg_alpha: 4.53753 | reg_lambda: 1.950969	0.20348	7	0	XGBClassifier	MACCS
n_estimators: 575 | max_depth: 3 | learning_rate: 0.07296589 | max_leaves: 6 | subsample: 0.9202415 | colsample_bytree: 0.7831146 | gamma: 0.8349362 | reg_alpha: 1.568775 | reg_lambda: 0.8417519	0.3611	8	0	XGBClassifier	MACCS
n_estimators: 500 | max_depth: 9 | learning_rate: 0.01977269 | max_leaves: 6 | subsample: 0.5260105 | colsample_bytree: 0.9930553 | gamma: 0.9764242 | reg_alpha: 0.4979357 | reg_lambda: 3.59236	0.28741	9	0	XGBClassifier	MACCS
n_estimators: 875 | max_depth: 12 | learning_rate: 0.04247908 | max_leaves: 3 | subsample: 0.76256 | colsample_bytree: 0.5237341 | gamma: 4.321175 | reg_alpha: 1.825505 | reg_lambda: 2.768443	0.17115	10	0	XGBClassifier	MACCS
n_estimators: 750 | max_depth: 2 | learning_rate: 0.07767348 | max_leaves: 3 | subsample: 0.8317053 | colsample_bytree: 0.8372599 | gamma: 0.1468761 | reg_alpha: 1.710963 | reg_lambda: 0.07242254	0.32119	11	0	XGBClassifier	MACCS
n_estimators: 725 | max_depth: 2 | learning_rate: 0.04867078 | max_leaves: 0 | subsample: 0.8618608 | colsample_bytree: 0.6280215 | gamma: 0.2255876 | reg_alpha: 1.79861 | reg_lambda: 0.3277607	0.33254	12	0	XGBClassifier	MACCS
n_estimators: 725 | max_depth: 10 | learning_rate: 0.05124704 | max_leaves: 3 | subsample: 0.7330349 | colsample_bytree: 0.8111193 | gamma: 1.794167 | reg_alpha: 1.074846 | reg_lambda: 1.237193	0.29213	13	0	XGBClassifier	MACCS
n_estimators: 650 | max_depth: 4 | learning_rate: 0.02680257 | max_leaves: 5 | subsample: 0.9471559 | colsample_bytree: 0.6382938 | gamma: 0.1100615 | reg_alpha: 2.311224 | reg_lambda: 1.923914	0.31103	14	0	XGBClassifier	MACCS
n_estimators: 850 | max_depth: 4 | learning_rate: 0.07294038 | max_leaves: 9 | subsample: 0.7797106 | colsample_bytree: 0.9103101 | gamma: 1.656752 | reg_alpha: 1.127987 | reg_lambda: 0.7911447	0.3704	15	0	XGBClassifier	MACCS
n_estimators: 875 | max_depth: 11 | learning_rate: 0.03667523 | max_leaves: 9 | subsample: 0.737069 | colsample_bytree: 0.9149764 | gamma: 1.758954 | reg_alpha: 0.09610328 | reg_lambda: 1.483266	0.38091	16	0	XGBClassifier	MACCS
n_estimators: 1000 | max_depth: 12 | learning_rate: 0.01889986 | max_leaves: 9 | subsample: 0.6948399 | colsample_bytree: 0.9376967 | gamma: 4.995759 | reg_alpha: 0.1157935 | reg_lambda: 2.311186	0.2284	17	0	XGBClassifier	MACCS
n_estimators: 825 | max_depth: 10 | learning_rate: 0.03855933 | max_leaves: 10 | subsample: 0.8163438 | colsample_bytree: 0.8568968 | gamma: 3.505878 | reg_alpha: 3.55914 | reg_lambda: 1.666947	0.22541	18	0	XGBClassifier	MACCS
n_estimators: 900 | max_depth: 11 | learning_rate: 0.03107094 | max_leaves: 4 | subsample: 0.6900992 | colsample_bytree: 0.9246293 | gamma: 1.71504 | reg_alpha: 2.308818 | reg_lambda: 3.43581	0.29033	19	0	XGBClassifier	MACCS
n_estimators: 425 | max_depth: 8 | learning_rate: 0.01634837 | max_leaves: 0 | subsample: 0.7290641 | colsample_bytree: 0.7867859 | gamma: 2.142315 | reg_alpha: 3.385455 | reg_lambda: 2.478086	0.2504	20	0	XGBClassifier	MACCS
n_estimators: 825 | max_depth: 4 | learning_rate: 0.06211026 | max_leaves: 9 | subsample: 0.780533 | colsample_bytree: 0.9096111 | gamma: 1.52119 | reg_alpha: 0.9990139 | reg_lambda: 0.8254364	0.38816	21	0	XGBClassifier	MACCS
n_estimators: 775 | max_depth: 9 | learning_rate: 0.05474008 | max_leaves: 8 | subsample: 0.7982709 | colsample_bytree: 0.9357528 | gamma: 2.948438 | reg_alpha: 0.1510178 | reg_lambda: 0.4662837	0.3212	22	0	XGBClassifier	MACCS
n_estimators: 650 | max_depth: 8 | learning_rate: 0.0356718 | max_leaves: 12 | subsample: 0.8708007 | colsample_bytree: 0.8900852 | gamma: 1.330038 | reg_alpha: 1.022238 | reg_lambda: 1.343536	0.35998	23	0	XGBClassifier	MACCS
n_estimators: 900 | max_depth: 11 | learning_rate: 0.05945753 | max_leaves: 9 | subsample: 0.6880544 | colsample_bytree: 0.8381976 | gamma: 0.4760766 | reg_alpha: 0.4656706 | reg_lambda: 1.536709	0.46524	24	0	XGBClassifier	MACCS
n_estimators: 950 | max_depth: 4 | learning_rate: 0.06154031 | max_leaves: 10 | subsample: 0.6799076 | colsample_bytree: 0.8285274 | gamma: 0.5039629 | reg_alpha: 0.5795343 | reg_lambda: 0.9893622	0.47118	25	0	XGBClassifier	MACCS
n_estimators: 950 | max_depth: 7 | learning_rate: 0.05990236 | max_leaves: 11 | subsample: 0.6531085 | colsample_bytree: 0.8304184 | gamma: 0.5427589 | reg_alpha: 0.490477 | reg_lambda: 2.202479	0.4766	26	0	XGBClassifier	MACCS
n_estimators: 950 | max_depth: 5 | learning_rate: 0.09875882 | max_leaves: 11 | subsample: 0.6383405 | colsample_bytree: 0.8242394 | gamma: 0.6044116 | reg_alpha: 0.5207539 | reg_lambda: 2.054838	0.4844	27	0	XGBClassifier	MACCS
n_estimators: 975 | max_depth: 5 | learning_rate: 0.09752031 | max_leaves: 11 | subsample: 0.6308101 | colsample_bytree: 0.6858842 | gamma: 0.5637721 | reg_alpha: 0.7563453 | reg_lambda: 3.191928	0.49571	28	0	XGBClassifier	MACCS
n_estimators: 1000 | max_depth: 5 | learning_rate: 0.09765425 | max_leaves: 11 | subsample: 0.5797078 | colsample_bytree: 0.6877553 | gamma: 1.283156 | reg_alpha: 1.475505 | reg_lambda: 4.062936	0.43808	29	0	XGBClassifier	MACCS
n_estimators: 950 | max_depth: 7 | learning_rate: 0.09764767 | max_leaves: 11 | subsample: 0.6263247 | colsample_bytree: 0.6100854 | gamma: 0.524353 | reg_alpha: 0.856271 | reg_lambda: 3.156425	0.48467	30	0	XGBClassifier	MACCS
n_estimators: 925 | max_depth: 7 | learning_rate: 0.0990789 | max_leaves: 11 | subsample: 0.6220132 | colsample_bytree: 0.5855939 | gamma: 0.5695071 | reg_alpha: 4.951838 | reg_lambda: 3.25155	0.43264	31	0	XGBClassifier	MACCS
n_estimators: 950 | max_depth: 5 | learning_rate: 0.08052702 | max_leaves: 12 | subsample: 0.6462294 | colsample_bytree: 0.6683567 | gamma: 0.5740511 | reg_alpha: 0.7803888 | reg_lambda: 3.84419	0.48422	32	0	XGBClassifier	MACCS
n_estimators: 1000 | max_depth: 5 | learning_rate: 0.08210127 | max_leaves: 12 | subsample: 0.5132468 | colsample_bytree: 0.6699734 | gamma: 1.168986 | reg_alpha: 1.231852 | reg_lambda: 3.790042	0.45878	33	0	XGBClassifier	MACCS
n_estimators: 925 | max_depth: 6 | learning_rate: 0.08357502 | max_leaves: 10 | subsample: 0.5829855 | colsample_bytree: 0.5834131 | gamma: 0.0008751031 | reg_alpha: 1.381306 | reg_lambda: 4.695546	0.46415	34	0	XGBClassifier	MACCS
n_estimators: 675 | max_depth: 5 | learning_rate: 0.09866643 | max_leaves: 12 | subsample: 0.6266949 | colsample_bytree: 0.7244864 | gamma: 0.7781152 | reg_alpha: 0.6598277 | reg_lambda: 4.168959	0.47646	35	0	XGBClassifier	MACCS
n_estimators: 300 | max_depth: 3 | learning_rate: 0.06917583 | max_leaves: 11 | subsample: 0.5486815 | colsample_bytree: 0.7592294 | gamma: 0.4336499 | reg_alpha: 0.8141311 | reg_lambda: 2.842756	0.36235	36	0	XGBClassifier	MACCS
n_estimators: 850 | max_depth: 6 | learning_rate: 0.08634643 | max_leaves: 10 | subsample: 0.6597714 | colsample_bytree: 0.6612195 | gamma: 2.205827 | reg_alpha: 0.3163725 | reg_lambda: 3.187142	0.36449	37	0	XGBClassifier	MACCS
n_estimators: 950 | max_depth: 3 | learning_rate: 0.04645748 | max_leaves: 11 | subsample: 0.6046396 | colsample_bytree: 0.5762688 | gamma: 1.071687 | reg_alpha: 0.769146 | reg_lambda: 4.939755	0.39992	38	0	XGBClassifier	MACCS
n_estimators: 200 | max_depth: 7 | learning_rate: 0.06933143 | max_leaves: 8 | subsample: 0.5527079 | colsample_bytree: 0.6104003 | gamma: 0.7883807 | reg_alpha: 2.898119 | reg_lambda: 3.875271	0.32314	39	0	XGBClassifier	MACCS
n_estimators: 125 | max_depth: 5 | learning_rate: 0.08600476 | max_leaves: 12 | subsample: 0.6064375 | colsample_bytree: 0.7054075 | gamma: 1.330684 | reg_alpha: 2.089533 | reg_lambda: 4.348255	0.34395	40	0	XGBClassifier	MACCS
