Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 500 | max_depth: 4 | learning_rate: 0.03976682 | max_leaves: 7 | subsample: 0.6894497 | colsample_bytree: 0.587687 | gamma: 2.363162 | reg_alpha: 2.716924 | reg_lambda: 0.06341263	0.36123	0	0	XGBClassifier	Morgan
n_estimators: 975 | max_depth: 3 | learning_rate: 0.015002 | max_leaves: 8 | subsample: 0.5976991 | colsample_bytree: 0.6939374 | gamma: 3.367597 | reg_alpha: 4.423976 | reg_lambda: 2.117522	0.24309	1	0	XGBClassifier	Morgan
n_estimators: 175 | max_depth: 4 | learning_rate: 0.009572231 | max_leaves: 0 | subsample: 0.6473577 | colsample_bytree: 0.5644681 | gamma: 4.864067 | reg_alpha: 0.7446249 | reg_lambda: 0.4511035	0.05233	2	0	XGBClassifier	Morgan
n_estimators: 775 | max_depth: 9 | learning_rate: 0.01405835 | max_leaves: 9 | subsample: 0.5523712 | colsample_bytree: 0.5315065 | gamma: 3.454787 | reg_alpha: 0.1246022 | reg_lambda: 0.3632218	0.3742	3	0	XGBClassifier	Morgan
n_estimators: 925 | max_depth: 10 | learning_rate: 0.07680053 | max_leaves: 12 | subsample: 0.6645606 | colsample_bytree: 0.9076741 | gamma: 2.321301 | reg_alpha: 0.3127055 | reg_lambda: 3.693693	0.45782	4	0	XGBClassifier	Morgan
n_estimators: 225 | max_depth: 5 | learning_rate: 0.09455338 | max_leaves: 6 | subsample: 0.8528042 | colsample_bytree: 0.8619734 | gamma: 0.8990317 | reg_alpha: 0.4047278 | reg_lambda: 3.269459	0.39967	5	0	XGBClassifier	Morgan
n_estimators: 750 | max_depth: 12 | learning_rate: 0.01378332 | max_leaves: 11 | subsample: 0.9885016 | colsample_bytree: 0.7268238 | gamma: 4.532154 | reg_alpha: 3.005604 | reg_lambda: 4.357436	0.22818	6	0	XGBClassifier	Morgan
n_estimators: 950 | max_depth: 12 | learning_rate: 0.01812302 | max_leaves: 7 | subsample: 0.7866568 | colsample_bytree: 0.8898834 | gamma: 2.855876 | reg_alpha: 2.912224 | reg_lambda: 4.594878	0.32295	7	0	XGBClassifier	Morgan
n_estimators: 325 | max_depth: 6 | learning_rate: 0.01580665 | max_leaves: 7 | subsample: 0.8611808 | colsample_bytree: 0.9916143 | gamma: 0.06839108 | reg_alpha: 1.508758 | reg_lambda: 3.612658	0.15227	8	0	XGBClassifier	Morgan
n_estimators: 450 | max_depth: 12 | learning_rate: 0.01742508 | max_leaves: 7 | subsample: 0.6613832 | colsample_bytree: 0.7811953 | gamma: 2.666736 | reg_alpha: 4.680723 | reg_lambda: 4.331543	0.21207	9	0	XGBClassifier	Morgan
n_estimators: 725 | max_depth: 9 | learning_rate: 0.09582789 | max_leaves: 12 | subsample: 0.5347 | colsample_bytree: 0.9606103 | gamma: 1.51353 | reg_alpha: 1.581018 | reg_lambda: 1.953077	0.49903	10	0	XGBClassifier	Morgan
n_estimators: 725 | max_depth: 9 | learning_rate: 0.09349318 | max_leaves: 12 | subsample: 0.5122648 | colsample_bytree: 0.9966879 | gamma: 1.657231 | reg_alpha: 1.602895 | reg_lambda: 1.883744	0.49524	11	0	XGBClassifier	Morgan
