Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 475 | max_depth: 7 | learning_rate: 0.02404706 | max_leaves: 0 | subsample: 0.7648717 | colsample_bytree: 0.552507 | gamma: 1.469526 | reg_alpha: 1.464216 | reg_lambda: 2.629662	0.45442	0	0	XGBClassifier	RDKit
n_estimators: 375 | max_depth: 10 | learning_rate: 0.0164018 | max_leaves: 6 | subsample: 0.7196198 | colsample_bytree: 0.9884728 | gamma: 4.292535 | reg_alpha: 4.973832 | reg_lambda: 2.719073	0.2666	1	0	XGBClassifier	RDKit
n_estimators: 350 | max_depth: 4 | learning_rate: 0.00774388 | max_leaves: 7 | subsample: 0.8087995 | colsample_bytree: 0.9838985 | gamma: 0.7174598 | reg_alpha: 4.875996 | reg_lambda: 0.1444973	0.12664	2	0	XGBClassifier	RDKit
n_estimators: 1000 | max_depth: 3 | learning_rate: 0.07730614 | max_leaves: 7 | subsample: 0.5846964 | colsample_bytree: 0.741734 | gamma: 2.582705 | reg_alpha: 2.237082 | reg_lambda: 4.792079	0.46166	3	0	XGBClassifier	RDKit
n_estimators: 875 | max_depth: 12 | learning_rate: 0.04316466 | max_leaves: 4 | subsample: 0.5440722 | colsample_bytree: 0.802649 | gamma: 3.87228 | reg_alpha: 2.556018 | reg_lambda: 4.380102	0.36458	4	0	XGBClassifier	RDKit
n_estimators: 275 | max_depth: 4 | learning_rate: 0.0251235 | max_leaves: 9 | subsample: 0.8827525 | colsample_bytree: 0.5936358 | gamma: 4.916546 | reg_alpha: 1.065493 | reg_lambda: 4.549839	0.31492	5	0	XGBClassifier	RDKit
n_estimators: 1000 | max_depth: 6 | learning_rate: 0.03936127 | max_leaves: 1 | subsample: 0.8522728 | colsample_bytree: 0.9587874 | gamma: 0.1938514 | reg_alpha: 1.556915 | reg_lambda: 3.105193	0.0	6	0	XGBClassifier	RDKit
n_estimators: 875 | max_depth: 10 | learning_rate: 0.08964612 | max_leaves: 7 | subsample: 0.7447435 | colsample_bytree: 0.786204 | gamma: 0.613729 | reg_alpha: 4.089821 | reg_lambda: 2.529221	0.51475	7	0	XGBClassifier	RDKit
n_estimators: 225 | max_depth: 5 | learning_rate: 0.07167274 | max_leaves: 10 | subsample: 0.7982714 | colsample_bytree: 0.9842878 | gamma: 1.041951 | reg_alpha: 2.683981 | reg_lambda: 0.2359559	0.45083	8	0	XGBClassifier	RDKit
n_estimators: 100 | max_depth: 3 | learning_rate: 0.07723006 | max_leaves: 0 | subsample: 0.6819858 | colsample_bytree: 0.8717577 | gamma: 2.148724 | reg_alpha: 3.354665 | reg_lambda: 4.220869	0.3296	9	0	XGBClassifier	RDKit
