Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: lbfgs:l2 | C: 0.2358236	0.45145	0	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.009480834	0.48357	1	0	LogisticRegression	Klek
solver_penalty: saga:l1 | C: 6.164735	0.48359	2	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.03052187 | l1_ratio: 0.3032196	0.18918	3	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 8.425755	0.47988	4	0	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 0.02904713	0.47761	5	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.01023447	0.48934	6	0	LogisticRegression	Klek
solver_penalty: saga:l2 | C: 0.004791226	0.04506	7	0	LogisticRegression	Klek
solver_penalty: sag:None | C: 0.03364043	0.48062	8	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.001154207	0.48596	9	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.3904615	0.45864	10	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.001027596	0.48244	11	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.001014893	0.48723	12	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:l2 | C: 0.004952766	0.04605	13	0	LogisticRegression	Klek
solver_penalty: sag:l2 | C: 0.002859998	0.01908	14	0	LogisticRegression	Klek
solver_penalty: newton-cg:l2 | C: 0.01142174	0.13914	15	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.105164	0.47769	16	0	LogisticRegression	Klek
solver_penalty: saga:None | C: 0.002320307	0.47476	17	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 1.083897	0.48808	18	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 1.891981	0.48443	19	0	LogisticRegression	Klek
solver_penalty: saga:l1 | C: 0.7805158	0.4778	20	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 1.879672	0.47919	21	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.1003776	0.48206	22	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.01433726	0.483	23	0	LogisticRegression	Klek
solver_penalty: newton-cg:l2 | C: 0.2131882	0.4421	24	0	LogisticRegression	Klek
solver_penalty: sag:None | C: 0.04599711	0.48327	25	0	LogisticRegression	Klek
solver_penalty: saga:l2 | C: 0.002344601	0.01388	26	0	LogisticRegression	Klek
solver_penalty: saga:None | C: 1.008378	0.48307	27	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 3.126051	0.48658	28	0	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 0.24923	0.4455	29	0	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 0.006221454	0.48317	30	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 2.012645	0.48214	31	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 4.040822	0.48404	32	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 3.423805	0.48288	33	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.4895233 | l1_ratio: 0.9833992	0.47114	34	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 0.01554871	0.0	35	0	LogisticRegression	Klek
solver_penalty: sag:l2 | C: 9.385658	0.48342	36	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 1.090266	0.4904	37	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.05683164	0.47904	38	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.1869062	0.47766	39	0	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 0.6044328	0.46403	40	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 1.245273	0.47154	41	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 4.711708	0.48162	42	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:l2 | C: 2.384882	0.4749	43	0	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 1.322541	0.48396	44	0	LogisticRegression	Klek
solver_penalty: saga:l1 | C: 0.0015486	0.0	45	0	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 6.875363 | l1_ratio: 0.04852094	0.48274	46	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.006701252	0.47413	47	0	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 0.02258755	0.02011	48	0	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 0.3830522	0.47131	49	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.06423547	0.48764	50	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.003369732	0.46867	51	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.0750549	0.47904	52	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.001506876	0.48221	53	0	LogisticRegression	Klek
solver_penalty: saga:l2 | C: 0.7074318	0.46145	54	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 2.793448	0.47962	55	0	LogisticRegression	Klek
solver_penalty: sag:None | C: 0.1437651	0.4859	56	0	LogisticRegression	Klek
solver_penalty: newton-cg:l2 | C: 0.03718681	0.3286	57	0	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.3238536	0.45524	58	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.02199477	0.48481	59	0	LogisticRegression	Klek
solver_penalty: saga:None | C: 0.00832831	0.48177	60	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.001055826	0.48616	61	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.004076435	0.4792	62	0	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.001075735	0.49056	63	0	LogisticRegression	Klek
solver_penalty: saga:None | C: 2.311991	0.47352	0	1	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 0.1556017	0.41182	1	1	LogisticRegression	Klek
solver_penalty: sag:None | C: 0.6223207	0.47269	2	1	LogisticRegression	Klek
solver_penalty: newton-cholesky:l2 | C: 5.283684	0.47484	3	1	LogisticRegression	Klek
