Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 325 | max_depth: 5 | learning_rate: 0.01739742 | max_leaves: 9 | subsample: 0.6282913 | colsample_bytree: 0.7849099 | gamma: 2.840335 | reg_alpha: 1.284103 | reg_lambda: 0.4697822	0.15153	0	0	XGBClassifier	Klek
n_estimators: 500 | max_depth: 3 | learning_rate: 0.01444136 | max_leaves: 6 | subsample: 0.7986696 | colsample_bytree: 0.9641368 | gamma: 0.4584745 | reg_alpha: 0.5220555 | reg_lambda: 4.606839	0.11636	1	0	XGBClassifier	Klek
n_estimators: 125 | max_depth: 9 | learning_rate: 0.01104711 | max_leaves: 6 | subsample: 0.9978361 | colsample_bytree: 0.9177043 | gamma: 0.7227247 | reg_alpha: 4.973549 | reg_lambda: 4.798006	0.0	2	0	XGBClassifier	Klek
n_estimators: 325 | max_depth: 4 | learning_rate: 0.0162125 | max_leaves: 1 | subsample: 0.952281 | colsample_bytree: 0.9449048 | gamma: 2.535307 | reg_alpha: 4.41536 | reg_lambda: 1.871806	0.0	3	0	XGBClassifier	Klek
n_estimators: 425 | max_depth: 2 | learning_rate: 0.02123784 | max_leaves: 1 | subsample: 0.8084826 | colsample_bytree: 0.9813737 | gamma: 2.942738 | reg_alpha: 0.09538082 | reg_lambda: 2.903877	0.0	4	0	XGBClassifier	Klek
n_estimators: 850 | max_depth: 8 | learning_rate: 0.007118705 | max_leaves: 11 | subsample: 0.5721848 | colsample_bytree: 0.9710616 | gamma: 4.706909 | reg_alpha: 3.638104 | reg_lambda: 0.0727735	0.10839	5	0	XGBClassifier	Klek
n_estimators: 375 | max_depth: 2 | learning_rate: 0.006102786 | max_leaves: 6 | subsample: 0.5366763 | colsample_bytree: 0.6933641 | gamma: 2.023209 | reg_alpha: 4.329976 | reg_lambda: 1.42957	0.0	6	0	XGBClassifier	Klek
n_estimators: 625 | max_depth: 9 | learning_rate: 0.09544909 | max_leaves: 9 | subsample: 0.9559748 | colsample_bytree: 0.5880047 | gamma: 1.965548 | reg_alpha: 0.6647019 | reg_lambda: 3.306442	0.34465	7	0	XGBClassifier	Klek
n_estimators: 200 | max_depth: 7 | learning_rate: 0.04282151 | max_leaves: 1 | subsample: 0.5862207 | colsample_bytree: 0.8188659 | gamma: 4.732677 | reg_alpha: 2.88775 | reg_lambda: 4.771314	0.0	8	0	XGBClassifier	Klek
n_estimators: 550 | max_depth: 3 | learning_rate: 0.01560265 | max_leaves: 3 | subsample: 0.9253317 | colsample_bytree: 0.8999475 | gamma: 2.227232 | reg_alpha: 2.798483 | reg_lambda: 4.757938	0.04193	9	0	XGBClassifier	Klek
n_estimators: 775 | max_depth: 12 | learning_rate: 0.08543578 | max_leaves: 12 | subsample: 0.8712795 | colsample_bytree: 0.5096111 | gamma: 1.33965 | reg_alpha: 1.570563 | reg_lambda: 3.329861	0.35853	10	0	XGBClassifier	Klek
n_estimators: 800 | max_depth: 12 | learning_rate: 0.08703492 | max_leaves: 12 | subsample: 0.8529972 | colsample_bytree: 0.5159338 | gamma: 1.339369 | reg_alpha: 1.697948 | reg_lambda: 3.505301	0.37574	11	0	XGBClassifier	Klek
n_estimators: 925 | max_depth: 12 | learning_rate: 0.09288066 | max_leaves: 12 | subsample: 0.8605344 | colsample_bytree: 0.5050759 | gamma: 1.130971 | reg_alpha: 1.771047 | reg_lambda: 3.577028	0.37161	12	0	XGBClassifier	Klek
n_estimators: 925 | max_depth: 12 | learning_rate: 0.04453011 | max_leaves: 10 | subsample: 0.6890815 | colsample_bytree: 0.5018566 | gamma: 1.142679 | reg_alpha: 1.844378 | reg_lambda: 3.892648	0.36946	13	0	XGBClassifier	Klek
n_estimators: 1000 | max_depth: 11 | learning_rate: 0.0524236 | max_leaves: 12 | subsample: 0.8603604 | colsample_bytree: 0.6121178 | gamma: 3.638981 | reg_alpha: 2.282068 | reg_lambda: 3.718411	0.21839	14	0	XGBClassifier	Klek
n_estimators: 725 | max_depth: 10 | learning_rate: 0.06298314 | max_leaves: 8 | subsample: 0.7163303 | colsample_bytree: 0.5965315 | gamma: 0.02123228 | reg_alpha: 1.094012 | reg_lambda: 2.449052	0.39415	15	0	XGBClassifier	Klek
n_estimators: 700 | max_depth: 10 | learning_rate: 0.06177264 | max_leaves: 7 | subsample: 0.7212366 | colsample_bytree: 0.6326098 | gamma: 0.006446431 | reg_alpha: 0.998655 | reg_lambda: 2.194333	0.37934	16	0	XGBClassifier	Klek
n_estimators: 675 | max_depth: 10 | learning_rate: 0.0336553 | max_leaves: 8 | subsample: 0.7072917 | colsample_bytree: 0.6773981 | gamma: 0.2918969 | reg_alpha: 0.928353 | reg_lambda: 2.138994	0.33686	17	0	XGBClassifier	Klek
n_estimators: 700 | max_depth: 6 | learning_rate: 0.05992128 | max_leaves: 4 | subsample: 0.7376256 | colsample_bytree: 0.6023967 | gamma: 0.1978404 | reg_alpha: 0.0146084 | reg_lambda: 1.301381	0.30687	18	0	XGBClassifier	Klek
n_estimators: 600 | max_depth: 10 | learning_rate: 0.03041483 | max_leaves: 8 | subsample: 0.6593537 | colsample_bytree: 0.6938783 | gamma: 0.1074775 | reg_alpha: 2.330819 | reg_lambda: 2.615309	0.31146	19	0	XGBClassifier	Klek
n_estimators: 725 | max_depth: 8 | learning_rate: 0.06445901 | max_leaves: 7 | subsample: 0.7782675 | colsample_bytree: 0.641166 | gamma: 0.7686873 | reg_alpha: 1.20561 | reg_lambda: 0.9492382	0.3914	20	0	XGBClassifier	Klek
n_estimators: 725 | max_depth: 8 | learning_rate: 0.06640563 | max_leaves: 7 | subsample: 0.7712151 | colsample_bytree: 0.6466296 | gamma: 0.6978247 | reg_alpha: 1.081934 | reg_lambda: 1.114576	0.40347	21	0	XGBClassifier	Klek
n_estimators: 750 | max_depth: 7 | learning_rate: 0.06882389 | max_leaves: 4 | subsample: 0.7833877 | colsample_bytree: 0.5638866 | gamma: 0.766027 | reg_alpha: 1.187467 | reg_lambda: 0.8774291	0.34166	22	0	XGBClassifier	Klek
n_estimators: 850 | max_depth: 8 | learning_rate: 0.03263296 | max_leaves: 7 | subsample: 0.7677492 | colsample_bytree: 0.6576225 | gamma: 0.7337649 | reg_alpha: 0.4828844 | reg_lambda: 1.337826	0.34605	23	0	XGBClassifier	Klek
n_estimators: 500 | max_depth: 8 | learning_rate: 0.04206766 | max_leaves: 5 | subsample: 0.6521432 | colsample_bytree: 0.7311092 | gamma: 1.716429 | reg_alpha: 2.08067 | reg_lambda: 0.8113144	0.28495	24	0	XGBClassifier	Klek
n_estimators: 625 | max_depth: 6 | learning_rate: 0.07091666 | max_leaves: 8 | subsample: 0.817263 | colsample_bytree: 0.7356112 | gamma: 0.6220161 | reg_alpha: 1.347935 | reg_lambda: 1.769458	0.39829	25	0	XGBClassifier	Klek
