Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: sag:l2 | C: 1.884128	0.51261	0	0	LogisticRegression	CDDD
solver_penalty: saga:elasticnet | C: 0.5531571 | l1_ratio: 0.3584493	0.51267	1	0	LogisticRegression	CDDD
solver_penalty: sag:None | C: 0.008906491	0.51644	2	0	LogisticRegression	CDDD
solver_penalty: lbfgs:None | C: 0.2230531	0.51096	3	0	LogisticRegression	CDDD
solver_penalty: lbfgs:l2 | C: 0.1312256	0.51332	4	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.00495326	0.52167	5	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:l2 | C: 0.01555308	0.52154	6	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.8156801	0.5232	7	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.004877304	0.52279	8	0	LogisticRegression	CDDD
solver_penalty: saga:l2 | C: 0.01447755	0.4998	9	0	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 9.223209	0.5231	10	0	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 9.247306	0.5195	11	0	LogisticRegression	CDDD
solver_penalty: liblinear:l1 | C: 8.494087	0.51817	12	0	LogisticRegression	CDDD
solver_penalty: newton-cg:None | C: 1.661776	0.52207	13	0	LogisticRegression	CDDD
solver_penalty: saga:l1 | C: 1.880126	0.50066	14	0	LogisticRegression	CDDD
solver_penalty: liblinear:l2 | C: 0.001152618	0.52131	15	0	LogisticRegression	CDDD
solver_penalty: saga:None | C: 0.5474283	0.49925	16	0	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 3.855588	0.52022	17	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.04440286	0.52066	18	0	LogisticRegression	CDDD
solver_penalty: newton-cg:l2 | C: 0.5471728	0.51305	19	0	LogisticRegression	CDDD
solver_penalty: saga:None | C: 4.199488	0.51286	20	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.05216378	0.52145	21	0	LogisticRegression	CDDD
solver_penalty: newton-cholesky:None | C: 0.001031272	0.52507	22	0	LogisticRegression	CDDD
