Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 525 | criterion: entropy | max_depth: 14 | min_samples_leaf: 2 | min_samples_split: 6 | max_features: sqrt | ccp_alpha: 0.0001639952	0.33323	0	0	RandomForestClassifier	RDKit
n_estimators: 325 | criterion: log_loss | max_depth: 4 | min_samples_leaf: 4 | min_samples_split: 3 | max_features: None | ccp_alpha: 0.01099085	0.41533	1	0	RandomForestClassifier	RDKit
n_estimators: 450 | criterion: entropy | max_depth: 6 | min_samples_leaf: 3 | min_samples_split: 5 | max_features: log2 | ccp_alpha: 3.131187e-05	0.50958	2	0	RandomForestClassifier	RDKit
n_estimators: 775 | criterion: entropy | max_depth: 16 | min_samples_leaf: 3 | min_samples_split: 3 | max_features: None | ccp_alpha: 0.01698822	0.0	3	0	RandomForestClassifier	RDKit
n_estimators: 125 | criterion: entropy | max_depth: 16 | min_samples_leaf: 4 | min_samples_split: 6 | max_features: None | ccp_alpha: 0.03358298	0.0	4	0	RandomForestClassifier	RDKit
n_estimators: 650 | criterion: gini | max_depth: 2 | min_samples_leaf: 7 | min_samples_split: 10 | max_features: None | ccp_alpha: 2.182118e-05	0.39163	5	0	RandomForestClassifier	RDKit
n_estimators: 625 | criterion: entropy | max_depth: 11 | min_samples_leaf: 4 | min_samples_split: 5 | max_features: sqrt | ccp_alpha: 0.005761501	0.49898	6	0	RandomForestClassifier	RDKit
n_estimators: 450 | criterion: gini | max_depth: 11 | min_samples_leaf: 10 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 0.0002314033	0.41663	7	0	RandomForestClassifier	RDKit
n_estimators: 525 | criterion: gini | max_depth: 5 | min_samples_leaf: 8 | min_samples_split: 4 | max_features: sqrt | ccp_alpha: 0.0001758483	0.48986	8	0	RandomForestClassifier	RDKit
n_estimators: 450 | criterion: entropy | max_depth: 15 | min_samples_leaf: 1 | min_samples_split: 6 | max_features: sqrt | ccp_alpha: 0.0008694611	0.42203	9	0	RandomForestClassifier	RDKit
n_estimators: 925 | criterion: log_loss | max_depth: 8 | min_samples_leaf: 6 | min_samples_split: 9 | max_features: log2 | ccp_alpha: 1.105472e-05	0.4954	10	0	RandomForestClassifier	RDKit
n_estimators: 725 | criterion: entropy | max_depth: 11 | min_samples_leaf: 5 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 0.003095743	0.51419	11	0	RandomForestClassifier	RDKit
n_estimators: 800 | criterion: entropy | max_depth: 19 | min_samples_leaf: 5 | min_samples_split: 2 | max_features: log2 | ccp_alpha: 0.002066035	0.49765	12	0	RandomForestClassifier	RDKit
