Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: liblinear:l2 | C: 0.00117077	0.30843	0	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 4.70726	0.50181	1	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l2 | C: 0.189226	0.46767	2	0	LogisticRegression	ChemBERTa
solver_penalty: saga:l1 | C: 0.01041426	0.00912	3	0	LogisticRegression	ChemBERTa
solver_penalty: sag:l2 | C: 0.00490654	0.37985	4	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l2 | C: 5.795602	0.50062	5	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:l2 | C: 0.5581663	0.47393	6	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:l2 | C: 0.1842558	0.46771	7	0	LogisticRegression	ChemBERTa
solver_penalty: saga:l2 | C: 0.003428254	0.36329	8	0	LogisticRegression	ChemBERTa
solver_penalty: saga:elasticnet | C: 0.01986944 | l1_ratio: 0.9817819	0.15186	9	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 4.671031	0.50114	10	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 6.121482	0.50063	11	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 1.245263	0.4895	12	0	LogisticRegression	ChemBERTa
solver_penalty: sag:None | C: 1.356611	0.49395	13	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 8.876724	0.50349	14	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:l2 | C: 9.392393	0.49767	15	0	LogisticRegression	ChemBERTa
solver_penalty: saga:None | C: 1.494391	0.48318	16	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.5065274	0.50128	17	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cg:None | C: 0.0756142	0.49248	18	0	LogisticRegression	ChemBERTa
solver_penalty: newton-cholesky:None | C: 2.663813	0.47145	19	0	LogisticRegression	ChemBERTa
solver_penalty: liblinear:l1 | C: 0.05765669	0.38541	20	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.4964204	0.50128	21	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 0.6290471	0.50128	22	0	LogisticRegression	ChemBERTa
solver_penalty: lbfgs:None | C: 2.771593	0.50128	23	0	LogisticRegression	ChemBERTa
