Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 750 | criterion: entropy | max_depth: 8 | min_samples_leaf: 4 | min_samples_split: 5 | max_features: log2 | ccp_alpha: 0.0001075342	0.12638	0	1	RandomForestClassifier	CDDD
n_estimators: 1000 | criterion: gini | max_depth: 14 | min_samples_leaf: 3 | min_samples_split: 5 | max_features: log2 | ccp_alpha: 0.004639258	0.0	1	1	RandomForestClassifier	CDDD
n_estimators: 450 | criterion: gini | max_depth: 11 | min_samples_leaf: 6 | min_samples_split: 6 | max_features: None | ccp_alpha: 0.004682991	0.17644	2	1	RandomForestClassifier	CDDD
n_estimators: 500 | criterion: log_loss | max_depth: 10 | min_samples_leaf: 3 | min_samples_split: 2 | max_features: None | ccp_alpha: 2.607542e-05	0.48059	3	1	RandomForestClassifier	CDDD
n_estimators: 975 | criterion: log_loss | max_depth: 6 | min_samples_leaf: 10 | min_samples_split: 10 | max_features: sqrt | ccp_alpha: 5.399252e-05	0.06415	4	1	RandomForestClassifier	CDDD
n_estimators: 925 | criterion: log_loss | max_depth: 17 | min_samples_leaf: 8 | min_samples_split: 2 | max_features: sqrt | ccp_alpha: 6.231488e-05	0.35978	5	1	RandomForestClassifier	CDDD
n_estimators: 325 | criterion: log_loss | max_depth: 11 | min_samples_leaf: 6 | min_samples_split: 4 | max_features: None | ccp_alpha: 0.01228759	0.0	6	1	RandomForestClassifier	CDDD
n_estimators: 750 | criterion: log_loss | max_depth: 19 | min_samples_leaf: 4 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 0.0004297807	0.49245	7	1	RandomForestClassifier	CDDD
n_estimators: 325 | criterion: gini | max_depth: 15 | min_samples_leaf: 7 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 7.487448e-05	0.489	8	1	RandomForestClassifier	CDDD
n_estimators: 850 | criterion: entropy | max_depth: 10 | min_samples_leaf: 4 | min_samples_split: 9 | max_features: None | ccp_alpha: 1.586236e-05	0.47945	9	1	RandomForestClassifier	CDDD
n_estimators: 100 | criterion: log_loss | max_depth: 20 | min_samples_leaf: 1 | min_samples_split: 8 | max_features: log2 | ccp_alpha: 0.0006889469	0.4007	10	1	RandomForestClassifier	CDDD
n_estimators: 675 | criterion: gini | max_depth: 2 | min_samples_leaf: 8 | min_samples_split: 8 | max_features: log2 | ccp_alpha: 0.000368955	0.0	11	1	RandomForestClassifier	CDDD
n_estimators: 250 | criterion: gini | max_depth: 17 | min_samples_leaf: 8 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 0.0002261091	0.48595	12	1	RandomForestClassifier	CDDD
n_estimators: 625 | criterion: gini | max_depth: 19 | min_samples_leaf: 5 | min_samples_split: 8 | max_features: log2 | ccp_alpha: 0.002321974	0.00234	13	1	RandomForestClassifier	CDDD
n_estimators: 375 | criterion: entropy | max_depth: 15 | min_samples_leaf: 7 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 0.001266126	0.19471	14	1	RandomForestClassifier	CDDD
n_estimators: 200 | criterion: log_loss | max_depth: 14 | min_samples_leaf: 1 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 0.0002234385	0.49801	15	1	RandomForestClassifier	CDDD
n_estimators: 125 | criterion: log_loss | max_depth: 17 | min_samples_leaf: 1 | min_samples_split: 7 | max_features: sqrt | ccp_alpha: 0.0002774262	0.4558	16	1	RandomForestClassifier	CDDD
n_estimators: 750 | criterion: log_loss | max_depth: 13 | min_samples_leaf: 2 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 0.02105003	0.0	17	1	RandomForestClassifier	CDDD
n_estimators: 550 | criterion: log_loss | max_depth: 19 | min_samples_leaf: 2 | min_samples_split: 4 | max_features: log2 | ccp_alpha: 0.0007032617	0.36309	18	1	RandomForestClassifier	CDDD
n_estimators: 175 | criterion: log_loss | max_depth: 13 | min_samples_leaf: 4 | min_samples_split: 9 | max_features: sqrt | ccp_alpha: 0.000167887	0.48451	19	1	RandomForestClassifier	CDDD
n_estimators: 800 | criterion: log_loss | max_depth: 7 | min_samples_leaf: 2 | min_samples_split: 7 | max_features: log2 | ccp_alpha: 0.001810933	0.01171	20	1	RandomForestClassifier	CDDD
n_estimators: 250 | criterion: gini | max_depth: 15 | min_samples_leaf: 7 | min_samples_split: 9 | max_features: log2 | ccp_alpha: 6.675319e-05	0.47437	21	1	RandomForestClassifier	CDDD
n_estimators: 375 | criterion: gini | max_depth: 16 | min_samples_leaf: 5 | min_samples_split: 10 | max_features: log2 | ccp_alpha: 2.719276e-05	0.37858	22	1	RandomForestClassifier	CDDD
n_estimators: 200 | criterion: entropy | max_depth: 18 | min_samples_leaf: 10 | min_samples_split: 9 | max_features: log2 | ccp_alpha: 0.0004736178	0.47626	23	1	RandomForestClassifier	CDDD
n_estimators: 300 | criterion: log_loss | max_depth: 13 | min_samples_leaf: 9 | min_samples_split: 8 | max_features: log2 | ccp_alpha: 0.0001142514	0.49033	24	1	RandomForestClassifier	CDDD
n_estimators: 625 | criterion: log_loss | max_depth: 13 | min_samples_leaf: 9 | min_samples_split: 6 | max_features: log2 | ccp_alpha: 0.0001471825	0.4925	25	1	RandomForestClassifier	CDDD
