TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
531.11389	698.63311	1361.76564	1776.09969	0.52826	0.28059	0.71769	0.43189	0.49914	0.44875	0.40344	0.34017	0.51921	-0.0019	0.44681	0.28071	0.10243	Total | Total	Weighted	0	XGBClassifier	Morgan
143.08434	191.734	395.47124	540.13486	0.53779	0.26568	0.73802	0.42735	0.50185	0.44281	0.39071	0.32766	0.52423	0.00415	0.4427	0.28054	0.09501	Sex | Male	Weighted	0	XGBClassifier	Morgan
198.73153	263.47022	571.66894	750.96336	0.53209	0.25796	0.74028	0.42997	0.49912	0.43699	0.3826	0.32246	0.52162	-0.00199	0.44764	0.28407	0.10345	Sex | Unknown	Weighted	0	XGBClassifier	Morgan
189.29802	243.42889	394.62546	485.00147	0.51381	0.32418	0.66582	0.43745	0.495	0.46459	0.43605	0.3724	0.50792	-0.01057	0.45009	0.27665	0.10822	Sex | Female	Weighted	0	XGBClassifier	Morgan
76.89003	136.31389	348.636	516.05447	0.5501	0.18069	0.79105	0.36064	0.48587	0.37807	0.29419	0.24076	0.47435	-0.03468	0.3803	0.29396	0.11499	Age | Elderly	Weighted	0	XGBClassifier	Morgan
144.53842	173.23611	374.94444	428.22195	0.51096	0.27824	0.71197	0.45485	0.4951	0.44508	0.40011	0.34527	0.50338	-0.01083	0.46311	0.28611	0.11168	Age | Adult	Weighted	0	XGBClassifier	Morgan
89.262	54.12661	54.99491	51.21996	0.56282	0.61877	0.4862	0.62252	0.55249	0.5485	0.54454	0.62064	0.58778	0.10486	0.62362	0.23725	0.1148	Age | Adolescent	Weighted	0	XGBClassifier	Morgan
57.5346	68.95171	45.91694	51.89019	0.48786	0.55615	0.42941	0.45487	0.49278	0.48869	0.48463	0.50044	0.51274	-0.01452	0.46437	0.25672	0.11455	Age | Children	Weighted	0	XGBClassifier	Morgan
162.88884	266.00479	537.27335	728.71312	0.52606	0.23264	0.73258	0.37979	0.48261	0.41283	0.35314	0.28854	0.51339	-0.03938	0.41552	0.28333	0.10888	Age | Unknown	Weighted	0	XGBClassifier	Morgan
86.74181	118.00948	243.36157	286.64561	0.50818	0.26277	0.70837	0.42364	0.48557	0.43144	0.38334	0.32436	0.51534	-0.03202	0.45276	0.28521	0.12383	Weight | Low	Weighted	0	XGBClassifier	Morgan
112.01089	138.64912	242.85193	289.23094	0.51261	0.31565	0.67596	0.44686	0.4958	0.46191	0.43034	0.36996	0.51572	-0.00895	0.48106	0.27721	0.11464	Weight | Average	Weighted	0	XGBClassifier	Morgan
66.1213	87.21618	231.39518	315.17211	0.54478	0.22224	0.78325	0.43121	0.50275	0.41722	0.34624	0.29332	0.50969	0.00657	0.43588	0.28768	0.09552	Weight | High	Weighted	0	XGBClassifier	Morgan
266.23989	354.75833	644.15696	885.05103	0.53543	0.29244	0.71386	0.42873	0.50315	0.45691	0.41491	0.34771	0.52334	0.00687	0.43806	0.2772	0.09299	Weight | Unknown	Weighted	0	XGBClassifier	Morgan
2394.0	1536.0	5048.0	3535.0	0.47383	0.32169	0.6971	0.60916	0.50939	0.47355	0.44023	0.42103	0.52368	0.01987	0.61187	0.28071	0.1714	Total | Total	Unweighted	0	XGBClassifier	Morgan
659.0	433.0	1555.0	1133.0	0.47407	0.29765	0.7235	0.60348	0.51058	0.46406	0.42178	0.39867	0.52874	0.02299	0.60764	0.28054	0.1696	Sex | Male	Unweighted	0	XGBClassifier	Morgan
834.0	558.0	2044.0	1436.0	0.46593	0.28978	0.72016	0.59914	0.50497	0.45683	0.41327	0.39063	0.52248	0.01082	0.60666	0.28407	0.18023	Sex | Unknown	Unweighted	0	XGBClassifier	Morgan
901.0	545.0	1449.0	966.0	0.48355	0.3834	0.63931	0.6231	0.51136	0.49509	0.47934	0.47471	0.51693	0.02291	0.62129	0.27665	0.16557	Sex | Female	Unweighted	0	XGBClassifier	Morgan
323.0	289.0	1300.0	1017.0	0.45749	0.19901	0.77871	0.52778	0.48886	0.39367	0.31701	0.28904	0.48288	-0.02723	0.54292	0.29396	0.18407	Age | Elderly	Unweighted	0	XGBClassifier	Morgan
608.0	390.0	1430.0	904.0	0.45378	0.29833	0.69861	0.60922	0.49847	0.45653	0.41811	0.40053	0.49806	-0.00326	0.60981	0.28611	0.19363	Age | Adult	Unweighted	0	XGBClassifier	Morgan
471.0	161.0	278.0	122.0	0.57461	0.62884	0.4311	0.74525	0.52997	0.52066	0.51152	0.68211	0.55582	0.05488	0.74284	0.23725	0.20121	Age | Adolescent	Unweighted	0	XGBClassifier	Morgan
360.0	185.0	275.0	142.0	0.52183	0.56693	0.43425	0.66055	0.50059	0.49617	0.4918	0.61017	0.50453	0.00113	0.6515	0.25672	0.16171	Age | Children	Unweighted	0	XGBClassifier	Morgan
632.0	511.0	1765.0	1350.0	0.46548	0.26366	0.72542	0.55293	0.49454	0.43734	0.38675	0.35706	0.5118	-0.01222	0.56666	0.28333	0.17086	Age | Unknown	Unweighted	0	XGBClassifier	Morgan
471.0	333.0	1071.0	695.0	0.4537	0.30545	0.67607	0.58582	0.49076	0.45443	0.42078	0.40153	0.51078	-0.01953	0.59865	0.28521	0.18797	Weight | Low	Unweighted	0	XGBClassifier	Morgan
576.0	331.0	997.0	656.0	0.48125	0.36618	0.66464	0.63506	0.51541	0.49333	0.4722	0.46452	0.52747	0.03136	0.64504	0.27721	0.17205	Weight | Average	Unweighted	0	XGBClassifier	Morgan
348.0	219.0	961.0	700.0	0.47038	0.26585	0.7617	0.61376	0.51377	0.45	0.39414	0.371	0.51496	0.03114	0.60559	0.28768	0.18702	Weight | High	Unweighted	0	XGBClassifier	Morgan
999.0	653.0	2019.0	1484.0	0.48167	0.33101	0.69443	0.60472	0.51272	0.47944	0.44833	0.42784	0.53033	0.02686	0.60459	0.2772	0.16167	Weight | Unknown	Unweighted	0	XGBClassifier	Morgan
364.06171	598.0255	506.30001	1064.13335	0.56394	0.41829	0.64021	0.37841	0.52925	0.51749	0.50599	0.39735	0.53624	0.05724	0.40468	0.26556	0.14598	Total | Total	Weighted	1	XGBClassifier	Morgan
125.65666	204.04821	134.11394	303.22618	0.55914	0.48372	0.59776	0.38112	0.54074	0.53772	0.53473	0.42633	0.56509	0.07789	0.41694	0.25867	0.15478	Sex | Female	Weighted	1	XGBClassifier	Morgan
100.2066	166.87795	160.88066	305.08755	0.55289	0.38381	0.64642	0.37519	0.51511	0.4981	0.48164	0.37945	0.50847	0.03007	0.39062	0.2725	0.1447	Sex | Male	Weighted	1	XGBClassifier	Morgan
138.19845	227.09934	211.30541	455.81962	0.57536	0.39541	0.66746	0.37832	0.53144	0.51373	0.49662	0.38668	0.53525	0.06222	0.41057	0.26549	0.14218	Sex | Unknown	Weighted	1	XGBClassifier	Morgan
115.62453	196.73103	214.37553	442.82103	0.57598	0.35038	0.69239	0.37017	0.52138	0.49254	0.4653	0.36	0.52703	0.04337	0.3738	0.26932	0.1259	Age | Unknown	Weighted	1	XGBClassifier	Morgan
