Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 125 | max_depth: 12 | learning_rate: 0.01844351 | max_leaves: 5 | subsample: 0.6718337 | colsample_bytree: 0.7476982 | gamma: 1.800538 | reg_alpha: 4.586255 | reg_lambda: 4.923881	0.0018	0	0	XGBClassifier	ChemBERTa
n_estimators: 100 | max_depth: 6 | learning_rate: 0.01113513 | max_leaves: 0 | subsample: 0.8069649 | colsample_bytree: 0.5371952 | gamma: 4.712013 | reg_alpha: 1.60495 | reg_lambda: 0.2319686	0.00296	1	0	XGBClassifier	ChemBERTa
n_estimators: 975 | max_depth: 9 | learning_rate: 0.009293126 | max_leaves: 1 | subsample: 0.9520929 | colsample_bytree: 0.6448175 | gamma: 1.925151 | reg_alpha: 2.664072 | reg_lambda: 2.379891	0.0	2	0	XGBClassifier	ChemBERTa
n_estimators: 125 | max_depth: 9 | learning_rate: 0.09020106 | max_leaves: 3 | subsample: 0.5102395 | colsample_bytree: 0.7753789 | gamma: 1.318877 | reg_alpha: 3.980062 | reg_lambda: 0.2348407	0.07182	3	0	XGBClassifier	ChemBERTa
n_estimators: 800 | max_depth: 7 | learning_rate: 0.03171422 | max_leaves: 10 | subsample: 0.5215181 | colsample_bytree: 0.989684 | gamma: 0.7246018 | reg_alpha: 4.042393 | reg_lambda: 0.6723537	0.35064	4	0	XGBClassifier	ChemBERTa
n_estimators: 300 | max_depth: 8 | learning_rate: 0.09010559 | max_leaves: 1 | subsample: 0.8039247 | colsample_bytree: 0.9286276 | gamma: 0.2298259 | reg_alpha: 1.158215 | reg_lambda: 0.1051949	0.0	5	0	XGBClassifier	ChemBERTa
n_estimators: 725 | max_depth: 5 | learning_rate: 0.006612432 | max_leaves: 1 | subsample: 0.8211214 | colsample_bytree: 0.8748276 | gamma: 3.788125 | reg_alpha: 3.634358 | reg_lambda: 2.669155	0.0	6	0	XGBClassifier	ChemBERTa
n_estimators: 525 | max_depth: 5 | learning_rate: 0.05224069 | max_leaves: 7 | subsample: 0.7729596 | colsample_bytree: 0.5342391 | gamma: 3.319229 | reg_alpha: 4.370094 | reg_lambda: 1.715768	0.31318	7	0	XGBClassifier	ChemBERTa
n_estimators: 800 | max_depth: 4 | learning_rate: 0.01434344 | max_leaves: 9 | subsample: 0.902837 | colsample_bytree: 0.5124375 | gamma: 1.290866 | reg_alpha: 2.885923 | reg_lambda: 0.5208498	0.26812	8	0	XGBClassifier	ChemBERTa
n_estimators: 975 | max_depth: 12 | learning_rate: 0.03440245 | max_leaves: 6 | subsample: 0.8476104 | colsample_bytree: 0.5881796 | gamma: 0.7148063 | reg_alpha: 1.53806 | reg_lambda: 1.627964	0.36594	9	0	XGBClassifier	ChemBERTa
n_estimators: 1000 | max_depth: 2 | learning_rate: 0.03322603 | max_leaves: 12 | subsample: 0.6453984 | colsample_bytree: 0.6434382 | gamma: 0.1380311 | reg_alpha: 0.1043457 | reg_lambda: 3.941948	0.31474	10	0	XGBClassifier	ChemBERTa
n_estimators: 725 | max_depth: 12 | learning_rate: 0.02974874 | max_leaves: 9 | subsample: 0.5175296 | colsample_bytree: 0.977719 | gamma: 0.8433761 | reg_alpha: 1.969433 | reg_lambda: 1.585711	0.33711	11	0	XGBClassifier	ChemBERTa
n_estimators: 850 | max_depth: 10 | learning_rate: 0.04670461 | max_leaves: 12 | subsample: 0.6561417 | colsample_bytree: 0.8071171 | gamma: 2.673033 | reg_alpha: 0.5276316 | reg_lambda: 1.237832	0.37178	12	0	XGBClassifier	ChemBERTa
n_estimators: 550 | max_depth: 11 | learning_rate: 0.05232957 | max_leaves: 6 | subsample: 0.6800793 | colsample_bytree: 0.7982891 | gamma: 2.673288 | reg_alpha: 0.4726588 | reg_lambda: 1.338912	0.36067	13	0	XGBClassifier	ChemBERTa
n_estimators: 900 | max_depth: 10 | learning_rate: 0.04792469 | max_leaves: 12 | subsample: 0.8891389 | colsample_bytree: 0.6567647 | gamma: 2.713427 | reg_alpha: 0.7657685 | reg_lambda: 2.543002	0.34966	14	0	XGBClassifier	ChemBERTa
n_estimators: 650 | max_depth: 10 | learning_rate: 0.02267233 | max_leaves: 4 | subsample: 0.6018802 | colsample_bytree: 0.7074565 | gamma: 3.5704 | reg_alpha: 1.588601 | reg_lambda: 3.288056	0.1832	15	0	XGBClassifier	ChemBERTa
n_estimators: 875 | max_depth: 11 | learning_rate: 0.06193669 | max_leaves: 7 | subsample: 0.7242616 | colsample_bytree: 0.8460386 | gamma: 2.15873 | reg_alpha: 0.970708 | reg_lambda: 1.122906	0.41059	16	0	XGBClassifier	ChemBERTa
n_estimators: 525 | max_depth: 10 | learning_rate: 0.06601112 | max_leaves: 8 | subsample: 0.7307578 | colsample_bytree: 0.834776 | gamma: 2.210686 | reg_alpha: 0.1166225 | reg_lambda: 1.073003	0.3978	17	0	XGBClassifier	ChemBERTa
n_estimators: 400 | max_depth: 8 | learning_rate: 0.07083664 | max_leaves: 8 | subsample: 0.726892 | colsample_bytree: 0.8589431 | gamma: 1.915735 | reg_alpha: 0.0007493868 | reg_lambda: 0.9546197	0.39137	18	0	XGBClassifier	ChemBERTa
n_estimators: 400 | max_depth: 11 | learning_rate: 0.06757203 | max_leaves: 10 | subsample: 0.7233579 | colsample_bytree: 0.8603776 | gamma: 4.302009 | reg_alpha: 2.20404 | reg_lambda: 2.118085	0.31116	19	0	XGBClassifier	ChemBERTa
n_estimators: 625 | max_depth: 8 | learning_rate: 0.06943883 | max_leaves: 7 | subsample: 0.5764285 | colsample_bytree: 0.907328 | gamma: 3.077033 | reg_alpha: 0.9933256 | reg_lambda: 3.201583	0.36959	20	0	XGBClassifier	ChemBERTa
n_estimators: 425 | max_depth: 8 | learning_rate: 0.0992867 | max_leaves: 8 | subsample: 0.7094092 | colsample_bytree: 0.8332334 | gamma: 1.9613 | reg_alpha: 0.1201642 | reg_lambda: 0.9716544	0.41606	21	0	XGBClassifier	ChemBERTa
n_estimators: 350 | max_depth: 9 | learning_rate: 0.08602185 | max_leaves: 8 | subsample: 0.7497221 | colsample_bytree: 0.8300074 | gamma: 2.215792 | reg_alpha: 0.354818 | reg_lambda: 0.9491094	0.38626	22	0	XGBClassifier	ChemBERTa
n_estimators: 525 | max_depth: 11 | learning_rate: 0.06230969 | max_leaves: 10 | subsample: 0.6897678 | colsample_bytree: 0.734126 | gamma: 1.524702 | reg_alpha: 1.252217 | reg_lambda: 1.910021	0.38494	23	0	XGBClassifier	ChemBERTa
n_estimators: 450 | max_depth: 7 | learning_rate: 0.08735272 | max_leaves: 7 | subsample: 0.6115775 | colsample_bytree: 0.8997078 | gamma: 2.173965 | reg_alpha: 0.7095843 | reg_lambda: 1.002671	0.39728	24	0	XGBClassifier	ChemBERTa
n_estimators: 275 | max_depth: 10 | learning_rate: 0.03943556 | max_leaves: 5 | subsample: 0.7168927 | colsample_bytree: 0.8366244 | gamma: 3.078406 | reg_alpha: 0.006044135 | reg_lambda: 0.6399612	0.17996	25	0	XGBClassifier	ChemBERTa
n_estimators: 600 | max_depth: 9 | learning_rate: 0.02492258 | max_leaves: 8 | subsample: 0.7554159 | colsample_bytree: 0.9334467 | gamma: 2.321037 | reg_alpha: 0.8498386 | reg_lambda: 1.450535	0.29824	26	0	XGBClassifier	ChemBERTa
n_estimators: 250 | max_depth: 7 | learning_rate: 0.05741672 | max_leaves: 9 | subsample: 0.6282957 | colsample_bytree: 0.7798376 | gamma: 1.577854 | reg_alpha: 0.3839942 | reg_lambda: 2.180097	0.29582	27	0	XGBClassifier	ChemBERTa
n_estimators: 475 | max_depth: 11 | learning_rate: 0.09623917 | max_leaves: 5 | subsample: 0.5668817 | colsample_bytree: 0.7077919 | gamma: 1.009813 | reg_alpha: 1.240789 | reg_lambda: 2.993371	0.38094	28	0	XGBClassifier	ChemBERTa
n_estimators: 700 | max_depth: 12 | learning_rate: 0.04026437 | max_leaves: 4 | subsample: 0.6911342 | colsample_bytree: 0.7445114 | gamma: 1.807254 | reg_alpha: 1.915945 | reg_lambda: 4.848377	0.29291	29	0	XGBClassifier	ChemBERTa
n_estimators: 475 | max_depth: 8 | learning_rate: 0.07338637 | max_leaves: 11 | subsample: 0.7857546 | colsample_bytree: 0.8243087 | gamma: 2.991926 | reg_alpha: 0.2942408 | reg_lambda: 1.162539	0.37472	30	0	XGBClassifier	ChemBERTa
n_estimators: 425 | max_depth: 7 | learning_rate: 0.07992404 | max_leaves: 7 | subsample: 0.6328107 | colsample_bytree: 0.8945223 | gamma: 2.216763 | reg_alpha: 0.7383758 | reg_lambda: 0.9806536	0.38278	31	0	XGBClassifier	ChemBERTa
n_estimators: 575 | max_depth: 6 | learning_rate: 0.09391982 | max_leaves: 7 | subsample: 0.6027191 | colsample_bytree: 0.9383656 | gamma: 2.114604 | reg_alpha: 0.7302013 | reg_lambda: 0.4054929	0.40648	32	0	XGBClassifier	ChemBERTa
