TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
3335.17731	1004.31383	871.61183	491.63333	0.67105	0.79281	0.32864	0.76856	0.56073	0.51044	0.46467	0.7805	0.63757	0.12527	0.83289	0.26013	0.10671	Total | Total	Weighted	0	XGBClassifier	MACCS
1022.51297	302.57441	277.53798	162.37271	0.67132	0.78652	0.34923	0.77166	0.56787	0.52409	0.48369	0.77902	0.63668	0.13823	0.82631	0.26069	0.10502	Sex | Female	Weighted	0	XGBClassifier	MACCS
842.55562	288.3877	309.73484	167.60468	0.6281	0.7312	0.36756	0.745	0.54938	0.51842	0.48921	0.73804	0.60297	0.09743	0.79005	0.27307	0.13078	Sex | Male	Weighted	0	XGBClassifier	MACCS
1470.10872	413.35172	284.33901	161.65594	0.70049	0.83793	0.28114	0.78054	0.55953	0.48536	0.42102	0.80822	0.66085	0.13049	0.85995	0.24952	0.09138	Sex | Unknown	Weighted	0	XGBClassifier	MACCS
893.27388	252.34287	234.47143	132.99616	0.67826	0.79209	0.34514	0.77973	0.56861	0.52286	0.48079	0.78586	0.63044	0.13943	0.82408	0.26299	0.10829	Age | Adult	Weighted	0	XGBClassifier	MACCS
155.95785	75.84272	53.72343	29.43669	0.58863	0.74379	0.27961	0.67281	0.5117	0.45603	0.40643	0.70652	0.5144	0.02503	0.67246	0.2684	0.13192	Age | Children	Weighted	0	XGBClassifier	MACCS
211.52528	79.7002	79.91472	34.16806	0.60619	0.72579	0.30007	0.72633	0.51293	0.46668	0.42459	0.72606	0.50782	0.02585	0.72838	0.2728	0.17382	Age | Adolescent	Weighted	0	XGBClassifier	MACCS
1466.1361	370.39942	212.76687	128.79195	0.73226	0.87327	0.258	0.79832	0.56564	0.47466	0.39832	0.83411	0.69854	0.15173	0.88305	0.23606	0.06489	Age | Unknown	Weighted	0	XGBClassifier	MACCS
608.2842	226.02862	290.73538	166.24047	0.59981	0.67661	0.42379	0.72908	0.5502	0.53548	0.52116	0.70187	0.58428	0.09656	0.76167	0.28277	0.15025	Age | Elderly	Weighted	0	XGBClassifier	MACCS
291.24338	181.00885	325.38968	183.61797	0.48393	0.47231	0.50358	0.61671	0.48795	0.48769	0.48744	0.53494	0.49008	-0.02332	0.61428	0.28577	0.19865	Weight | Low	Weighted	0	XGBClassifier	MACCS
409.55477	213.38039	259.08477	142.93396	0.53904	0.61252	0.40115	0.65746	0.50683	0.49569	0.48479	0.63419	0.50372	0.01333	0.65793	0.28195	0.17867	Weight | Average	Weighted	0	XGBClassifier	MACCS
2309.97575	417.81377	30.78507	20.20052	0.83856	0.98685	0.04612	0.84683	0.51648	0.21334	0.08812	0.91149	0.61843	0.08951	0.89038	0.22561	0.04952	Weight | Unknown	Weighted	0	XGBClassifier	MACCS
324.40341	192.11082	256.35231	144.88088	0.51134	0.55859	0.42992	0.62806	0.49426	0.49005	0.48588	0.59129	0.50455	-0.01116	0.63906	0.28022	0.17076	Weight | High	Weighted	0	XGBClassifier	MACCS
7031.0	3881.0	2605.0	1798.0	0.57649	0.72966	0.31661	0.64434	0.52313	0.48064	0.4416	0.68435	0.56197	0.04937	0.69243	0.26013	0.15283	Total | Total	Unweighted	0	XGBClassifier	MACCS
2181.0	1185.0	842.0	593.0	0.5778	0.72147	0.33352	0.64795	0.52749	0.49054	0.45617	0.68274	0.55872	0.05801	0.68297	0.26069	0.14861	Sex | Female	Unweighted	0	XGBClassifier	MACCS
1892.0	1130.0	964.0	638.0	0.54715	0.66246	0.36086	0.62608	0.51166	0.48893	0.46722	0.64376	0.53611	0.02382	0.6542	0.27307	0.17446	Sex | Male	Unweighted	0	XGBClassifier	MACCS
2958.0	1566.0	799.0	567.0	0.59847	0.78733	0.26582	0.65385	0.52658	0.45748	0.39745	0.71441	0.58504	0.06053	0.7241	0.24952	0.13932	Sex | Unknown	Unweighted	0	XGBClassifier	MACCS
1876.0	1005.0	691.0	478.0	0.58123	0.73081	0.32232	0.65116	0.52657	0.48534	0.44734	0.68869	0.55452	0.05649	0.68027	0.26299	0.16161	Age | Adult	Unweighted	0	XGBClassifier	MACCS
551.0	333.0	247.0	144.0	0.5451	0.69048	0.30189	0.6233	0.49618	0.45656	0.4201	0.65517	0.48745	-0.00801	0.61711	0.2684	0.15943	Age | Children	Unweighted	0	XGBClassifier	MACCS
596.0	345.0	280.0	169.0	0.55036	0.68037	0.32879	0.63337	0.50458	0.47297	0.44334	0.65603	0.49405	0.00946	0.62493	0.2728	0.16744	Age | Adolescent	Unweighted	0	XGBClassifier	MACCS
