TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
2502.22767	1677.73169	688.66125	826.79155	0.58451	0.78418	0.33012	0.59862	0.55715	0.5088	0.46464	0.67895	0.59749	0.12838	0.64593	0.23931	0.03097	Total | Total	Weighted	0	RandomForestClassifier	CDDD
991.0689	630.73105	287.04854	325.8965	0.58931	0.77541	0.34067	0.61109	0.55804	0.51397	0.47337	0.68352	0.60424	0.12874	0.6633	0.23775	0.03796	Sex | Unknown	Weighted	0	RandomForestClassifier	CDDD
725.65741	516.27196	193.12301	240.98456	0.57674	0.78981	0.31823	0.5843	0.55402	0.50134	0.45367	0.67168	0.58936	0.12273	0.6281	0.24066	0.02239	Sex | Male	Weighted	0	RandomForestClassifier	CDDD
785.50136	530.72868	208.4897	259.91049	0.58579	0.79025	0.32873	0.59678	0.55949	0.50969	0.46432	0.68002	0.59776	0.13434	0.6426	0.23993	0.03231	Sex | Female	Weighted	0	RandomForestClassifier	CDDD
707.87277	428.17466	175.00657	199.83465	0.60078	0.80178	0.3182	0.6231	0.55999	0.5051	0.45559	0.70124	0.6069	0.13691	0.67975	0.23815	0.04529	Age | Adult	Weighted	0	RandomForestClassifier	CDDD
168.53769	132.63737	52.61476	70.24494	0.56312	0.76209	0.34623	0.5596	0.55416	0.51367	0.47615	0.64533	0.57508	0.11928	0.59457	0.24166	0.01806	Age | Adolescent	Weighted	0	RandomForestClassifier	CDDD
905.11112	524.4367	261.95803	300.40457	0.60521	0.77554	0.3642	0.63315	0.56987	0.53146	0.49564	0.69715	0.61818	0.15291	0.68734	0.23596	0.05368	Age | Unknown	Weighted	0	RandomForestClassifier	CDDD
601.00611	469.01604	161.22755	194.32476	0.5579	0.78848	0.29295	0.56168	0.54071	0.48061	0.42718	0.65603	0.5711	0.09387	0.59493	0.244	0.00461	Age | Elderly	Weighted	0	RandomForestClassifier	CDDD
119.69998	123.46692	37.85434	61.98263	0.52968	0.75974	0.33423	0.49225	0.54698	0.50391	0.46423	0.59742	0.57508	0.10309	0.52856	0.24044	0.07381	Age | Children	Weighted	0	RandomForestClassifier	CDDD
372.98012	352.08647	191.99632	232.68866	0.52678	0.66017	0.39791	0.51441	0.52904	0.51253	0.49654	0.57824	0.54543	0.06016	0.53381	0.24657	0.03037	Weight | Average	Weighted	0	RandomForestClassifier	CDDD
341.08105	342.76704	158.26819	205.4763	0.52173	0.68305	0.37479	0.49877	0.52892	0.50597	0.48401	0.57654	0.55414	0.06068	0.53914	0.2467	0.04625	Weight | High	Weighted	0	RandomForestClassifier	CDDD
1483.37422	669.93585	130.78271	107.11104	0.66514	0.91898	0.13784	0.68888	0.52841	0.35591	0.23973	0.78747	0.56579	0.08891	0.72743	0.2276	0.11353	Weight | Unknown	Weighted	0	RandomForestClassifier	CDDD
304.79228	312.94233	207.61403	281.51555	0.5297	0.59483	0.47357	0.4934	0.5342	0.53074	0.52731	0.53939	0.55518	0.06867	0.51332	0.24763	0.04726	Weight | Low	Weighted	0	RandomForestClassifier	CDDD
