Params	Value	Number	Test_Fold	Model	Descriptors
n_estimators: 150 | max_depth: 12 | learning_rate: 0.03322892 | max_leaves: 9 | subsample: 0.832283 | colsample_bytree: 0.7329022 | gamma: 2.575318 | reg_alpha: 2.941254 | reg_lambda: 3.406984	0.51836	0	1	XGBClassifier	Klek
n_estimators: 250 | max_depth: 4 | learning_rate: 0.007839702 | max_leaves: 6 | subsample: 0.9885675 | colsample_bytree: 0.583722 | gamma: 4.141635 | reg_alpha: 0.7671014 | reg_lambda: 0.867037	0.36948	1	1	XGBClassifier	Klek
n_estimators: 250 | max_depth: 5 | learning_rate: 0.006697377 | max_leaves: 9 | subsample: 0.5747333 | colsample_bytree: 0.8676732 | gamma: 0.5365942 | reg_alpha: 0.604471 | reg_lambda: 4.872289	0.44103	2	1	XGBClassifier	Klek
n_estimators: 625 | max_depth: 8 | learning_rate: 0.01145559 | max_leaves: 4 | subsample: 0.6246314 | colsample_bytree: 0.791092 | gamma: 3.538422 | reg_alpha: 3.090924 | reg_lambda: 2.430816	0.49973	3	1	XGBClassifier	Klek
n_estimators: 775 | max_depth: 9 | learning_rate: 0.02242157 | max_leaves: 10 | subsample: 0.6422035 | colsample_bytree: 0.9280212 | gamma: 0.8246988 | reg_alpha: 3.044533 | reg_lambda: 3.882266	0.52991	4	1	XGBClassifier	Klek
n_estimators: 850 | max_depth: 12 | learning_rate: 0.07647776 | max_leaves: 12 | subsample: 0.7623199 | colsample_bytree: 0.6806511 | gamma: 3.627544 | reg_alpha: 4.25925 | reg_lambda: 4.935061	0.53071	5	1	XGBClassifier	Klek
n_estimators: 500 | max_depth: 10 | learning_rate: 0.05603292 | max_leaves: 1 | subsample: 0.7209991 | colsample_bytree: 0.5071326 | gamma: 4.000837 | reg_alpha: 1.40796 | reg_lambda: 2.386778	0.0	6	1	XGBClassifier	Klek
n_estimators: 450 | max_depth: 3 | learning_rate: 0.02676407 | max_leaves: 10 | subsample: 0.8450108 | colsample_bytree: 0.548419 | gamma: 2.292087 | reg_alpha: 4.822767 | reg_lambda: 2.307833	0.51659	7	1	XGBClassifier	Klek
n_estimators: 100 | max_depth: 4 | learning_rate: 0.00826956 | max_leaves: 4 | subsample: 0.8484701 | colsample_bytree: 0.5411485 | gamma: 1.830582 | reg_alpha: 3.990565 | reg_lambda: 0.7384814	0.1328	8	1	XGBClassifier	Klek
n_estimators: 425 | max_depth: 5 | learning_rate: 0.0456677 | max_leaves: 8 | subsample: 0.9356156 | colsample_bytree: 0.9900782 | gamma: 2.551054 | reg_alpha: 3.919206 | reg_lambda: 0.9064363	0.53001	9	1	XGBClassifier	Klek
