TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
979.24046	673.91508	567.98124	957.20422	0.60926	0.6329	0.58684	0.59235	0.60987	0.60944	0.609	0.61195	0.63817	0.21984	0.62043	0.25086	0.06528	Total | Total	Weighted	1	XGBClassifier	Morgan
265.11137	200.23755	172.40705	295.47146	0.60069	0.60594	0.59606	0.5697	0.601	0.60098	0.60096	0.58727	0.62666	0.20161	0.59392	0.25724	0.06846	Sex | Male	Weighted	1	XGBClassifier	Morgan
403.14758	257.69623	221.45915	352.63115	0.612	0.64544	0.57777	0.61005	0.61161	0.61067	0.60974	0.62725	0.64565	0.22375	0.64889	0.24312	0.06068	Sex | Unknown	Weighted	1	XGBClassifier	Morgan
310.98151	215.9813	174.11504	309.10161	0.61383	0.64107	0.58867	0.59014	0.61487	0.61431	0.61376	0.61455	0.63746	0.22978	0.60802	0.25418	0.07905	Sex | Female	Weighted	1	XGBClassifier	Morgan
42.64443	49.2613	60.89215	92.72979	0.55136	0.41188	0.65307	0.464	0.53247	0.51864	0.50516	0.43639	0.53713	0.06627	0.46426	0.28091	0.11661	Age | Adolescent	Weighted	1	XGBClassifier	Morgan
199.25951	161.06365	152.87818	262.745	0.59541	0.56586	0.61996	0.553	0.59291	0.59229	0.59167	0.55936	0.61426	0.1855	0.53564	0.2626	0.07747	Age | Elderly	Weighted	1	XGBClassifier	Morgan
396.54451	215.35736	174.61076	295.85332	0.63971	0.69428	0.57873	0.64805	0.63651	0.63388	0.63126	0.67037	0.68093	0.27495	0.70347	0.22817	0.04211	Age | Unknown	Weighted	1	XGBClassifier	Morgan
303.30671	195.75385	132.72267	241.07556	0.62368	0.69561	0.55188	0.60776	0.62374	0.61959	0.61546	0.64872	0.64089	0.25007	0.62741	0.24985	0.08339	Age | Adult	Weighted	1	XGBClassifier	Morgan
37.4853	52.47892	46.87748	64.80055	0.50726	0.44433	0.55253	0.41667	0.49843	0.49549	0.49256	0.43006	0.50598	-0.00311	0.44189	0.27643	0.12453	Age | Children	Weighted	1	XGBClassifier	Morgan
78.74833	78.67468	172.55038	321.96569	0.61465	0.31337	0.80363	0.50023	0.5585	0.50183	0.45091	0.38534	0.54896	0.13305	0.43219	0.27009	0.08408	Weight | Low	Weighted	1	XGBClassifier	Morgan
713.48874	355.43567	82.96631	82.59245	0.64487	0.89583	0.18856	0.66748	0.54219	0.41099	0.31154	0.76498	0.609	0.11848	0.71544	0.21948	0.03898	Weight | Unknown	Weighted	1	XGBClassifier	Morgan
96.74671	140.3093	157.21933	271.00878	0.55278	0.38094	0.65888	0.40812	0.51991	0.50099	0.48277	0.39406	0.5242	0.0404	0.39812	0.27054	0.11362	Weight | Average	Weighted	1	XGBClassifier	Morgan
90.25668	99.49543	155.24522	281.6373	0.59348	0.36764	0.73895	0.47566	0.55329	0.52122	0.491	0.41473	0.54037	0.11324	0.42484	0.27006	0.09566	Weight | High	Weighted	1	XGBClassifier	Morgan
