Params	Value	Number	Test_Fold	Model	Descriptors
solver_penalty: newton-cholesky:l2 | C: 0.1896681	0.46176	0	1	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.003650504	0.50614	1	1	LogisticRegression	Klek
solver_penalty: newton-cg:l2 | C: 0.008472608	0.29111	2	1	LogisticRegression	Klek
solver_penalty: saga:l2 | C: 0.1443803	0.4585	3	1	LogisticRegression	Klek
solver_penalty: saga:None | C: 1.963458	0.49562	4	1	LogisticRegression	Klek
solver_penalty: newton-cg:l2 | C: 0.8921309	0.48129	5	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 4.4779	0.50207	6	1	LogisticRegression	Klek
solver_penalty: sag:None | C: 0.5617778	0.49768	7	1	LogisticRegression	Klek
solver_penalty: sag:l2 | C: 0.01089236	0.31783	8	1	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.3133601	0.50064	9	1	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.001022496 | l1_ratio: 0.1054929	0.0	10	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 9.36299	0.49364	11	1	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 0.02189747	0.49613	12	1	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 0.04497626	0.41291	13	1	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.001065114	0.49585	14	1	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 4.171809	0.49655	15	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.003893152	0.49916	16	1	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 0.0542109	0.28428	17	1	LogisticRegression	Klek
solver_penalty: saga:l1 | C: 0.003711104	0.0	18	1	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 1.414751	0.49438	19	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.08102024	0.50342	20	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.08034756	0.49698	21	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.02439322	0.49598	22	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.339886	0.5029	23	1	LogisticRegression	Klek
solver_penalty: saga:l2 | C: 0.3272477	0.47001	24	1	LogisticRegression	Klek
solver_penalty: saga:l1 | C: 0.002857161	0.0	25	1	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 0.02125418	0.49606	26	1	LogisticRegression	Klek
solver_penalty: liblinear:l1 | C: 0.3719608	0.43359	27	1	LogisticRegression	Klek
solver_penalty: saga:None | C: 0.1366634	0.49923	28	1	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.07488072 | l1_ratio: 0.9322352	0.32387	29	1	LogisticRegression	Klek
solver_penalty: newton-cholesky:l2 | C: 0.2071284	0.46406	30	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 3.746385	0.5023	31	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 2.495897	0.49524	32	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.8834964	0.49906	33	1	LogisticRegression	Klek
solver_penalty: sag:l2 | C: 7.579966	0.50202	34	1	LogisticRegression	Klek
solver_penalty: lbfgs:l2 | C: 0.007681618	0.28834	35	1	LogisticRegression	Klek
solver_penalty: newton-cg:l2 | C: 0.7914051	0.477	36	1	LogisticRegression	Klek
solver_penalty: sag:None | C: 1.666538	0.48862	37	1	LogisticRegression	Klek
solver_penalty: liblinear:l2 | C: 3.481035	0.49211	38	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.04026931	0.5046	39	1	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.1413561	0.49872	40	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.04958765	0.49178	41	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.0303252	0.50274	42	1	LogisticRegression	Klek
solver_penalty: newton-cholesky:l2 | C: 0.01141879	0.32078	43	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.03108447	0.49526	44	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.2175159	0.49852	45	1	LogisticRegression	Klek
solver_penalty: saga:l2 | C: 0.008929657	0.3006	46	1	LogisticRegression	Klek
solver_penalty: saga:None | C: 0.0149966	0.49736	47	1	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.001728476	0.49787	48	1	LogisticRegression	Klek
solver_penalty: newton-cg:l2 | C: 0.09583942	0.44148	49	1	LogisticRegression	Klek
solver_penalty: sag:None | C: 0.005353748	0.5004	50	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.03286502	0.49655	51	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.48824	0.49406	52	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.06779805	0.5074	53	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.07366981	0.50017	54	1	LogisticRegression	Klek
solver_penalty: sag:l2 | C: 0.03419901	0.39222	55	1	LogisticRegression	Klek
solver_penalty: saga:elasticnet | C: 0.1217693 | l1_ratio: 0.6304696	0.38852	56	1	LogisticRegression	Klek
solver_penalty: lbfgs:None | C: 0.01494804	0.4911	57	1	LogisticRegression	Klek
solver_penalty: newton-cg:None | C: 0.06164851	0.50824	58	1	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.06163156	0.50529	59	1	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.05801316	0.49593	60	1	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.2423435	0.49618	61	1	LogisticRegression	Klek
solver_penalty: newton-cholesky:None | C: 0.1030531	0.49149	62	1	LogisticRegression	Klek
