TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
620.474	877.02082	575.73933	1191.97156	0.55508	0.5187	0.57611	0.41434	0.54741	0.54665	0.5459	0.46068	0.55411	0.09168	0.40488	0.29228	0.17624	Total | Total	Weighted	1	LogisticRegression	Morgan
193.13344	258.89879	177.85489	392.49826	0.57281	0.52059	0.60255	0.42726	0.56157	0.56007	0.55858	0.46933	0.57267	0.11922	0.42103	0.28744	0.16772	Sex | Female	Weighted	1	LogisticRegression	Morgan
250.75165	351.86363	236.77355	471.01469	0.5508	0.51434	0.5724	0.41611	0.54337	0.54259	0.54182	0.46004	0.54339	0.08412	0.39975	0.29163	0.1838	Sex | Unknown	Weighted	1	LogisticRegression	Morgan
176.58891	266.2584	161.11089	328.45861	0.54165	0.52292	0.55229	0.39876	0.53761	0.5374	0.5372	0.45247	0.54871	0.07239	0.3981	0.29814	0.18065	Sex | Male	Weighted	1	LogisticRegression	Morgan
46.97155	63.89892	28.63847	54.02534	0.52186	0.62123	0.45814	0.42366	0.53969	0.53349	0.52736	0.50377	0.57364	0.07829	0.46614	0.28751	0.20556	Age | Children	Weighted	1	LogisticRegression	Morgan
172.20122	232.23009	158.32105	314.71414	0.55491	0.521	0.5754	0.42579	0.5482	0.54753	0.54685	0.4686	0.55531	0.09371	0.41136	0.2915	0.17148	Age | Adult	Weighted	1	LogisticRegression	Morgan
212.1081	302.38855	224.21479	452.38375	0.55788	0.48613	0.59936	0.41226	0.54275	0.53978	0.53684	0.44616	0.53325	0.08315	0.38472	0.29468	0.18875	Age | Unknown	Weighted	1	LogisticRegression	Morgan
50.50882	71.04942	37.90828	73.08255	0.53146	0.57126	0.50705	0.41551	0.53915	0.5382	0.53724	0.48109	0.58037	0.07611	0.50357	0.28353	0.18902	Age | Adolescent	Weighted	1	LogisticRegression	Morgan
138.68431	207.45384	126.65674	297.76578	0.56641	0.52266	0.58938	0.40066	0.55602	0.55502	0.55402	0.4536	0.5666	0.10703	0.39551	0.29497	0.17876	Age | Elderly	Weighted	1	LogisticRegression	Morgan
108.7205	173.10207	97.02758	244.94102	0.56695	0.52842	0.58592	0.38578	0.55717	0.55643	0.55569	0.44597	0.57227	0.10802	0.38581	0.28777	0.18292	Weight | Low	Weighted	1	LogisticRegression	Morgan
105.98702	174.74031	94.29917	230.32263	0.55556	0.52918	0.56861	0.37754	0.54889	0.54854	0.54819	0.44068	0.58169	0.09227	0.39037	0.29264	0.17271	Weight | High	Weighted	1	LogisticRegression	Morgan
121.77134	188.26395	83.10177	252.82927	0.57991	0.59437	0.57319	0.39277	0.58378	0.58369	0.58359	0.47298	0.59368	0.15608	0.38537	0.2823	0.19316	Weight | Average	Weighted	1	LogisticRegression	Morgan
283.99514	340.91449	301.31081	463.87864	0.538	0.48521	0.57639	0.45446	0.5308	0.52884	0.52689	0.46933	0.52243	0.06114	0.43579	0.29996	0.18755	Weight | Unknown	Weighted	1	LogisticRegression	Morgan
