TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
1618.41129	1988.37246	826.50291	1363.14226	0.51438	0.66195	0.40672	0.44871	0.53434	0.51887	0.50386	0.53486	0.54857	0.06995	0.46746	0.24668	0.09221	Total | Total	Weighted	0	RandomForestClassifier	CDDD
524.82365	623.86735	240.53609	408.71122	0.51923	0.68572	0.39582	0.45689	0.54077	0.52098	0.50191	0.54839	0.55469	0.08394	0.4789	0.24604	0.09045	Sex | Female	Weighted	0	RandomForestClassifier	CDDD
456.83933	570.11327	240.1724	391.01236	0.51133	0.65543	0.40683	0.44485	0.53113	0.51638	0.50204	0.52999	0.54926	0.06329	0.46177	0.24649	0.09361	Sex | Male	Weighted	0	RandomForestClassifier	CDDD
636.74831	794.39184	345.79442	563.41868	0.51281	0.64806	0.41495	0.44492	0.5315	0.51857	0.50594	0.52762	0.54306	0.0638	0.46347	0.24735	0.0926	Sex | Unknown	Weighted	0	RandomForestClassifier	CDDD
547.18684	767.22645	331.06485	538.80912	0.49719	0.62304	0.41255	0.4163	0.5178	0.50699	0.49641	0.49911	0.52875	0.03565	0.43147	0.24907	0.10879	Age | Unknown	Weighted	0	RandomForestClassifier	CDDD
326.7685	390.36079	262.11766	412.69227	0.53125	0.55489	0.5139	0.45566	0.5344	0.53401	0.53361	0.50041	0.54355	0.06801	0.46656	0.24903	0.07921	Age | Elderly	Weighted	0	RandomForestClassifier	CDDD
139.74977	133.82826	44.9782	70.57289	0.5405	0.75652	0.34527	0.51082	0.55089	0.51108	0.47414	0.60985	0.57243	0.11124	0.53186	0.24298	0.05349	Age | Adolescent	Weighted	0	RandomForestClassifier	CDDD
105.84181	112.9353	33.69038	73.79049	0.55058	0.75855	0.39518	0.48379	0.57686	0.54751	0.51964	0.59078	0.61975	0.16182	0.54696	0.23906	0.10138	Age | Children	Weighted	0	RandomForestClassifier	CDDD
498.86437	584.02166	154.65182	267.27749	0.50913	0.76335	0.31396	0.46068	0.53866	0.48956	0.44493	0.5746	0.55462	0.08532	0.48149	0.2453	0.09194	Age | Adult	Weighted	0	RandomForestClassifier	CDDD
291.02372	359.12394	122.28457	212.94133	0.51145	0.70413	0.37223	0.44763	0.53818	0.51196	0.48701	0.54732	0.5553	0.07954	0.48025	0.24625	0.10041	Weight | High	Weighted	0	RandomForestClassifier	CDDD
347.93811	394.646	125.81796	222.64687	0.52297	0.73442	0.36068	0.46855	0.54755	0.51468	0.48378	0.57211	0.56324	0.10111	0.49782	0.24538	0.09019	Weight | Average	Weighted	0	RandomForestClassifier	CDDD
289.641	341.3917	150.20683	269.86253	0.5323	0.6585	0.44149	0.459	0.55	0.53919	0.52859	0.54094	0.55897	0.1007	0.47001	0.2471	0.09177	Weight | Low	Weighted	0	RandomForestClassifier	CDDD
689.80846	893.21082	428.19355	657.69153	0.50489	0.617	0.42407	0.43575	0.52054	0.51152	0.50266	0.51078	0.53342	0.04125	0.44745	0.24733	0.09084	Weight | Unknown	Weighted	0	RandomForestClassifier	CDDD
5776.0	4037.0	2931.0	2527.0	0.54371	0.66337	0.38498	0.58861	0.52418	0.50536	0.48721	0.62376	0.53877	0.04995	0.60685	0.24668	0.05297	Total | Total	Unweighted	0	RandomForestClassifier	CDDD
1865.0	1276.0	891.0	755.0	0.54732	0.67671	0.37174	0.59376	0.52422	0.50155	0.47987	0.63253	0.5411	0.05041	0.61607	0.24604	0.05638	Sex | Female	Unweighted	0	RandomForestClassifier	CDDD
1752.0	1211.0	883.0	765.0	0.54587	0.6649	0.38715	0.59129	0.52602	0.50736	0.48936	0.62594	0.54078	0.05374	0.60718	0.24649	0.05414	Sex | Male	Unweighted	0	RandomForestClassifier	CDDD
2159.0	1550.0	1157.0	1007.0	0.53908	0.65109	0.39382	0.5821	0.52245	0.50637	0.49078	0.61466	0.53481	0.04616	0.59917	0.24735	0.0493	Sex | Unknown	Unweighted	0	RandomForestClassifier	CDDD
1689.0	1364.0	1038.0	913.0	0.51998	0.61936	0.40097	0.55323	0.51016	0.49834	0.48679	0.58443	0.52067	0.02076	0.56847	0.24907	0.03276	Age | Unknown	Unweighted	0	RandomForestClassifier	CDDD
1075.0	794.0	915.0	787.0	0.52142	0.5402	0.49779	0.57517	0.51899	0.51856	0.51813	0.55714	0.52678	0.03778	0.59184	0.24903	0.0539	Age | Elderly	Unweighted	0	RandomForestClassifier	CDDD
663.0	365.0	208.0	149.0	0.58628	0.76119	0.28988	0.64494	0.52554	0.46974	0.41987	0.69826	0.53925	0.05641	0.65087	0.24298	0.09997	Age | Adolescent	Unweighted	0	RandomForestClassifier	CDDD
616.0	313.0	180.0	164.0	0.61273	0.77387	0.34382	0.66308	0.55884	0.51582	0.47611	0.7142	0.59181	0.12828	0.70208	0.23906	0.09773	Age | Children	Unweighted	0	RandomForestClassifier	CDDD
1733.0	1201.0	590.0	514.0	0.55646	0.74602	0.29971	0.59066	0.52286	0.47285	0.42762	0.65931	0.53615	0.05071	0.60789	0.2453	0.04811	Age | Adult	Unweighted	0	RandomForestClassifier	CDDD
1099.0	795.0	503.0	442.0	0.5428	0.68602	0.35732	0.58025	0.52167	0.4951	0.46989	0.62872	0.53778	0.0456	0.60542	0.24625	0.04205	Weight | High	Unweighted	0	RandomForestClassifier	CDDD
1314.0	899.0	513.0	441.0	0.55415	0.71921	0.3291	0.59376	0.52416	0.48651	0.45157	0.6505	0.54179	0.05203	0.6216	0.24538	0.0496	Weight | Average	Unweighted	0	RandomForestClassifier	CDDD
1173.0	819.0	654.0	570.0	0.54198	0.64204	0.41037	0.58886	0.5262	0.51329	0.5007	0.6143	0.54211	0.05346	0.60723	0.2471	0.05431	Weight | Low	Unweighted	0	RandomForestClassifier	CDDD
2190.0	1524.0	1261.0	1074.0	0.53959	0.6346	0.41339	0.58966	0.524	0.51219	0.50065	0.6113	0.53766	0.0488	0.60173	0.24733	0.05914	Weight | Unknown	Unweighted	0	RandomForestClassifier	CDDD
391.61511	595.29167	804.59822	1473.70071	0.57127	0.32738	0.71228	0.39681	0.51983	0.48289	0.44858	0.35877	0.53864	0.04161	0.42158	0.25153	0.10641	Total | Total	Weighted	1	RandomForestClassifier	CDDD
130.68394	178.85429	240.30439	472.54276	0.59002	0.35226	0.72543	0.42219	0.53884	0.50551	0.47424	0.38407	0.57265	0.0813	0.44296	0.24878	0.11181	Sex | Female	Weighted	1	RandomForestClassifier	CDDD
156.41936	242.91752	331.10584	579.9608	0.56195	0.32084	0.7048	0.3917	0.51282	0.47553	0.44095	0.35275	0.52628	0.02692	0.41892	0.25225	0.10022	Sex | Unknown	Weighted	1	RandomForestClassifier	CDDD
104.51181	173.51986	233.18799	421.19715	0.56381	0.30948	0.70823	0.3759	0.50886	0.46817	0.43074	0.33947	0.51999	0.01861	0.40645	0.25347	0.10975	Sex | Male	Weighted	1	RandomForestClassifier	CDDD
114.53346	161.01896	215.98881	385.92527	0.57035	0.34652	0.7056	0.41565	0.52606	0.49448	0.46479	0.37795	0.53895	0.05442	0.43192	0.25272	0.09928	Age | Adult	Weighted	1	RandomForestClassifier	CDDD
40.54771	44.69612	47.86939	99.43585	0.60195	0.4586	0.68989	0.47567	0.57425	0.56248	0.55095	0.46698	0.58733	0.14959	0.48162	0.24849	0.10074	Age | Adolescent	Weighted	1	RandomForestClassifier	CDDD
75.16707	128.09407	190.17398	377.12555	0.58697	0.28328	0.74646	0.36981	0.51487	0.45985	0.4107	0.32081	0.53397	0.03207	0.41035	0.24946	0.13302	Age | Elderly	Weighted	1	RandomForestClassifier	CDDD
26.3361	45.94193	49.27392	71.98233	0.50802	0.34831	0.61041	0.36437	0.47936	0.4611	0.44354	0.35616	0.51365	-0.04163	0.41288	0.25242	0.08937	Age | Children	Weighted	1	RandomForestClassifier	CDDD
135.03077	215.54059	301.29212	539.23171	0.56609	0.30947	0.71443	0.38517	0.51195	0.47021	0.43187	0.3432	0.53165	0.02527	0.41322	0.25267	0.09937	Age | Unknown	Weighted	1	RandomForestClassifier	CDDD
