TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
810.90555	1136.194	435.9472	552.96571	0.46453	0.65036	0.32736	0.41647	0.48886	0.46141	0.43551	0.50778	0.47295	-0.0233	0.39785	0.2523	0.09659	Total | Total	Weighted	3	RandomForestClassifier	ChemBERTa
224.71149	327.51	131.19412	169.75045	0.46235	0.63138	0.34137	0.40692	0.48638	0.46426	0.44315	0.49489	0.47524	-0.02812	0.39392	0.25132	0.10178	Sex | Male	Weighted	3	RandomForestClassifier	ChemBERTa
247.84723	363.4771	127.5987	152.5519	0.44914	0.66014	0.29563	0.40543	0.47788	0.44176	0.40837	0.50234	0.46815	-0.04705	0.39652	0.25288	0.10717	Sex | Female	Weighted	3	RandomForestClassifier	ChemBERTa
338.34683	445.2069	177.15438	230.66336	0.47761	0.65635	0.34128	0.43181	0.49881	0.47329	0.44906	0.52091	0.47497	-0.00248	0.40374	0.2526	0.08782	Sex | Unknown	Weighted	3	RandomForestClassifier	ChemBERTa
173.84666	264.4233	124.17767	166.02973	0.46656	0.58333	0.38571	0.39667	0.48452	0.47434	0.46437	0.47222	0.45718	-0.03109	0.37402	0.25604	0.10327	Age | Elderly	Weighted	3	RandomForestClassifier	ChemBERTa
278.98867	416.6188	180.35825	234.1991	0.46226	0.60736	0.35985	0.40107	0.48361	0.4675	0.45194	0.48312	0.47199	-0.03338	0.38988	0.25407	0.10395	Age | Unknown	Weighted	3	RandomForestClassifier	ChemBERTa
58.20588	57.04045	16.39366	13.02757	0.49239	0.78024	0.18593	0.50506	0.48309	0.38088	0.3003	0.61319	0.48608	-0.042	0.48996	0.24342	0.07689	Age | Children	Weighted	3	RandomForestClassifier	ChemBERTa
61.49679	82.5916	22.34163	19.66401	0.43613	0.73352	0.1923	0.4268	0.46291	0.37558	0.30472	0.53962	0.42431	-0.08829	0.40149	0.25138	0.12999	Age | Adolescent	Weighted	3	RandomForestClassifier	ChemBERTa
238.36755	315.51985	92.67599	120.0453	0.46753	0.72005	0.27561	0.43035	0.49783	0.44548	0.39863	0.53873	0.48236	-0.0048	0.41019	0.2495	0.09646	Age | Adult	Weighted	3	RandomForestClassifier	ChemBERTa
144.26761	225.79767	65.54255	87.1458	0.44268	0.68761	0.27847	0.38984	0.48304	0.43758	0.3964	0.49758	0.4709	-0.03656	0.37449	0.25303	0.12456	Weight | High	Weighted	3	RandomForestClassifier	ChemBERTa
142.41037	207.00186	79.16817	95.82134	0.45429	0.64271	0.31643	0.40757	0.47957	0.45097	0.42407	0.49882	0.43706	-0.04281	0.37569	0.25639	0.11475	Weight | Low	Weighted	3	RandomForestClassifier	ChemBERTa
168.62417	223.53988	73.20809	78.52971	0.45441	0.69728	0.25997	0.42998	0.47862	0.42576	0.37874	0.53194	0.45213	-0.04737	0.41167	0.25159	0.11345	Weight | Average	Weighted	3	RandomForestClassifier	ChemBERTa
355.6034	479.85459	218.02839	291.46886	0.48111	0.61992	0.37788	0.42564	0.4989	0.484	0.46954	0.50473	0.49651	-0.00225	0.41708	0.25006	0.08718	Weight | Unknown	Weighted	3	RandomForestClassifier	ChemBERTa
2939.0	2278.0	1502.0	1044.0	0.51307	0.66179	0.31427	0.56335	0.48803	0.45605	0.42616	0.60861	0.47921	-0.02523	0.55341	0.2523	0.07073	Total | Total	Unweighted	3	RandomForestClassifier	ChemBERTa
875.0	653.0	475.0	334.0	0.51733	0.64815	0.3384	0.57264	0.49327	0.46833	0.44465	0.60806	0.49059	-0.01397	0.56932	0.25132	0.07259	Sex | Male	Unweighted	3	RandomForestClassifier	ChemBERTa
945.0	754.0	458.0	299.0	0.50651	0.67356	0.28395	0.55621	0.47875	0.43733	0.39949	0.60928	0.4693	-0.04554	0.55036	0.25288	0.06856	Sex | Female	Unweighted	3	RandomForestClassifier	ChemBERTa
1119.0	871.0	569.0	411.0	0.51515	0.66291	0.32059	0.56231	0.49175	0.46101	0.43218	0.60848	0.47894	-0.01737	0.54549	0.2526	0.07106	Sex | Unknown	Unweighted	3	RandomForestClassifier	ChemBERTa
620.0	556.0	427.0	337.0	0.4933	0.59217	0.37738	0.52721	0.48477	0.47273	0.46098	0.5578	0.46222	-0.03106	0.511	0.25604	0.05278	Age | Elderly	Unweighted	3	RandomForestClassifier	ChemBERTa
862.0	729.0	535.0	394.0	0.49841	0.61704	0.35085	0.5418	0.48394	0.46528	0.44734	0.57697	0.47634	-0.03309	0.53503	0.25407	0.06168	Age | Unknown	Unweighted	3	RandomForestClassifier	ChemBERTa
310.0	171.0	92.0	37.0	0.56885	0.77114	0.17788	0.64449	0.47451	0.37037	0.28908	0.70215	0.48635	-0.05917	0.64264	0.24342	0.1365	Age | Children	Unweighted	3	RandomForestClassifier	ChemBERTa
300.0	217.0	110.0	47.0	0.51484	0.73171	0.17803	0.58027	0.45487	0.36092	0.28638	0.64725	0.42979	-0.10423	0.56759	0.25138	0.09604	Age | Adolescent	Unweighted	3	RandomForestClassifier	ChemBERTa
847.0	605.0	338.0	229.0	0.53294	0.71477	0.27458	0.58333	0.49467	0.44301	0.39675	0.6424	0.49043	-0.01167	0.57581	0.2495	0.07625	Age | Adult	Unweighted	3	RandomForestClassifier	ChemBERTa
602.0	461.0	276.0	177.0	0.51385	0.68565	0.27743	0.56632	0.48154	0.43614	0.39502	0.6203	0.47446	-0.03982	0.55494	0.25303	0.08718	Weight | High	Unweighted	3	RandomForestClassifier	ChemBERTa
602.0	492.0	326.0	213.0	0.49908	0.64871	0.30213	0.55027	0.47542	0.44271	0.41225	0.59545	0.4479	-0.05179	0.52934	0.25639	0.07699	Weight | Low	Unweighted	3	RandomForestClassifier	ChemBERTa
686.0	515.0	301.0	188.0	0.51716	0.69504	0.26743	0.57119	0.48123	0.43113	0.38624	0.62706	0.46964	-0.0408	0.56516	0.25159	0.0793	Weight | Average	Unweighted	3	RandomForestClassifier	ChemBERTa
1049.0	810.0	599.0	466.0	0.51813	0.63653	0.3652	0.56428	0.50087	0.48214	0.46412	0.59823	0.50502	0.00179	0.5646	0.25006	0.05557	Weight | Unknown	Unweighted	3	RandomForestClassifier	ChemBERTa
1522.94328	1975.00556	921.97092	1376.50916	0.50021	0.6229	0.41071	0.43538	0.51681	0.5058	0.49503	0.51253	0.52753	0.03394	0.43485	0.25053	0.09479	Total | Total	Weighted	0	RandomForestClassifier	ChemBERTa
446.28758	564.62803	250.72415	396.4976	0.50827	0.64029	0.41253	0.44147	0.52641	0.51395	0.50178	0.52261	0.53402	0.05345	0.43503	0.25071	0.09816	Sex | Male	Weighted	0	RandomForestClassifier	ChemBERTa
588.48532	799.84481	394.05741	557.96571	0.48986	0.59894	0.41093	0.42388	0.50494	0.49611	0.48743	0.49643	0.51923	0.00992	0.4301	0.2513	0.09448	Sex | Unknown	Weighted	0	RandomForestClassifier	ChemBERTa
488.17038	610.53272	277.18936	422.04585	0.50626	0.63783	0.40873	0.44432	0.52328	0.51059	0.4982	0.52377	0.53201	0.04722	0.44336	0.24942	0.09212	Sex | Female	Weighted	0	RandomForestClassifier	ChemBERTa
101.44434	133.63045	38.08785	53.09534	0.47367	0.72703	0.28435	0.43154	0.50569	0.45468	0.40881	0.5416	0.502	0.01255	0.41694	0.2451	0.10879	Age | Children	Weighted	0	RandomForestClassifier	ChemBERTa
503.97105	731.44753	374.28064	574.58804	0.49378	0.57383	0.43995	0.40794	0.50689	0.50245	0.49805	0.47687	0.52034	0.01363	0.40875	0.25385	0.10924	Age | Unknown	Weighted	0	RandomForestClassifier	ChemBERTa
315.98069	391.25919	272.90547	411.79387	0.52285	0.53657	0.51279	0.44678	0.52468	0.52454	0.52441	0.48758	0.53551	0.04878	0.44044	0.25266	0.07857	Age | Elderly	Weighted	0	RandomForestClassifier	ChemBERTa
131.16415	132.10499	53.56382	72.29616	0.52286	0.71004	0.3537	0.49821	0.53187	0.50114	0.47218	0.58556	0.52577	0.06804	0.47091	0.24216	0.05491	Age | Adolescent	Weighted	0	RandomForestClassifier	ChemBERTa
