TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
507.31137	719.83242	1937.60283	2631.6823	0.54154	0.2075	0.78522	0.41341	0.49636	0.40365	0.32825	0.27631	0.49373	-0.0088	0.41165	0.27243	0.07412	Total | Total	Weighted	0	RandomForestClassifier	Morgan
135.24719	214.14258	561.76454	746.98305	0.53206	0.19404	0.7772	0.3871	0.48562	0.38834	0.31055	0.2585	0.47596	-0.03482	0.39878	0.27367	0.08642	Sex | Male	Weighted	0	RandomForestClassifier	Morgan
165.84575	224.85569	599.51399	807.72288	0.54149	0.21669	0.78224	0.42448	0.49946	0.41171	0.33937	0.28692	0.49912	-0.00128	0.41985	0.27293	0.07051	Sex | Female	Weighted	0	RandomForestClassifier	Morgan
206.21843	280.83415	776.3243	1076.97637	0.54829	0.20988	0.79317	0.4234	0.50153	0.40801	0.33193	0.28065	0.50209	0.00371	0.416	0.27105	0.06817	Sex | Unknown	Weighted	0	RandomForestClassifier	Morgan
160.26474	213.63949	493.25145	637.65966	0.53025	0.24523	0.74904	0.42863	0.49714	0.42859	0.3695	0.31197	0.49393	-0.00656	0.42119	0.27221	0.07168	Age | Adult	Weighted	0	RandomForestClassifier	Morgan
52.50384	43.78261	132.22413	160.61854	0.54769	0.28422	0.7858	0.54529	0.53501	0.47259	0.41745	0.37367	0.56394	0.08103	0.54756	0.27079	0.04205	Age | Adolescent	Weighted	0	RandomForestClassifier	Morgan
166.72824	261.55115	711.52345	1044.48442	0.55451	0.18984	0.79974	0.3893	0.49479	0.38964	0.30684	0.25522	0.48792	-0.01287	0.39048	0.26952	0.08133	Age | Unknown	Weighted	0	RandomForestClassifier	Morgan
34.65853	42.9337	104.87366	143.79209	0.54696	0.24839	0.77007	0.44668	0.50923	0.43735	0.37562	0.31925	0.51498	0.02145	0.44917	0.2748	0.06893	Age | Children	Weighted	0	RandomForestClassifier	Morgan
93.15602	157.92547	495.73014	645.12759	0.5304	0.15819	0.80334	0.37102	0.48077	0.35648	0.26433	0.22181	0.47403	-0.04942	0.39676	0.27656	0.09033	Age | Elderly	Weighted	0	RandomForestClassifier	Morgan
97.10526	125.90161	342.74257	485.35262	0.55414	0.22077	0.79403	0.43544	0.5074	0.41869	0.34548	0.29299	0.4954	0.01785	0.41539	0.27733	0.09957	Weight | Low	Weighted	0	RandomForestClassifier	Morgan
90.84326	155.56899	322.46503	416.49628	0.51487	0.2198	0.72806	0.36866	0.47393	0.40003	0.33766	0.2754	0.47722	-0.05942	0.39305	0.27652	0.11305	Weight | High	Weighted	0	RandomForestClassifier	Morgan
124.22086	179.2028	349.53521	438.09007	0.51539	0.2622	0.7097	0.4094	0.48595	0.43138	0.38293	0.31967	0.47883	-0.03108	0.40833	0.27894	0.10133	Weight | Average	Weighted	0	RandomForestClassifier	Morgan
195.14199	259.15902	922.86002	1291.74333	0.55711	0.17455	0.8329	0.42954	0.50372	0.38129	0.28861	0.24822	0.5136	0.00977	0.42561	0.2645	0.03859	Weight | Unknown	Weighted	0	RandomForestClassifier	Morgan
1914.0	1487.0	6793.0	5077.0	0.4578	0.21982	0.77346	0.56278	0.49664	0.41234	0.34235	0.31615	0.4943	-0.00799	0.56339	0.27243	0.14495	Total | Total	Unweighted	0	RandomForestClassifier	Morgan
552.0	465.0	2083.0	1511.0	0.44741	0.20949	0.76468	0.54277	0.48708	0.40024	0.32888	0.3023	0.48663	-0.03084	0.56028	0.27367	0.14794	Sex | Male	Unweighted	0	RandomForestClassifier	Morgan
636.0	462.0	2120.0	1569.0	0.46062	0.23077	0.77253	0.57923	0.50165	0.42223	0.35538	0.33005	0.49519	0.00387	0.57074	0.27293	0.14935	Sex | Female	Unweighted	0	RandomForestClassifier	Morgan
726.0	560.0	2590.0	1997.0	0.46365	0.21894	0.78099	0.56454	0.49997	0.41351	0.342	0.31551	0.49962	-8e-05	0.56092	0.27105	0.13901	Sex | Unknown	Unweighted	0	RandomForestClassifier	Morgan
576.0	439.0	1747.0	1276.0	0.45864	0.24796	0.74402	0.56749	0.49599	0.42952	0.37195	0.34512	0.49597	-0.00914	0.56571	0.27221	0.14774	Age | Adult	Unweighted	0	RandomForestClassifier	Morgan
240.0	138.0	631.0	376.0	0.44477	0.27555	0.73152	0.63492	0.50353	0.44896	0.40031	0.38431	0.51999	0.00766	0.65953	0.27079	0.18354	Age | Adolescent	Unweighted	0	RandomForestClassifier	Morgan
550.0	474.0	2177.0	1803.0	0.47022	0.20169	0.79183	0.53711	0.49676	0.39963	0.32149	0.29326	0.49099	-0.008	0.53727	0.26952	0.1243	Age | Unknown	Unweighted	0	RandomForestClassifier	Morgan
208.0	110.0	588.0	367.0	0.45169	0.26131	0.76939	0.65409	0.51535	0.44838	0.39012	0.37343	0.51664	0.03433	0.64668	0.2748	0.18917	Age | Children	Unweighted	0	RandomForestClassifier	Morgan
340.0	326.0	1650.0	1255.0	0.44665	0.17085	0.7938	0.51051	0.48233	0.36827	0.28119	0.25602	0.47299	-0.04507	0.53282	0.27656	0.15209	Age | Elderly	Unweighted	0	RandomForestClassifier	Morgan
396.0	288.0	1431.0	1101.0	0.46549	0.21675	0.79266	0.57895	0.5047	0.4145	0.34041	0.31541	0.49436	0.01139	0.57042	0.27733	0.15464	Weight | Low	Unweighted	0	RandomForestClassifier	Morgan
