TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
319.41778	528.80916	876.79555	1540.18322	0.56952	0.26702	0.74441	0.37657	0.50572	0.44584	0.39306	0.31247	0.51447	0.01257	0.36774	0.27672	0.10002	Total | Total	Weighted	1	XGBClassifier	Klek
129.13741	210.97676	358.38779	611.90156	0.5655	0.26488	0.74361	0.37969	0.50425	0.44381	0.39062	0.31206	0.50527	0.00937	0.36849	0.27667	0.1054	Sex | Unknown	Weighted	1	XGBClassifier	Klek
88.94245	146.93293	248.75735	447.78408	0.57563	0.26338	0.75294	0.37707	0.50816	0.44532	0.39025	0.31013	0.51243	0.01804	0.3657	0.27844	0.1003	Sex | Male	Weighted	1	XGBClassifier	Klek
101.33792	170.89947	269.65041	480.49758	0.5691	0.27316	0.73764	0.37224	0.5054	0.44888	0.39868	0.31509	0.52836	0.01175	0.37109	0.27513	0.093	Sex | Female	Weighted	1	XGBClassifier	Klek
61.11567	105.90063	204.22538	399.31899	0.59753	0.23033	0.79039	0.36593	0.51036	0.42667	0.35671	0.28271	0.51898	0.02389	0.35515	0.26975	0.09064	Age | Elderly	Weighted	1	XGBClassifier	Klek
27.87645	46.67145	60.54065	97.46052	0.53897	0.31528	0.67619	0.37394	0.49574	0.46173	0.43005	0.34212	0.5191	-0.00887	0.39919	0.28424	0.1184	Age | Adolescent	Weighted	1	XGBClassifier	Klek
30.1186	48.02762	45.49142	69.89664	0.51678	0.39834	0.59272	0.38541	0.49553	0.48591	0.47647	0.39177	0.49677	-0.00888	0.40818	0.27158	0.14198	Age | Children	Weighted	1	XGBClassifier	Klek
95.02695	149.49978	235.49532	397.44445	0.56124	0.28751	0.72666	0.38862	0.50708	0.45708	0.412	0.3305	0.50904	0.01531	0.36742	0.28121	0.10383	Age | Adult	Weighted	1	XGBClassifier	Klek
105.28011	178.70968	331.04278	576.06262	0.57203	0.24129	0.76323	0.37072	0.50226	0.42914	0.36666	0.29232	0.5108	0.00511	0.36583	0.27721	0.10016	Age | Unknown	Weighted	1	XGBClassifier	Klek
152.3101	229.25701	432.99585	575.53612	0.52359	0.26022	0.71514	0.39917	0.48768	0.43139	0.38159	0.31506	0.47659	-0.02726	0.40946	0.28443	0.13047	Weight | Unknown	Weighted	1	XGBClassifier	Klek
52.37176	86.52958	153.37632	331.51351	0.61541	0.25454	0.79301	0.37704	0.52378	0.44928	0.38538	0.30391	0.55757	0.05374	0.37253	0.27128	0.09926	Weight | Low	Weighted	1	XGBClassifier	Klek
51.40122	94.74566	148.88497	310.31728	0.59754	0.25664	0.7661	0.35171	0.51137	0.44341	0.38448	0.29675	0.54031	0.025	0.33951	0.27351	0.10683	Weight | High	Weighted	1	XGBClassifier	Klek
63.3347	118.27691	141.53841	322.81631	0.59779	0.30914	0.73186	0.34874	0.5205	0.47565	0.43467	0.32775	0.53172	0.04244	0.31759	0.27114	0.12832	Weight | Average	Weighted	1	XGBClassifier	Klek
1101.0	988.0	2847.0	2784.0	0.50324	0.27888	0.73807	0.52705	0.50847	0.45368	0.4048	0.36475	0.51307	0.01907	0.51681	0.27672	0.14625	Total | Total	Unweighted	1	XGBClassifier	Klek
429.0	377.0	1089.0	1070.0	0.50556	0.28261	0.73946	0.53226	0.51103	0.45714	0.40893	0.36919	0.51189	0.0248	0.51681	0.27667	0.14662	Sex | Unknown	Unweighted	1	XGBClassifier	Klek
329.0	291.0	868.0	841.0	0.50236	0.27485	0.74293	0.53065	0.50889	0.45188	0.40126	0.36214	0.5065	0.02011	0.52024	0.27844	0.15176	Sex | Male	Unweighted	1	XGBClassifier	Klek
343.0	320.0	890.0	873.0	0.50124	0.27818	0.73177	0.51735	0.50498	0.45118	0.40312	0.36181	0.52079	0.01116	0.51576	0.27513	0.14149	Sex | Female	Unweighted	1	XGBClassifier	Klek
212.0	210.0	634.0	742.0	0.53059	0.25059	0.77941	0.50237	0.515	0.44194	0.37925	0.33438	0.51261	0.03533	0.48349	0.26975	0.12168	Age | Elderly	Unweighted	1	XGBClassifier	Klek
126.0	98.0	275.0	214.0	0.47686	0.31421	0.6859	0.5625	0.50006	0.46424	0.43099	0.4032	0.50289	0.00012	0.57501	0.28424	0.17858	Age | Adolescent	Unweighted	1	XGBClassifier	Klek
138.0	125.0	208.0	171.0	0.48131	0.39884	0.5777	0.52471	0.48827	0.48001	0.47189	0.4532	0.4868	-0.02377	0.55301	0.27158	0.13466	Age | Children	Unweighted	1	XGBClassifier	Klek
312.0	259.0	768.0	716.0	0.50024	0.28889	0.73436	0.54641	0.51162	0.4606	0.41466	0.37795	0.50948	0.02592	0.51903	0.28121	0.1609	Age | Adult	Unweighted	1	XGBClassifier	Klek
313.0	296.0	962.0	941.0	0.4992	0.24549	0.76071	0.51396	0.5031	0.43214	0.37119	0.33227	0.51634	0.00723	0.50985	0.27721	0.14766	Age | Unknown	Unweighted	1	XGBClassifier	Klek
450.0	378.0	1167.0	955.0	0.47627	0.27829	0.71643	0.54348	0.49736	0.44652	0.40087	0.3681	0.49026	-0.00585	0.54643	0.28443	0.16272	Weight | Unknown	Unweighted	1	XGBClassifier	Klek
222.0	186.0	607.0	654.0	0.52487	0.26779	0.77857	0.54412	0.52318	0.45661	0.39851	0.35893	0.54156	0.05394	0.52901	0.27128	0.15479	Weight | Low	Unweighted	1	XGBClassifier	Klek
206.0	190.0	558.0	575.0	0.51079	0.26963	0.75163	0.5202	0.51063	0.45018	0.39689	0.35517	0.52283	0.02427	0.50424	0.27351	0.13544	Weight | High	Unweighted	1	XGBClassifier	Klek
