TP	FP	FN	TN	Accuracy	Recall	Specificity	Precision	Balanced Accuracy	GeomRS	HarmRS	F1 Score	ROC AUC	MCC	PRC AUC	Brier	ECE	Kind	Series	Test_Fold	Model	Descriptors
464.47168	654.36463	731.74165	1414.62775	0.57549	0.38828	0.68373	0.41514	0.53601	0.51525	0.49529	0.40126	0.54962	0.07311	0.39655	0.26223	0.09732	Total | Total	Weighted	1	XGBClassifier	RDKit
120.54765	185.54305	217.15215	409.17396	0.56812	0.35697	0.68801	0.39383	0.52249	0.49558	0.47005	0.37449	0.54071	0.04604	0.3738	0.26546	0.0961	Sex | Male	Weighted	1	XGBClassifier	RDKit
190.51169	260.20289	297.01351	562.67543	0.57477	0.39077	0.68379	0.42269	0.53728	0.51692	0.49733	0.4061	0.54384	0.07587	0.4033	0.26255	0.10041	Sex | Unknown	Weighted	1	XGBClassifier	RDKit
153.41234	208.61869	217.57599	442.77836	0.58314	0.41352	0.67974	0.42375	0.54663	0.53018	0.51422	0.41858	0.56655	0.09376	0.41368	0.25873	0.09542	Sex | Female	Weighted	1	XGBClassifier	RDKit
50.37628	52.7897	38.04082	91.34227	0.60941	0.56976	0.63374	0.4883	0.60175	0.6009	0.60005	0.52589	0.62552	0.19884	0.45212	0.25481	0.12142	Age | Adolescent	Weighted	1	XGBClassifier	RDKit
52.65567	66.93991	22.95435	50.98435	0.53551	0.69641	0.43235	0.44028	0.56438	0.54872	0.53349	0.53949	0.54419	0.12929	0.39705	0.2654	0.16099	Age | Children	Weighted	1	XGBClassifier	RDKit
137.98103	216.07284	298.34186	538.69946	0.56812	0.31624	0.71372	0.38972	0.51498	0.47508	0.43828	0.34915	0.53066	0.03158	0.38873	0.26686	0.10132	Age | Unknown	Weighted	1	XGBClassifier	RDKit
81.91204	135.74775	183.42901	369.47187	0.58579	0.3087	0.73131	0.37633	0.52001	0.47514	0.43415	0.33918	0.53632	0.04223	0.35499	0.26347	0.11086	Age | Elderly	Weighted	1	XGBClassifier	RDKit
141.54666	182.81443	188.97561	364.1298	0.57629	0.42825	0.66575	0.43639	0.547	0.53396	0.52122	0.43228	0.56368	0.09436	0.4284	0.25706	0.09361	Age | Adult	Weighted	1	XGBClassifier	RDKit
80.38109	112.44881	125.36699	305.59428	0.61876	0.39068	0.73101	0.41685	0.56084	0.53441	0.50921	0.40334	0.59504	0.1238	0.39078	0.25811	0.09794	Weight | Low	Weighted	1	XGBClassifier	RDKit
88.84303	117.34479	111.44316	287.71815	0.62206	0.44358	0.7103	0.43088	0.57694	0.56132	0.54612	0.43714	0.58934	0.15278	0.40206	0.25424	0.11695	Weight | High	Weighted	1	XGBClassifier	RDKit
99.62173	146.01227	105.25138	295.08095	0.61103	0.48626	0.66898	0.40557	0.57762	0.57035	0.56317	0.44226	0.5953	0.14882	0.37425	0.25542	0.14441	Weight | Average	Weighted	1	XGBClassifier	RDKit
195.62583	278.55876	389.68012	526.23437	0.51929	0.33423	0.65388	0.41255	0.49405	0.46749	0.44235	0.36928	0.4894	-0.01239	0.41528	0.27232	0.11954	Weight | Unknown	Weighted	1	XGBClassifier	RDKit
1482.0	1228.0	2466.0	2544.0	0.5215	0.37538	0.67444	0.54686	0.52491	0.50316	0.48231	0.44518	0.53343	0.05218	0.53337	0.26223	0.09192	Total | Total	Unweighted	1	XGBClassifier	RDKit
431.0	363.0	766.0	769.0	0.51524	0.36007	0.67933	0.54282	0.5197	0.49457	0.47067	0.43295	0.52488	0.04154	0.52187	0.26546	0.10983	Sex | Male	Unweighted	1	XGBClassifier	RDKit
570.0	471.0	948.0	976.0	0.52142	0.37549	0.6745	0.54755	0.525	0.50326	0.48242	0.44549	0.53128	0.05235	0.53414	0.26255	0.0914	Sex | Unknown	Unweighted	1	XGBClassifier	RDKit
