null_hypothesis	null_rejected	outcome	effect_size	w_stat	p_value	r_stat	Metric	p_value_adj	null_rejected_adj
Demographics == Structure	False	Demographics == Structure	Large	0.0	0.0625	-1.0	Recall	1.0	False
Demographics == Combined	False	Demographics == Combined	Large	0.0	0.0625	-1.0	Recall	1.0	False
Demographics == Naive	False	Demographics == Naive	Large	0.0	0.0625	1.0	Recall	1.0	False
Structure == Combined	False	Structure == Combined	Large	0.0	0.0625	-1.0	Recall	1.0	False
Structure == Naive	False	Structure == Naive	Large	0.0	0.0625	1.0	Recall	1.0	False
Combined == Naive	False	Combined == Naive	Large	0.0	0.0625	1.0	Recall	1.0	False
Demographics == Structure	False	Demographics == Structure	Large	0.0	0.0625	1.0	Specificity	1.0	False
Demographics == Combined	False	Demographics == Combined	Large	0.0	0.0625	1.0	Specificity	1.0	False
Structure == Naive	False	Structure == Naive	Large	0.0	0.0625	-1.0	Specificity	1.0	False
Combined == Naive	False	Combined == Naive	Large	0.0	0.0625	-1.0	Specificity	1.0	False
Demographics == Structure	False	Demographics == Structure	Large	0.0	0.0625	1.0	ROC AUC	1.0	False
Structure == Combined	False	Structure == Combined	Large	0.0	0.0625	-1.0	ROC AUC	1.0	False
Combined == Naive	False	Combined == Naive	Large	0.0	0.0625	1.0	ROC AUC	1.0	False
Demographics == Naive	False	Demographics == Naive	Large	0.0	0.0625	-1.0	PRC AUC	1.0	False
Structure == Combined	False	Structure == Combined	Large	0.0	0.0625	-1.0	PRC AUC	1.0	False
Structure == Naive	False	Structure == Naive	Large	0.0	0.0625	-1.0	PRC AUC	1.0	False
Demographics == Combined	False	Demographics == Combined	Large	0.0	0.0625	-1.0	HarmRS	1.0	False
Demographics == Naive	False	Demographics == Naive	Large	0.0	0.0625	1.0	HarmRS	1.0	False
Structure == Combined	False	Structure == Combined	Large	0.0	0.0625	-1.0	HarmRS	1.0	False
Structure == Naive	False	Structure == Naive	Large	0.0	0.0625	1.0	HarmRS	1.0	False
Combined == Naive	False	Combined == Naive	Large	0.0	0.0625	1.0	HarmRS	1.0	False
Demographics == Naive	False	Demographics == Naive	Large	1.0	0.125	-0.8666666666666667	Specificity	1.0	False
Demographics == Naive	False	Demographics == Naive	Large	1.0	0.125	0.8666666666666667	ROC AUC	1.0	False
Demographics == Combined	False	Demographics == Combined	Large	1.0	0.125	-0.8666666666666667	PRC AUC	1.0	False
Combined == Naive	False	Combined == Naive	Large	1.0	0.125	-0.8666666666666667	PRC AUC	1.0	False
Demographics == Combined	False	Demographics == Combined	Large	2.0	0.1875	-0.7333333333333333	ROC AUC	1.0	False
Demographics == Structure	False	Demographics == Structure	Large	3.0	0.3125	0.6	PRC AUC	1.0	False
Demographics == Naive	False	Demographics == Naive	Large	3.0	0.3125	0.6	Brier	1.0	False
Structure == Naive	False	Structure == Naive	Medium	4.0	0.4375	-0.4666666666666667	ROC AUC	1.0	False
Demographics == Combined	False	Demographics == Combined	Medium	4.0	0.4375	-0.4666666666666667	Brier	1.0	False
Combined == Naive	False	Combined == Naive	Medium	4.0	0.4375	0.4666666666666667	Brier	1.0	False
Structure == Combined	False	Structure == Combined	Medium	5.0	0.625	0.3333333333333333	Specificity	1.0	False
Demographics == Structure	False	Demographics == Structure	Medium	5.0	0.625	-0.3333333333333333	Brier	1.0	False
Structure == Combined	False	Structure == Combined	Medium	5.0	0.625	-0.3333333333333333	Brier	1.0	False
Structure == Naive	False	Structure == Naive	Medium	5.0	0.625	0.3333333333333333	Brier	1.0	False
Demographics == Structure	False	Demographics == Structure	Medium	5.0	0.625	-0.3333333333333333	HarmRS	1.0	False
