SMILES	y_true	y_pred	y_score	Test_Fold	Mean	Min	5 Nearest	9 Nearest	Max	Evaluation
Brc1c(NC2=NCCN2)ccc2nccnc12	0	0	0.27308157	0	0.9247540128556097	0.7894736842105263	0.7920515574650914	0.8019682906900951	1.0	Weight-only
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O	0	0	0.24271104	0	0.9041218054134953	0.7272727272727273	0.7530303030303029	0.7735569985569986	1.0	Weight-only
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O	0	0	0.28933597	0	0.9199702152677914	0.8076923076923077	0.810576923076923	0.8137384949756261	1.0	Weight-only
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C	0	0	0.35075355	0	0.9230075503130789	0.7972972972972973	0.8098280098280097	0.8157411448550689	1.0	Weight-only
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	0	1	0.8161928	0	0.8749250969580629	0.26744186046511625	0.45871073031415743	0.5876852985176119	1.0	Weight-only
C=CC(N)CCC(=O)O	0	0	0.21732883	0	0.9259066575260421	0.625	0.6917204301075269	0.722347876241091	1.0	Weight-only
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5	0	0	0.3323725	0	0.8964823597014143	0.7654320987654321	0.7741528762805359	0.7804661785616068	1.0	Weight-only
C=CCN1CCC23c4c5ccc(O)c4OC2C(OCCOCCOCCOCCOCCOCCOCCOC)CCC3(O)C1C5	0	0	0.3699512	0	0.8928217293690874	0.7692307692307693	0.777587844254511	0.785913774265029	1.0	Weight-only
C=CC[N+]1(C2CC3C4CCC5CC(O)C(N6CCOCC6)CC5(C)C4CCC3(C)C2OC(C)=O)CCCC1	1	1	0.5685922	0	0.9072780890935752	0.7821782178217822	0.787753532634817	0.7922920943199464	0.9880952380952381	Weight-only
C=c1c(N)c(O)c2c(c1O)N1CC3NC3C1(OC)C=2COC(N)=O	0	0	0.2728816	0	0.8959760089793455	0.7849462365591398	0.7898083216456288	0.7956419115383299	1.0	Weight-only
CC(=O)C1(O)C=C2C(=O)c3c(c(O)c4ccccc4c3O)C(=O)C2C(OC2CC(N)C(O)C(C)O2)C1	1	1	0.5648747	0	0.8877974367450802	0.7745098039215687	0.7774846033489797	0.7837384183436151	0.9857142857142858	Weight-only
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O	1	0	0.44181642	0	0.890625727083028	0.7115384615384616	0.7404295704295704	0.7612174862174862	1.0	Weight-only
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN	0	1	0.7040998	0	0.9216398381655461	0.7017543859649122	0.7661746421539346	0.7914548138468516	1.0	Weight-only
CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2	1	0	0.41273725	0	0.8744552399062803	0.5857142857142857	0.6557763975155281	0.7046410019349025	0.9836065573770492	Weight-only
CC(=O)Oc1ccccc1C(=O)O	1	0	0.32629845	0	0.8770108686357058	0.6744186046511628	0.6890956072351422	0.7024404249210452	1.0	Weight-only
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1	0	0	0.3997432	0	0.8734161121014088	0.575	0.6044594594594594	0.6397669408538973	1.0	Weight-only
CC(C)(C)C(O)C=Cc1ccc2c(c1)OCO2	0	0	0.1888748	0	0.9033386944084375	0.75	0.7666666666666666	0.7807239057239058	1.0	Weight-only
CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C	0	1	0.6818874	0	0.8979226920180547	0.6714285714285714	0.6921008403361345	0.7049991281653225	1.0	Weight-only
CC(C)(N)Cc1ccccc1	0	0	0.3161755	0	0.8930557706336858	0.6666666666666666	0.7118115942028986	0.7216342118516033	1.0	Weight-only
CC(C)(NC(=O)C1CC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C(O5)C1=O)c1nc(-c2ccccc2)no1	0	1	0.59700143	0	0.8778680411177633	0.75	0.7582568807339449	0.7669204810090914	0.9879518072289156	Weight-only
CC(C)Cc1ccc(C(C)C(=O)O)cc1	0	0	0.29705223	0	0.876382628505318	0.5789473684210527	0.6140350877192982	0.6400108799129608	1.0	Weight-only
CC(C)N=C(N)N=C(N)Nc1ccc(Cl)cc1	1	0	0.43187326	0	0.9032293713967199	0.75	0.7518867924528301	0.7564742878283388	1.0	Weight-only
