Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	IC	Cred	0	LogisticRegression	Klek	Balanced Accuracy	0.53758
Primary	IC	Cred	2	LogisticRegression	Klek	Balanced Accuracy	0.57188
Primary	IC	Cred	4	LogisticRegression	Klek	Balanced Accuracy	0.55166
Primary	IC	Cred	3	LogisticRegression	Klek	Balanced Accuracy	0.53421
Primary	IC	Cred	1	LogisticRegression	Klek	Balanced Accuracy	0.52641
Primary	IC	Card	0	LogisticRegression	Klek	Balanced Accuracy	0.56447
Primary	IC	Card	2	LogisticRegression	Klek	Balanced Accuracy	0.59178
Primary	IC	Card	4	LogisticRegression	Klek	Balanced Accuracy	0.55523
Primary	IC	Card	3	LogisticRegression	Klek	Balanced Accuracy	0.51423
Primary	IC	Card	1	LogisticRegression	Klek	Balanced Accuracy	0.537
Primary	IC	Cvas	0	LogisticRegression	Klek	Balanced Accuracy	0.58008
Primary	IC	Cvas	2	LogisticRegression	Klek	Balanced Accuracy	0.57898
Primary	IC	Cvas	4	LogisticRegression	Klek	Balanced Accuracy	0.54472
Primary	IC	Cvas	3	LogisticRegression	Klek	Balanced Accuracy	0.5226
Primary	IC	Cvas	1	LogisticRegression	Klek	Balanced Accuracy	0.52928
Primary	IC	Cred	0	LogisticRegression	Klek	GeomRS	0.53572
Primary	IC	Cred	2	LogisticRegression	Klek	GeomRS	0.56432
Primary	IC	Cred	4	LogisticRegression	Klek	GeomRS	0.53554
Primary	IC	Cred	3	LogisticRegression	Klek	GeomRS	0.52956
Primary	IC	Cred	1	LogisticRegression	Klek	GeomRS	0.52545
Primary	IC	Card	0	LogisticRegression	Klek	GeomRS	0.56393
Primary	IC	Card	2	LogisticRegression	Klek	GeomRS	0.58294
Primary	IC	Card	4	LogisticRegression	Klek	GeomRS	0.53364
Primary	IC	Card	3	LogisticRegression	Klek	GeomRS	0.51039
Primary	IC	Card	1	LogisticRegression	Klek	GeomRS	0.53699
Primary	IC	Cvas	0	LogisticRegression	Klek	GeomRS	0.57942
Primary	IC	Cvas	2	LogisticRegression	Klek	GeomRS	0.56539
Primary	IC	Cvas	4	LogisticRegression	Klek	GeomRS	0.53105
Primary	IC	Cvas	3	LogisticRegression	Klek	GeomRS	0.51871
