Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	PRR	Cred	0	XGBClassifier	CDDD	Balanced Accuracy	0.58052
Primary	PRR	Cred	1	XGBClassifier	CDDD	Balanced Accuracy	0.58226
Primary	PRR	Cred	2	XGBClassifier	CDDD	Balanced Accuracy	0.60252
Primary	PRR	Cred	3	XGBClassifier	CDDD	Balanced Accuracy	0.56483
Primary	PRR	Cred	4	XGBClassifier	CDDD	Balanced Accuracy	0.5925
Primary	PRR	Card	0	XGBClassifier	CDDD	Balanced Accuracy	0.5656
Primary	PRR	Card	1	XGBClassifier	CDDD	Balanced Accuracy	0.56671
Primary	PRR	Card	2	XGBClassifier	CDDD	Balanced Accuracy	0.59456
Primary	PRR	Card	3	XGBClassifier	CDDD	Balanced Accuracy	0.58116
Primary	PRR	Card	4	XGBClassifier	CDDD	Balanced Accuracy	0.56842
Primary	PRR	Cvas	0	XGBClassifier	CDDD	Balanced Accuracy	0.55677
Primary	PRR	Cvas	1	XGBClassifier	CDDD	Balanced Accuracy	0.55037
Primary	PRR	Cvas	2	XGBClassifier	CDDD	Balanced Accuracy	0.59373
Primary	PRR	Cvas	3	XGBClassifier	CDDD	Balanced Accuracy	0.61311
Primary	PRR	Cvas	4	XGBClassifier	CDDD	Balanced Accuracy	0.56556
Primary	PRR	Cred	0	XGBClassifier	CDDD	GeomRS	0.57733
Primary	PRR	Cred	1	XGBClassifier	CDDD	GeomRS	0.56736
Primary	PRR	Cred	2	XGBClassifier	CDDD	GeomRS	0.60192
Primary	PRR	Cred	3	XGBClassifier	CDDD	GeomRS	0.5643
Primary	PRR	Cred	4	XGBClassifier	CDDD	GeomRS	0.59068
Primary	PRR	Card	0	XGBClassifier	CDDD	GeomRS	0.55794
Primary	PRR	Card	1	XGBClassifier	CDDD	GeomRS	0.55695
Primary	PRR	Card	2	XGBClassifier	CDDD	GeomRS	0.59436
Primary	PRR	Card	3	XGBClassifier	CDDD	GeomRS	0.5811
Primary	PRR	Card	4	XGBClassifier	CDDD	GeomRS	0.56262
Primary	PRR	Cvas	0	XGBClassifier	CDDD	GeomRS	0.55358
Primary	PRR	Cvas	1	XGBClassifier	CDDD	GeomRS	0.54397
Primary	PRR	Cvas	2	XGBClassifier	CDDD	GeomRS	0.59138
Primary	PRR	Cvas	3	XGBClassifier	CDDD	GeomRS	0.61292
Primary	PRR	Cvas	4	XGBClassifier	CDDD	GeomRS	0.55268
Primary	PRR	Cred	0	XGBClassifier	CDDD	HarmRS	0.57417
Primary	PRR	Cred	1	XGBClassifier	CDDD	HarmRS	0.55284
Primary	PRR	Cred	2	XGBClassifier	CDDD	HarmRS	0.60132
Primary	PRR	Cred	3	XGBClassifier	CDDD	HarmRS	0.56377
Primary	PRR	Cred	4	XGBClassifier	CDDD	HarmRS	0.58886
Primary	PRR	Card	0	XGBClassifier	CDDD	HarmRS	0.55038
Primary	PRR	Card	1	XGBClassifier	CDDD	HarmRS	0.54735
Primary	PRR	Card	2	XGBClassifier	CDDD	HarmRS	0.59417
Primary	PRR	Card	3	XGBClassifier	CDDD	HarmRS	0.58105
Primary	PRR	Card	4	XGBClassifier	CDDD	HarmRS	0.55688
Primary	PRR	Cvas	0	XGBClassifier	CDDD	HarmRS	0.5504
Primary	PRR	Cvas	1	XGBClassifier	CDDD	HarmRS	0.53764
Primary	PRR	Cvas	2	XGBClassifier	CDDD	HarmRS	0.58904
Primary	PRR	Cvas	3	XGBClassifier	CDDD	HarmRS	0.61274
Primary	PRR	Cvas	4	XGBClassifier	CDDD	HarmRS	0.5401
Primary	PRR	Cred	0	XGBClassifier	CDDD	F1 Score	0.63195
Primary	PRR	Cred	1	XGBClassifier	CDDD	F1 Score	0.56146
Primary	PRR	Cred	2	XGBClassifier	CDDD	F1 Score	0.64517
Primary	PRR	Cred	3	XGBClassifier	CDDD	F1 Score	0.59699
