Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Primary	ROR	Cred	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.5532
Primary	ROR	Cred	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.55826
Primary	ROR	Cred	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.54957
Primary	ROR	Cred	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.53245
Primary	ROR	Cred	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.57221
Primary	ROR	Card	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.55618
Primary	ROR	Card	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.58878
Primary	ROR	Card	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.58671
Primary	ROR	Card	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.53643
Primary	ROR	Card	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.572
Primary	ROR	Cvas	0	RandomForestClassifier	Morgan	Balanced Accuracy	0.55565
Primary	ROR	Cvas	1	RandomForestClassifier	Morgan	Balanced Accuracy	0.56545
Primary	ROR	Cvas	2	RandomForestClassifier	Morgan	Balanced Accuracy	0.56839
Primary	ROR	Cvas	4	RandomForestClassifier	Morgan	Balanced Accuracy	0.52198
Primary	ROR	Cvas	3	RandomForestClassifier	Morgan	Balanced Accuracy	0.5583
Primary	ROR	Cred	0	RandomForestClassifier	Morgan	GeomRS	0.52101
Primary	ROR	Cred	1	RandomForestClassifier	Morgan	GeomRS	0.43937
Primary	ROR	Cred	2	RandomForestClassifier	Morgan	GeomRS	0.51833
Primary	ROR	Cred	4	RandomForestClassifier	Morgan	GeomRS	0.51771
Primary	ROR	Cred	3	RandomForestClassifier	Morgan	GeomRS	0.51557
Primary	ROR	Card	0	RandomForestClassifier	Morgan	GeomRS	0.54612
Primary	ROR	Card	1	RandomForestClassifier	Morgan	GeomRS	0.52821
Primary	ROR	Card	2	RandomForestClassifier	Morgan	GeomRS	0.56097
Primary	ROR	Card	4	RandomForestClassifier	Morgan	GeomRS	0.51906
Primary	ROR	Card	3	RandomForestClassifier	Morgan	GeomRS	0.5234
Primary	ROR	Cvas	0	RandomForestClassifier	Morgan	GeomRS	0.47917
Primary	ROR	Cvas	1	RandomForestClassifier	Morgan	GeomRS	0.52085
