Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	IC	Cred	0	LogisticRegression	CDDD	Balanced Accuracy	0.5084
Secondary	IC	Cred	1	LogisticRegression	CDDD	Balanced Accuracy	0.55848
Secondary	IC	Cred	2	LogisticRegression	CDDD	Balanced Accuracy	0.58686
Secondary	IC	Cred	3	LogisticRegression	CDDD	Balanced Accuracy	0.5192
Secondary	IC	Cred	4	LogisticRegression	CDDD	Balanced Accuracy	0.51797
Secondary	IC	Card	0	LogisticRegression	CDDD	Balanced Accuracy	0.5148
Secondary	IC	Card	1	LogisticRegression	CDDD	Balanced Accuracy	0.54964
Secondary	IC	Card	2	LogisticRegression	CDDD	Balanced Accuracy	0.58355
Secondary	IC	Card	3	LogisticRegression	CDDD	Balanced Accuracy	0.53819
Secondary	IC	Card	4	LogisticRegression	CDDD	Balanced Accuracy	0.53746
Secondary	IC	Cvas	0	LogisticRegression	CDDD	Balanced Accuracy	0.55093
Secondary	IC	Cvas	1	LogisticRegression	CDDD	Balanced Accuracy	0.54242
Secondary	IC	Cvas	2	LogisticRegression	CDDD	Balanced Accuracy	0.55775
Secondary	IC	Cvas	3	LogisticRegression	CDDD	Balanced Accuracy	0.55755
Secondary	IC	Cvas	4	LogisticRegression	CDDD	Balanced Accuracy	0.54058
Secondary	IC	Cred	0	LogisticRegression	CDDD	GeomRS	0.46705
Secondary	IC	Cred	1	LogisticRegression	CDDD	GeomRS	0.55197
Secondary	IC	Cred	2	LogisticRegression	CDDD	GeomRS	0.56573
Secondary	IC	Cred	3	LogisticRegression	CDDD	GeomRS	0.48498
Secondary	IC	Cred	4	LogisticRegression	CDDD	GeomRS	0.48644
Secondary	IC	Card	0	LogisticRegression	CDDD	GeomRS	0.46984
Secondary	IC	Card	1	LogisticRegression	CDDD	GeomRS	0.54322
Secondary	IC	Card	2	LogisticRegression	CDDD	GeomRS	0.55526
Secondary	IC	Card	3	LogisticRegression	CDDD	GeomRS	0.51021
Secondary	IC	Card	4	LogisticRegression	CDDD	GeomRS	0.50575
Secondary	IC	Cvas	0	LogisticRegression	CDDD	GeomRS	0.52763
Secondary	IC	Cvas	1	LogisticRegression	CDDD	GeomRS	0.53029
Secondary	IC	Cvas	2	LogisticRegression	CDDD	GeomRS	0.52435
Secondary	IC	Cvas	3	LogisticRegression	CDDD	GeomRS	0.54579
Secondary	IC	Cvas	4	LogisticRegression	CDDD	GeomRS	0.51809
Secondary	IC	Cred	0	LogisticRegression	CDDD	HarmRS	0.42907
