Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	IC	Cred	0	LogisticRegression	RDKit	Balanced Accuracy	0.58084
Secondary	IC	Cred	1	LogisticRegression	RDKit	Balanced Accuracy	0.54166
Secondary	IC	Cred	2	LogisticRegression	RDKit	Balanced Accuracy	0.52722
Secondary	IC	Cred	3	LogisticRegression	RDKit	Balanced Accuracy	0.55373
Secondary	IC	Cred	4	LogisticRegression	RDKit	Balanced Accuracy	0.57201
Secondary	IC	Card	0	LogisticRegression	RDKit	Balanced Accuracy	0.57767
Secondary	IC	Card	1	LogisticRegression	RDKit	Balanced Accuracy	0.54609
Secondary	IC	Card	2	LogisticRegression	RDKit	Balanced Accuracy	0.52896
Secondary	IC	Card	3	LogisticRegression	RDKit	Balanced Accuracy	0.56274
Secondary	IC	Card	4	LogisticRegression	RDKit	Balanced Accuracy	0.56544
Secondary	IC	Cvas	0	LogisticRegression	RDKit	Balanced Accuracy	0.58885
Secondary	IC	Cvas	1	LogisticRegression	RDKit	Balanced Accuracy	0.54462
Secondary	IC	Cvas	2	LogisticRegression	RDKit	Balanced Accuracy	0.5232
Secondary	IC	Cvas	3	LogisticRegression	RDKit	Balanced Accuracy	0.57153
Secondary	IC	Cvas	4	LogisticRegression	RDKit	Balanced Accuracy	0.57681
Secondary	IC	Cred	0	LogisticRegression	RDKit	GeomRS	0.49555
Secondary	IC	Cred	1	LogisticRegression	RDKit	GeomRS	0.50132
Secondary	IC	Cred	2	LogisticRegression	RDKit	GeomRS	0.47228
Secondary	IC	Cred	3	LogisticRegression	RDKit	GeomRS	0.51223
Secondary	IC	Cred	4	LogisticRegression	RDKit	GeomRS	0.49725
Secondary	IC	Card	0	LogisticRegression	RDKit	GeomRS	0.48986
Secondary	IC	Card	1	LogisticRegression	RDKit	GeomRS	0.50407
Secondary	IC	Card	2	LogisticRegression	RDKit	GeomRS	0.46621
Secondary	IC	Card	3	LogisticRegression	RDKit	GeomRS	0.52296
Secondary	IC	Card	4	LogisticRegression	RDKit	GeomRS	0.49064
Secondary	IC	Cvas	0	LogisticRegression	RDKit	GeomRS	0.5309
Secondary	IC	Cvas	1	LogisticRegression	RDKit	GeomRS	0.51146
Secondary	IC	Cvas	2	LogisticRegression	RDKit	GeomRS	0.47312
Secondary	IC	Cvas	3	LogisticRegression	RDKit	GeomRS	0.52568
Secondary	IC	Cvas	4	LogisticRegression	RDKit	GeomRS	0.52576
Secondary	IC	Cred	0	LogisticRegression	RDKit	HarmRS	0.42278
Secondary	IC	Cred	1	LogisticRegression	RDKit	HarmRS	0.46399
Secondary	IC	Cred	2	LogisticRegression	RDKit	HarmRS	0.42307
Secondary	IC	Cred	3	LogisticRegression	RDKit	HarmRS	0.47384
Secondary	IC	Cred	4	LogisticRegression	RDKit	HarmRS	0.43226
Secondary	IC	Card	0	LogisticRegression	RDKit	HarmRS	0.4154
Secondary	IC	Card	1	LogisticRegression	RDKit	HarmRS	0.46528
Secondary	IC	Card	2	LogisticRegression	RDKit	HarmRS	0.4109
Secondary	IC	Card	3	LogisticRegression	RDKit	HarmRS	0.48599
Secondary	IC	Card	4	LogisticRegression	RDKit	HarmRS	0.42573
Secondary	IC	Cvas	0	LogisticRegression	RDKit	HarmRS	0.47866
Secondary	IC	Cvas	1	LogisticRegression	RDKit	HarmRS	0.48032
Secondary	IC	Cvas	2	LogisticRegression	RDKit	HarmRS	0.42782
Secondary	IC	Cvas	3	LogisticRegression	RDKit	HarmRS	0.48351
Secondary	IC	Cvas	4	LogisticRegression	RDKit	HarmRS	0.47923
Secondary	IC	Cred	0	LogisticRegression	RDKit	F1 Score	0.75824
Secondary	IC	Cred	1	LogisticRegression	RDKit	F1 Score	0.72465
Secondary	IC	Cred	2	LogisticRegression	RDKit	F1 Score	0.7275
Secondary	IC	Cred	3	LogisticRegression	RDKit	F1 Score	0.71548
Secondary	IC	Cred	4	LogisticRegression	RDKit	F1 Score	0.74991
Secondary	IC	Card	0	LogisticRegression	RDKit	F1 Score	0.75697
Secondary	IC	Card	1	LogisticRegression	RDKit	F1 Score	0.73035
Secondary	IC	Card	2	LogisticRegression	RDKit	F1 Score	0.73568
Secondary	IC	Card	3	LogisticRegression	RDKit	F1 Score	0.72159
Secondary	IC	Card	4	LogisticRegression	RDKit	F1 Score	0.74441
Secondary	IC	Cvas	0	LogisticRegression	RDKit	F1 Score	0.7478
Secondary	IC	Cvas	1	LogisticRegression	RDKit	F1 Score	0.71878
Secondary	IC	Cvas	2	LogisticRegression	RDKit	F1 Score	0.71947
Secondary	IC	Cvas	3	LogisticRegression	RDKit	F1 Score	0.73505
Secondary	IC	Cvas	4	LogisticRegression	RDKit	F1 Score	0.73708
Secondary	IC	Cred	0	LogisticRegression	RDKit	ROC AUC	0.66678
Secondary	IC	Cred	1	LogisticRegression	RDKit	ROC AUC	0.58919
Secondary	IC	Cred	2	LogisticRegression	RDKit	ROC AUC	0.58154
Secondary	IC	Cred	3	LogisticRegression	RDKit	ROC AUC	0.5937
Secondary	IC	Cred	4	LogisticRegression	RDKit	ROC AUC	0.62964
