Dataset	DPA	PT	Test_Fold	Model	Descriptors	Metric	Value
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.59885
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.55902
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.58987
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.55144
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.59166
Secondary	PRR	Card	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.57566
Secondary	PRR	Card	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.57395
Secondary	PRR	Card	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.61008
Secondary	PRR	Card	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.52737
Secondary	PRR	Card	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.5756
Secondary	PRR	Cvas	0	RandomForestClassifier	MACCS	Balanced Accuracy	0.57169
Secondary	PRR	Cvas	1	RandomForestClassifier	MACCS	Balanced Accuracy	0.55985
Secondary	PRR	Cvas	2	RandomForestClassifier	MACCS	Balanced Accuracy	0.54989
Secondary	PRR	Cvas	3	RandomForestClassifier	MACCS	Balanced Accuracy	0.5695
Secondary	PRR	Cvas	4	RandomForestClassifier	MACCS	Balanced Accuracy	0.56244
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	GeomRS	0.59379
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	GeomRS	0.55897
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	GeomRS	0.58726
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	GeomRS	0.54764
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	GeomRS	0.5906
Secondary	PRR	Card	0	RandomForestClassifier	MACCS	GeomRS	0.54981
Secondary	PRR	Card	1	RandomForestClassifier	MACCS	GeomRS	0.57395
Secondary	PRR	Card	2	RandomForestClassifier	MACCS	GeomRS	0.61007
Secondary	PRR	Card	3	RandomForestClassifier	MACCS	GeomRS	0.50715
Secondary	PRR	Card	4	RandomForestClassifier	MACCS	GeomRS	0.55056
Secondary	PRR	Cvas	0	RandomForestClassifier	MACCS	GeomRS	0.57156
Secondary	PRR	Cvas	1	RandomForestClassifier	MACCS	GeomRS	0.55976
Secondary	PRR	Cvas	2	RandomForestClassifier	MACCS	GeomRS	0.53817
Secondary	PRR	Cvas	3	RandomForestClassifier	MACCS	GeomRS	0.56173
Secondary	PRR	Cvas	4	RandomForestClassifier	MACCS	GeomRS	0.56238
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	HarmRS	0.58878
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	HarmRS	0.55892
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	HarmRS	0.58466
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	HarmRS	0.54387
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	HarmRS	0.58955
Secondary	PRR	Card	0	RandomForestClassifier	MACCS	HarmRS	0.52511
Secondary	PRR	Card	1	RandomForestClassifier	MACCS	HarmRS	0.57395
Secondary	PRR	Card	2	RandomForestClassifier	MACCS	HarmRS	0.61007
Secondary	PRR	Card	3	RandomForestClassifier	MACCS	HarmRS	0.4877
Secondary	PRR	Card	4	RandomForestClassifier	MACCS	HarmRS	0.5266
Secondary	PRR	Cvas	0	RandomForestClassifier	MACCS	HarmRS	0.57142
Secondary	PRR	Cvas	1	RandomForestClassifier	MACCS	HarmRS	0.55966
Secondary	PRR	Cvas	2	RandomForestClassifier	MACCS	HarmRS	0.5267
Secondary	PRR	Cvas	3	RandomForestClassifier	MACCS	HarmRS	0.55405
Secondary	PRR	Cvas	4	RandomForestClassifier	MACCS	HarmRS	0.56233
Secondary	PRR	Cred	0	RandomForestClassifier	MACCS	F1 Score	0.68567
Secondary	PRR	Cred	1	RandomForestClassifier	MACCS	F1 Score	0.62798
Secondary	PRR	Cred	2	RandomForestClassifier	MACCS	F1 Score	0.62837
Secondary	PRR	Cred	3	RandomForestClassifier	MACCS	F1 Score	0.64625
Secondary	PRR	Cred	4	RandomForestClassifier	MACCS	F1 Score	0.66273
Secondary	PRR	Card	0	RandomForestClassifier	MACCS	F1 Score	0.70569
Secondary	PRR	Card	1	RandomForestClassifier	MACCS	F1 Score	0.64682
Secondary	PRR	Card	2	RandomForestClassifier	MACCS	F1 Score	0.68162
Secondary	PRR	Card	3	RandomForestClassifier	MACCS	F1 Score	0.66488
Secondary	PRR	Card	4	RandomForestClassifier	MACCS	F1 Score	0.70894
Secondary	PRR	Cvas	0	RandomForestClassifier	MACCS	F1 Score	0.62902
